,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Corridor 11,Veghel,5466 RB,Netherlands,31 41 334 3500,https://www.sligrofoodgroup.nl,Food Distribution,Consumer Defensive,"Sligro Food Group N.V. engages in the foodservice businesses in the Netherlands and Belgium. The company offers a range of food and food-related non-food products; and services in the food and beverages wholesale market. It operates a network of cash-and-carry and delivery service sites to serve hospitality industry, leisure facilities, caterers, large-volume users, company restaurants, petrol stations, small and medium-sized enterprises, small retail businesses, and the institutional markets under the Sligro, De Kweker, and Van Hoeckel brand names in the Netherlands. It also serves institutional, corporate catering, and hotel chain segments under the JAVA Foodservice name; and hospitality industry, culinary professionals, and wholesale delivery service outlets under the Silgro-ISPC name through a network of two cash-and-carry and delivery service sites. In addition, the company is involved in the production of convenience and fresh fish products; sourcing of meat, game and poultry, fruits and vegetables, and bread and pastries; advertise, design, delivery, install, and maintenance of professional kitchen, kitchen equipment, and refrigeration and freezing equipment; and provision of online gift concepts and Christmas gifts, and traditional Christmas hampers. It also offers its products through online platform. Sligro Food Group N.V. was founded in 1935 and is headquartered in Veghel, the Netherlands.",4113,"{'maxAge': 1, 'name': 'Mr. Koen M. Slippens', 'age': 55, 'title': 'CEO & Chairman of the Exec. Board', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 981000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,18.0,18.0,17.92,18.24,18.0,18.0,17.92,18.24,0.6,0.033299997,1695168000,1.5714,1.456081,51.37143,16.803738,31284,31284,24803,20574,20574,0.0,0.0,0,0,796235264,12.86,18.3,0.28880495,17.2216,16.4379,0.55,0.030555556,EUR,1222469888,0.00617,22553137,44186300,0.48942003,0.31389,10.84,1.6586715,1672444800,1703980800,1688083200,-0.957,17000000,0.35,1.07,5.95,2:1,1176681600,0.443,13.736,AMS,EQUITY,SLIGR.AS,SLIGR.AS,Sligro Food Group N.V.,Sligro Food Group N.V.,901004400,Europe/Amsterdam,CEST,7200000,17.98,23.0,16.5,19.9,20.0,2.2,buy,4,32000000,0.724,89000000,460000000,0.389,0.825,2756999936,98.081,56.201,0.01269,0.03598,663000000,63250000,131000000,0.243,0.26549998,0.032279998,0.01052,EUR,
1,Corridor 11,Veghel,5466 RB,Netherlands,31 41 334 3500,https://www.sligrofoodgroup.nl,Food Distribution,Consumer Defensive,"Sligro Food Group N.V. engages in the foodservice businesses in the Netherlands and Belgium. The company offers a range of food and food-related non-food products; and services in the food and beverages wholesale market. It operates a network of cash-and-carry and delivery service sites to serve hospitality industry, leisure facilities, caterers, large-volume users, company restaurants, petrol stations, small and medium-sized enterprises, small retail businesses, and the institutional markets under the Sligro, De Kweker, and Van Hoeckel brand names in the Netherlands. It also serves institutional, corporate catering, and hotel chain segments under the JAVA Foodservice name; and hospitality industry, culinary professionals, and wholesale delivery service outlets under the Silgro-ISPC name through a network of two cash-and-carry and delivery service sites. In addition, the company is involved in the production of convenience and fresh fish products; sourcing of meat, game and poultry, fruits and vegetables, and bread and pastries; advertise, design, delivery, install, and maintenance of professional kitchen, kitchen equipment, and refrigeration and freezing equipment; and provision of online gift concepts and Christmas gifts, and traditional Christmas hampers. It also offers its products through online platform. Sligro Food Group N.V. was founded in 1935 and is headquartered in Veghel, the Netherlands.",4113,"{'maxAge': 1, 'name': 'Mr. Rob W. A. J. van der Sluijs', 'age': 46, 'title': 'CFO & Member of Exec. Board', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 820000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,18.0,18.0,17.92,18.24,18.0,18.0,17.92,18.24,0.6,0.033299997,1695168000,1.5714,1.456081,51.37143,16.803738,31284,31284,24803,20574,20574,0.0,0.0,0,0,796235264,12.86,18.3,0.28880495,17.2216,16.4379,0.55,0.030555556,EUR,1222469888,0.00617,22553137,44186300,0.48942003,0.31389,10.84,1.6586715,1672444800,1703980800,1688083200,-0.957,17000000,0.35,1.07,5.95,2:1,1176681600,0.443,13.736,AMS,EQUITY,SLIGR.AS,SLIGR.AS,Sligro Food Group N.V.,Sligro Food Group N.V.,901004400,Europe/Amsterdam,CEST,7200000,17.98,23.0,16.5,19.9,20.0,2.2,buy,4,32000000,0.724,89000000,460000000,0.389,0.825,2756999936,98.081,56.201,0.01269,0.03598,663000000,63250000,131000000,0.243,0.26549998,0.032279998,0.01052,EUR,
2,Corridor 11,Veghel,5466 RB,Netherlands,31 41 334 3500,https://www.sligrofoodgroup.nl,Food Distribution,Consumer Defensive,"Sligro Food Group N.V. engages in the foodservice businesses in the Netherlands and Belgium. The company offers a range of food and food-related non-food products; and services in the food and beverages wholesale market. It operates a network of cash-and-carry and delivery service sites to serve hospitality industry, leisure facilities, caterers, large-volume users, company restaurants, petrol stations, small and medium-sized enterprises, small retail businesses, and the institutional markets under the Sligro, De Kweker, and Van Hoeckel brand names in the Netherlands. It also serves institutional, corporate catering, and hotel chain segments under the JAVA Foodservice name; and hospitality industry, culinary professionals, and wholesale delivery service outlets under the Silgro-ISPC name through a network of two cash-and-carry and delivery service sites. In addition, the company is involved in the production of convenience and fresh fish products; sourcing of meat, game and poultry, fruits and vegetables, and bread and pastries; advertise, design, delivery, install, and maintenance of professional kitchen, kitchen equipment, and refrigeration and freezing equipment; and provision of online gift concepts and Christmas gifts, and traditional Christmas hampers. It also offers its products through online platform. Sligro Food Group N.V. was founded in 1935 and is headquartered in Veghel, the Netherlands.",4113,"{'maxAge': 1, 'name': 'J.  van Heereveld', 'title': 'Head of Accounting', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,18.0,18.0,17.92,18.24,18.0,18.0,17.92,18.24,0.6,0.033299997,1695168000,1.5714,1.456081,51.37143,16.803738,31284,31284,24803,20574,20574,0.0,0.0,0,0,796235264,12.86,18.3,0.28880495,17.2216,16.4379,0.55,0.030555556,EUR,1222469888,0.00617,22553137,44186300,0.48942003,0.31389,10.84,1.6586715,1672444800,1703980800,1688083200,-0.957,17000000,0.35,1.07,5.95,2:1,1176681600,0.443,13.736,AMS,EQUITY,SLIGR.AS,SLIGR.AS,Sligro Food Group N.V.,Sligro Food Group N.V.,901004400,Europe/Amsterdam,CEST,7200000,17.98,23.0,16.5,19.9,20.0,2.2,buy,4,32000000,0.724,89000000,460000000,0.389,0.825,2756999936,98.081,56.201,0.01269,0.03598,663000000,63250000,131000000,0.243,0.26549998,0.032279998,0.01052,EUR,
3,Corridor 11,Veghel,5466 RB,Netherlands,31 41 334 3500,https://www.sligrofoodgroup.nl,Food Distribution,Consumer Defensive,"Sligro Food Group N.V. engages in the foodservice businesses in the Netherlands and Belgium. The company offers a range of food and food-related non-food products; and services in the food and beverages wholesale market. It operates a network of cash-and-carry and delivery service sites to serve hospitality industry, leisure facilities, caterers, large-volume users, company restaurants, petrol stations, small and medium-sized enterprises, small retail businesses, and the institutional markets under the Sligro, De Kweker, and Van Hoeckel brand names in the Netherlands. It also serves institutional, corporate catering, and hotel chain segments under the JAVA Foodservice name; and hospitality industry, culinary professionals, and wholesale delivery service outlets under the Silgro-ISPC name through a network of two cash-and-carry and delivery service sites. In addition, the company is involved in the production of convenience and fresh fish products; sourcing of meat, game and poultry, fruits and vegetables, and bread and pastries; advertise, design, delivery, install, and maintenance of professional kitchen, kitchen equipment, and refrigeration and freezing equipment; and provision of online gift concepts and Christmas gifts, and traditional Christmas hampers. It also offers its products through online platform. Sligro Food Group N.V. was founded in 1935 and is headquartered in Veghel, the Netherlands.",4113,"{'maxAge': 1, 'name': 'P.  van der Veen', 'title': 'Mang. of Information & Technology Office', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,18.0,18.0,17.92,18.24,18.0,18.0,17.92,18.24,0.6,0.033299997,1695168000,1.5714,1.456081,51.37143,16.803738,31284,31284,24803,20574,20574,0.0,0.0,0,0,796235264,12.86,18.3,0.28880495,17.2216,16.4379,0.55,0.030555556,EUR,1222469888,0.00617,22553137,44186300,0.48942003,0.31389,10.84,1.6586715,1672444800,1703980800,1688083200,-0.957,17000000,0.35,1.07,5.95,2:1,1176681600,0.443,13.736,AMS,EQUITY,SLIGR.AS,SLIGR.AS,Sligro Food Group N.V.,Sligro Food Group N.V.,901004400,Europe/Amsterdam,CEST,7200000,17.98,23.0,16.5,19.9,20.0,2.2,buy,4,32000000,0.724,89000000,460000000,0.389,0.825,2756999936,98.081,56.201,0.01269,0.03598,663000000,63250000,131000000,0.243,0.26549998,0.032279998,0.01052,EUR,
4,Corridor 11,Veghel,5466 RB,Netherlands,31 41 334 3500,https://www.sligrofoodgroup.nl,Food Distribution,Consumer Defensive,"Sligro Food Group N.V. engages in the foodservice businesses in the Netherlands and Belgium. The company offers a range of food and food-related non-food products; and services in the food and beverages wholesale market. It operates a network of cash-and-carry and delivery service sites to serve hospitality industry, leisure facilities, caterers, large-volume users, company restaurants, petrol stations, small and medium-sized enterprises, small retail businesses, and the institutional markets under the Sligro, De Kweker, and Van Hoeckel brand names in the Netherlands. It also serves institutional, corporate catering, and hotel chain segments under the JAVA Foodservice name; and hospitality industry, culinary professionals, and wholesale delivery service outlets under the Silgro-ISPC name through a network of two cash-and-carry and delivery service sites. In addition, the company is involved in the production of convenience and fresh fish products; sourcing of meat, game and poultry, fruits and vegetables, and bread and pastries; advertise, design, delivery, install, and maintenance of professional kitchen, kitchen equipment, and refrigeration and freezing equipment; and provision of online gift concepts and Christmas gifts, and traditional Christmas hampers. It also offers its products through online platform. Sligro Food Group N.V. was founded in 1935 and is headquartered in Veghel, the Netherlands.",4113,"{'maxAge': 1, 'name': 'Bart  Luijten', 'age': 54, 'title': 'Chief Information Officer', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,18.0,18.0,17.92,18.24,18.0,18.0,17.92,18.24,0.6,0.033299997,1695168000,1.5714,1.456081,51.37143,16.803738,31284,31284,24803,20574,20574,0.0,0.0,0,0,796235264,12.86,18.3,0.28880495,17.2216,16.4379,0.55,0.030555556,EUR,1222469888,0.00617,22553137,44186300,0.48942003,0.31389,10.84,1.6586715,1672444800,1703980800,1688083200,-0.957,17000000,0.35,1.07,5.95,2:1,1176681600,0.443,13.736,AMS,EQUITY,SLIGR.AS,SLIGR.AS,Sligro Food Group N.V.,Sligro Food Group N.V.,901004400,Europe/Amsterdam,CEST,7200000,17.98,23.0,16.5,19.9,20.0,2.2,buy,4,32000000,0.724,89000000,460000000,0.389,0.825,2756999936,98.081,56.201,0.01269,0.03598,663000000,63250000,131000000,0.243,0.26549998,0.032279998,0.01052,EUR,
5,Corridor 11,Veghel,5466 RB,Netherlands,31 41 334 3500,https://www.sligrofoodgroup.nl,Food Distribution,Consumer Defensive,"Sligro Food Group N.V. engages in the foodservice businesses in the Netherlands and Belgium. The company offers a range of food and food-related non-food products; and services in the food and beverages wholesale market. It operates a network of cash-and-carry and delivery service sites to serve hospitality industry, leisure facilities, caterers, large-volume users, company restaurants, petrol stations, small and medium-sized enterprises, small retail businesses, and the institutional markets under the Sligro, De Kweker, and Van Hoeckel brand names in the Netherlands. It also serves institutional, corporate catering, and hotel chain segments under the JAVA Foodservice name; and hospitality industry, culinary professionals, and wholesale delivery service outlets under the Silgro-ISPC name through a network of two cash-and-carry and delivery service sites. In addition, the company is involved in the production of convenience and fresh fish products; sourcing of meat, game and poultry, fruits and vegetables, and bread and pastries; advertise, design, delivery, install, and maintenance of professional kitchen, kitchen equipment, and refrigeration and freezing equipment; and provision of online gift concepts and Christmas gifts, and traditional Christmas hampers. It also offers its products through online platform. Sligro Food Group N.V. was founded in 1935 and is headquartered in Veghel, the Netherlands.",4113,"{'maxAge': 1, 'name': 'Mr. Gerrie J. C. M. van der Veeken', 'age': 61, 'title': 'Company Sec. & Compliance Officer', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,18.0,18.0,17.92,18.24,18.0,18.0,17.92,18.24,0.6,0.033299997,1695168000,1.5714,1.456081,51.37143,16.803738,31284,31284,24803,20574,20574,0.0,0.0,0,0,796235264,12.86,18.3,0.28880495,17.2216,16.4379,0.55,0.030555556,EUR,1222469888,0.00617,22553137,44186300,0.48942003,0.31389,10.84,1.6586715,1672444800,1703980800,1688083200,-0.957,17000000,0.35,1.07,5.95,2:1,1176681600,0.443,13.736,AMS,EQUITY,SLIGR.AS,SLIGR.AS,Sligro Food Group N.V.,Sligro Food Group N.V.,901004400,Europe/Amsterdam,CEST,7200000,17.98,23.0,16.5,19.9,20.0,2.2,buy,4,32000000,0.724,89000000,460000000,0.389,0.825,2756999936,98.081,56.201,0.01269,0.03598,663000000,63250000,131000000,0.243,0.26549998,0.032279998,0.01052,EUR,
6,Corridor 11,Veghel,5466 RB,Netherlands,31 41 334 3500,https://www.sligrofoodgroup.nl,Food Distribution,Consumer Defensive,"Sligro Food Group N.V. engages in the foodservice businesses in the Netherlands and Belgium. The company offers a range of food and food-related non-food products; and services in the food and beverages wholesale market. It operates a network of cash-and-carry and delivery service sites to serve hospitality industry, leisure facilities, caterers, large-volume users, company restaurants, petrol stations, small and medium-sized enterprises, small retail businesses, and the institutional markets under the Sligro, De Kweker, and Van Hoeckel brand names in the Netherlands. It also serves institutional, corporate catering, and hotel chain segments under the JAVA Foodservice name; and hospitality industry, culinary professionals, and wholesale delivery service outlets under the Silgro-ISPC name through a network of two cash-and-carry and delivery service sites. In addition, the company is involved in the production of convenience and fresh fish products; sourcing of meat, game and poultry, fruits and vegetables, and bread and pastries; advertise, design, delivery, install, and maintenance of professional kitchen, kitchen equipment, and refrigeration and freezing equipment; and provision of online gift concepts and Christmas gifts, and traditional Christmas hampers. It also offers its products through online platform. Sligro Food Group N.V. was founded in 1935 and is headquartered in Veghel, the Netherlands.",4113,"{'maxAge': 1, 'name': 'Mr. W.  Jansen', 'title': 'Head of Internal & External Communication', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,18.0,18.0,17.92,18.24,18.0,18.0,17.92,18.24,0.6,0.033299997,1695168000,1.5714,1.456081,51.37143,16.803738,31284,31284,24803,20574,20574,0.0,0.0,0,0,796235264,12.86,18.3,0.28880495,17.2216,16.4379,0.55,0.030555556,EUR,1222469888,0.00617,22553137,44186300,0.48942003,0.31389,10.84,1.6586715,1672444800,1703980800,1688083200,-0.957,17000000,0.35,1.07,5.95,2:1,1176681600,0.443,13.736,AMS,EQUITY,SLIGR.AS,SLIGR.AS,Sligro Food Group N.V.,Sligro Food Group N.V.,901004400,Europe/Amsterdam,CEST,7200000,17.98,23.0,16.5,19.9,20.0,2.2,buy,4,32000000,0.724,89000000,460000000,0.389,0.825,2756999936,98.081,56.201,0.01269,0.03598,663000000,63250000,131000000,0.243,0.26549998,0.032279998,0.01052,EUR,
7,Corridor 11,Veghel,5466 RB,Netherlands,31 41 334 3500,https://www.sligrofoodgroup.nl,Food Distribution,Consumer Defensive,"Sligro Food Group N.V. engages in the foodservice businesses in the Netherlands and Belgium. The company offers a range of food and food-related non-food products; and services in the food and beverages wholesale market. It operates a network of cash-and-carry and delivery service sites to serve hospitality industry, leisure facilities, caterers, large-volume users, company restaurants, petrol stations, small and medium-sized enterprises, small retail businesses, and the institutional markets under the Sligro, De Kweker, and Van Hoeckel brand names in the Netherlands. It also serves institutional, corporate catering, and hotel chain segments under the JAVA Foodservice name; and hospitality industry, culinary professionals, and wholesale delivery service outlets under the Silgro-ISPC name through a network of two cash-and-carry and delivery service sites. In addition, the company is involved in the production of convenience and fresh fish products; sourcing of meat, game and poultry, fruits and vegetables, and bread and pastries; advertise, design, delivery, install, and maintenance of professional kitchen, kitchen equipment, and refrigeration and freezing equipment; and provision of online gift concepts and Christmas gifts, and traditional Christmas hampers. It also offers its products through online platform. Sligro Food Group N.V. was founded in 1935 and is headquartered in Veghel, the Netherlands.",4113,"{'maxAge': 1, 'name': 'G. L. Schneemann', 'age': 49, 'title': 'Marketing Director', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,18.0,18.0,17.92,18.24,18.0,18.0,17.92,18.24,0.6,0.033299997,1695168000,1.5714,1.456081,51.37143,16.803738,31284,31284,24803,20574,20574,0.0,0.0,0,0,796235264,12.86,18.3,0.28880495,17.2216,16.4379,0.55,0.030555556,EUR,1222469888,0.00617,22553137,44186300,0.48942003,0.31389,10.84,1.6586715,1672444800,1703980800,1688083200,-0.957,17000000,0.35,1.07,5.95,2:1,1176681600,0.443,13.736,AMS,EQUITY,SLIGR.AS,SLIGR.AS,Sligro Food Group N.V.,Sligro Food Group N.V.,901004400,Europe/Amsterdam,CEST,7200000,17.98,23.0,16.5,19.9,20.0,2.2,buy,4,32000000,0.724,89000000,460000000,0.389,0.825,2756999936,98.081,56.201,0.01269,0.03598,663000000,63250000,131000000,0.243,0.26549998,0.032279998,0.01052,EUR,
8,Corridor 11,Veghel,5466 RB,Netherlands,31 41 334 3500,https://www.sligrofoodgroup.nl,Food Distribution,Consumer Defensive,"Sligro Food Group N.V. engages in the foodservice businesses in the Netherlands and Belgium. The company offers a range of food and food-related non-food products; and services in the food and beverages wholesale market. It operates a network of cash-and-carry and delivery service sites to serve hospitality industry, leisure facilities, caterers, large-volume users, company restaurants, petrol stations, small and medium-sized enterprises, small retail businesses, and the institutional markets under the Sligro, De Kweker, and Van Hoeckel brand names in the Netherlands. It also serves institutional, corporate catering, and hotel chain segments under the JAVA Foodservice name; and hospitality industry, culinary professionals, and wholesale delivery service outlets under the Silgro-ISPC name through a network of two cash-and-carry and delivery service sites. In addition, the company is involved in the production of convenience and fresh fish products; sourcing of meat, game and poultry, fruits and vegetables, and bread and pastries; advertise, design, delivery, install, and maintenance of professional kitchen, kitchen equipment, and refrigeration and freezing equipment; and provision of online gift concepts and Christmas gifts, and traditional Christmas hampers. It also offers its products through online platform. Sligro Food Group N.V. was founded in 1935 and is headquartered in Veghel, the Netherlands.",4113,"{'maxAge': 1, 'name': 'Anja de Bree', 'age': 50, 'title': 'Chief HR Officer', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,18.0,18.0,17.92,18.24,18.0,18.0,17.92,18.24,0.6,0.033299997,1695168000,1.5714,1.456081,51.37143,16.803738,31284,31284,24803,20574,20574,0.0,0.0,0,0,796235264,12.86,18.3,0.28880495,17.2216,16.4379,0.55,0.030555556,EUR,1222469888,0.00617,22553137,44186300,0.48942003,0.31389,10.84,1.6586715,1672444800,1703980800,1688083200,-0.957,17000000,0.35,1.07,5.95,2:1,1176681600,0.443,13.736,AMS,EQUITY,SLIGR.AS,SLIGR.AS,Sligro Food Group N.V.,Sligro Food Group N.V.,901004400,Europe/Amsterdam,CEST,7200000,17.98,23.0,16.5,19.9,20.0,2.2,buy,4,32000000,0.724,89000000,460000000,0.389,0.825,2756999936,98.081,56.201,0.01269,0.03598,663000000,63250000,131000000,0.243,0.26549998,0.032279998,0.01052,EUR,
9,Corridor 11,Veghel,5466 RB,Netherlands,31 41 334 3500,https://www.sligrofoodgroup.nl,Food Distribution,Consumer Defensive,"Sligro Food Group N.V. engages in the foodservice businesses in the Netherlands and Belgium. The company offers a range of food and food-related non-food products; and services in the food and beverages wholesale market. It operates a network of cash-and-carry and delivery service sites to serve hospitality industry, leisure facilities, caterers, large-volume users, company restaurants, petrol stations, small and medium-sized enterprises, small retail businesses, and the institutional markets under the Sligro, De Kweker, and Van Hoeckel brand names in the Netherlands. It also serves institutional, corporate catering, and hotel chain segments under the JAVA Foodservice name; and hospitality industry, culinary professionals, and wholesale delivery service outlets under the Silgro-ISPC name through a network of two cash-and-carry and delivery service sites. In addition, the company is involved in the production of convenience and fresh fish products; sourcing of meat, game and poultry, fruits and vegetables, and bread and pastries; advertise, design, delivery, install, and maintenance of professional kitchen, kitchen equipment, and refrigeration and freezing equipment; and provision of online gift concepts and Christmas gifts, and traditional Christmas hampers. It also offers its products through online platform. Sligro Food Group N.V. was founded in 1935 and is headquartered in Veghel, the Netherlands.",4113,"{'maxAge': 1, 'name': 'Mr. A.  Verlouw', 'title': 'Head of Building Works', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,18.0,18.0,17.92,18.24,18.0,18.0,17.92,18.24,0.6,0.033299997,1695168000,1.5714,1.456081,51.37143,16.803738,31284,31284,24803,20574,20574,0.0,0.0,0,0,796235264,12.86,18.3,0.28880495,17.2216,16.4379,0.55,0.030555556,EUR,1222469888,0.00617,22553137,44186300,0.48942003,0.31389,10.84,1.6586715,1672444800,1703980800,1688083200,-0.957,17000000,0.35,1.07,5.95,2:1,1176681600,0.443,13.736,AMS,EQUITY,SLIGR.AS,SLIGR.AS,Sligro Food Group N.V.,Sligro Food Group N.V.,901004400,Europe/Amsterdam,CEST,7200000,17.98,23.0,16.5,19.9,20.0,2.2,buy,4,32000000,0.724,89000000,460000000,0.389,0.825,2756999936,98.081,56.201,0.01269,0.03598,663000000,63250000,131000000,0.243,0.26549998,0.032279998,0.01052,EUR,
