,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Skelagervej 15,Aalborg,9100,Denmark,45 96 34 40 00,https://www.sparnord.com,Banks—Regional,Financial Services,"Spar Nord Bank A/S provides various banking products and services to retail, business, and public sector customers in Denmark. It offers deposits, loans, advances, and guarantee services, as well as custodianship accounts. The company also provides trading services in the field of equities, bonds, interest and forex, asset management, and international transactions, as well as leasing products. In addition, it offers consumer financing services through retail stores; gift voucher solutions through shopping centers and shopping center associations; and direct loans through its website, sparxpres.dk. Spar Nord Bank A/S was founded in 1824 and is based in Aalborg, Denmark.",1655,"{'maxAge': 1, 'name': 'Mr. Lasse  Nyby', 'age': 62, 'title': 'CEO & Member of Exec. Board', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 6168000, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,3,1,3,1693526400,1672444800,86400,2,103.6,104.4,103.1,105.3,103.6,104.4,103.1,105.3,4.5,0.0434,1679529600,0.2663,0.776651,6.1005917,10.20792,106641,106641,78433,100891,100891,103.2,103.3,0,0,12191058944,77.7,133.0,2.4102528,106.244,109.018,4.5,0.043436293,DKK,9856941056,0.41280997,97236423,118245000,0.39288,0.15503,105.638,0.97597456,1672444800,1703980800,1688083200,1.688,2040999936,16.9,10.1,1.81,10:1,1147132800,1.949,CPH,EQUITY,SPNO.CO,SPNO.CO,Spar Nord Bank A/S,Spar Nord Bank A/S,1096873200,Europe/Copenhagen,CEST,7200000,103.1,133.0,125.0,129.0,129.0,1.0,strong_buy,2,13528000512,111.1,10830999552,5057999872,42.8,0.01699,0.16952999,4067000000,-5703000064,1.833,0.646,0.0,0.0,0.52313,DKK,
1,Skelagervej 15,Aalborg,9100,Denmark,45 96 34 40 00,https://www.sparnord.com,Banks—Regional,Financial Services,"Spar Nord Bank A/S provides various banking products and services to retail, business, and public sector customers in Denmark. It offers deposits, loans, advances, and guarantee services, as well as custodianship accounts. The company also provides trading services in the field of equities, bonds, interest and forex, asset management, and international transactions, as well as leasing products. In addition, it offers consumer financing services through retail stores; gift voucher solutions through shopping centers and shopping center associations; and direct loans through its website, sparxpres.dk. Spar Nord Bank A/S was founded in 1824 and is based in Aalborg, Denmark.",1655,"{'maxAge': 1, 'name': 'Mr. John  Lundsgaard', 'age': 58, 'title': 'MD & Member of Exec. Board', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 4925000, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,3,1,3,1693526400,1672444800,86400,2,103.6,104.4,103.1,105.3,103.6,104.4,103.1,105.3,4.5,0.0434,1679529600,0.2663,0.776651,6.1005917,10.20792,106641,106641,78433,100891,100891,103.2,103.3,0,0,12191058944,77.7,133.0,2.4102528,106.244,109.018,4.5,0.043436293,DKK,9856941056,0.41280997,97236423,118245000,0.39288,0.15503,105.638,0.97597456,1672444800,1703980800,1688083200,1.688,2040999936,16.9,10.1,1.81,10:1,1147132800,1.949,CPH,EQUITY,SPNO.CO,SPNO.CO,Spar Nord Bank A/S,Spar Nord Bank A/S,1096873200,Europe/Copenhagen,CEST,7200000,103.1,133.0,125.0,129.0,129.0,1.0,strong_buy,2,13528000512,111.1,10830999552,5057999872,42.8,0.01699,0.16952999,4067000000,-5703000064,1.833,0.646,0.0,0.0,0.52313,DKK,
2,Skelagervej 15,Aalborg,9100,Denmark,45 96 34 40 00,https://www.sparnord.com,Banks—Regional,Financial Services,"Spar Nord Bank A/S provides various banking products and services to retail, business, and public sector customers in Denmark. It offers deposits, loans, advances, and guarantee services, as well as custodianship accounts. The company also provides trading services in the field of equities, bonds, interest and forex, asset management, and international transactions, as well as leasing products. In addition, it offers consumer financing services through retail stores; gift voucher solutions through shopping centers and shopping center associations; and direct loans through its website, sparxpres.dk. Spar Nord Bank A/S was founded in 1824 and is based in Aalborg, Denmark.",1655,"{'maxAge': 1, 'name': 'Mr. Martin Kudsk Rasmussen', 'age': 44, 'title': 'MD & Member of Exec. Board', 'yearBorn': 1978, 'fiscalYear': 2022, 'totalPay': 4828000, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,3,1,3,1693526400,1672444800,86400,2,103.6,104.4,103.1,105.3,103.6,104.4,103.1,105.3,4.5,0.0434,1679529600,0.2663,0.776651,6.1005917,10.20792,106641,106641,78433,100891,100891,103.2,103.3,0,0,12191058944,77.7,133.0,2.4102528,106.244,109.018,4.5,0.043436293,DKK,9856941056,0.41280997,97236423,118245000,0.39288,0.15503,105.638,0.97597456,1672444800,1703980800,1688083200,1.688,2040999936,16.9,10.1,1.81,10:1,1147132800,1.949,CPH,EQUITY,SPNO.CO,SPNO.CO,Spar Nord Bank A/S,Spar Nord Bank A/S,1096873200,Europe/Copenhagen,CEST,7200000,103.1,133.0,125.0,129.0,129.0,1.0,strong_buy,2,13528000512,111.1,10830999552,5057999872,42.8,0.01699,0.16952999,4067000000,-5703000064,1.833,0.646,0.0,0.0,0.52313,DKK,
3,Skelagervej 15,Aalborg,9100,Denmark,45 96 34 40 00,https://www.sparnord.com,Banks—Regional,Financial Services,"Spar Nord Bank A/S provides various banking products and services to retail, business, and public sector customers in Denmark. It offers deposits, loans, advances, and guarantee services, as well as custodianship accounts. The company also provides trading services in the field of equities, bonds, interest and forex, asset management, and international transactions, as well as leasing products. In addition, it offers consumer financing services through retail stores; gift voucher solutions through shopping centers and shopping center associations; and direct loans through its website, sparxpres.dk. Spar Nord Bank A/S was founded in 1824 and is based in Aalborg, Denmark.",1655,"{'maxAge': 1, 'name': 'Mr. Kim  Ostergaard', 'age': 37, 'title': 'Chief of Digital Bank & Employee Representative Director', 'yearBorn': 1985, 'fiscalYear': 2022, 'totalPay': 460000, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,3,1,3,1693526400,1672444800,86400,2,103.6,104.4,103.1,105.3,103.6,104.4,103.1,105.3,4.5,0.0434,1679529600,0.2663,0.776651,6.1005917,10.20792,106641,106641,78433,100891,100891,103.2,103.3,0,0,12191058944,77.7,133.0,2.4102528,106.244,109.018,4.5,0.043436293,DKK,9856941056,0.41280997,97236423,118245000,0.39288,0.15503,105.638,0.97597456,1672444800,1703980800,1688083200,1.688,2040999936,16.9,10.1,1.81,10:1,1147132800,1.949,CPH,EQUITY,SPNO.CO,SPNO.CO,Spar Nord Bank A/S,Spar Nord Bank A/S,1096873200,Europe/Copenhagen,CEST,7200000,103.1,133.0,125.0,129.0,129.0,1.0,strong_buy,2,13528000512,111.1,10830999552,5057999872,42.8,0.01699,0.16952999,4067000000,-5703000064,1.833,0.646,0.0,0.0,0.52313,DKK,
4,Skelagervej 15,Aalborg,9100,Denmark,45 96 34 40 00,https://www.sparnord.com,Banks—Regional,Financial Services,"Spar Nord Bank A/S provides various banking products and services to retail, business, and public sector customers in Denmark. It offers deposits, loans, advances, and guarantee services, as well as custodianship accounts. The company also provides trading services in the field of equities, bonds, interest and forex, asset management, and international transactions, as well as leasing products. In addition, it offers consumer financing services through retail stores; gift voucher solutions through shopping centers and shopping center associations; and direct loans through its website, sparxpres.dk. Spar Nord Bank A/S was founded in 1824 and is based in Aalborg, Denmark.",1655,"{'maxAge': 1, 'name': 'Carsten Levring Jakobsen', 'age': 52, 'title': 'MD & Member of Exec. Board', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,3,1,3,1693526400,1672444800,86400,2,103.6,104.4,103.1,105.3,103.6,104.4,103.1,105.3,4.5,0.0434,1679529600,0.2663,0.776651,6.1005917,10.20792,106641,106641,78433,100891,100891,103.2,103.3,0,0,12191058944,77.7,133.0,2.4102528,106.244,109.018,4.5,0.043436293,DKK,9856941056,0.41280997,97236423,118245000,0.39288,0.15503,105.638,0.97597456,1672444800,1703980800,1688083200,1.688,2040999936,16.9,10.1,1.81,10:1,1147132800,1.949,CPH,EQUITY,SPNO.CO,SPNO.CO,Spar Nord Bank A/S,Spar Nord Bank A/S,1096873200,Europe/Copenhagen,CEST,7200000,103.1,133.0,125.0,129.0,129.0,1.0,strong_buy,2,13528000512,111.1,10830999552,5057999872,42.8,0.01699,0.16952999,4067000000,-5703000064,1.833,0.646,0.0,0.0,0.52313,DKK,
5,Skelagervej 15,Aalborg,9100,Denmark,45 96 34 40 00,https://www.sparnord.com,Banks—Regional,Financial Services,"Spar Nord Bank A/S provides various banking products and services to retail, business, and public sector customers in Denmark. It offers deposits, loans, advances, and guarantee services, as well as custodianship accounts. The company also provides trading services in the field of equities, bonds, interest and forex, asset management, and international transactions, as well as leasing products. In addition, it offers consumer financing services through retail stores; gift voucher solutions through shopping centers and shopping center associations; and direct loans through its website, sparxpres.dk. Spar Nord Bank A/S was founded in 1824 and is based in Aalborg, Denmark.",1655,"{'maxAge': 1, 'name': 'Mr. Thorkild H. Mathiesen', 'title': 'Gen. Mang. of Fin. & Accounts', 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,3,1,3,1693526400,1672444800,86400,2,103.6,104.4,103.1,105.3,103.6,104.4,103.1,105.3,4.5,0.0434,1679529600,0.2663,0.776651,6.1005917,10.20792,106641,106641,78433,100891,100891,103.2,103.3,0,0,12191058944,77.7,133.0,2.4102528,106.244,109.018,4.5,0.043436293,DKK,9856941056,0.41280997,97236423,118245000,0.39288,0.15503,105.638,0.97597456,1672444800,1703980800,1688083200,1.688,2040999936,16.9,10.1,1.81,10:1,1147132800,1.949,CPH,EQUITY,SPNO.CO,SPNO.CO,Spar Nord Bank A/S,Spar Nord Bank A/S,1096873200,Europe/Copenhagen,CEST,7200000,103.1,133.0,125.0,129.0,129.0,1.0,strong_buy,2,13528000512,111.1,10830999552,5057999872,42.8,0.01699,0.16952999,4067000000,-5703000064,1.833,0.646,0.0,0.0,0.52313,DKK,
6,Skelagervej 15,Aalborg,9100,Denmark,45 96 34 40 00,https://www.sparnord.com,Banks—Regional,Financial Services,"Spar Nord Bank A/S provides various banking products and services to retail, business, and public sector customers in Denmark. It offers deposits, loans, advances, and guarantee services, as well as custodianship accounts. The company also provides trading services in the field of equities, bonds, interest and forex, asset management, and international transactions, as well as leasing products. In addition, it offers consumer financing services through retail stores; gift voucher solutions through shopping centers and shopping center associations; and direct loans through its website, sparxpres.dk. Spar Nord Bank A/S was founded in 1824 and is based in Aalborg, Denmark.",1655,"{'maxAge': 1, 'name': 'Ms. Trine Bruun Haals', 'age': 63, 'title': 'Principal Admin. Officer', 'yearBorn': 1959, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,3,1,3,1693526400,1672444800,86400,2,103.6,104.4,103.1,105.3,103.6,104.4,103.1,105.3,4.5,0.0434,1679529600,0.2663,0.776651,6.1005917,10.20792,106641,106641,78433,100891,100891,103.2,103.3,0,0,12191058944,77.7,133.0,2.4102528,106.244,109.018,4.5,0.043436293,DKK,9856941056,0.41280997,97236423,118245000,0.39288,0.15503,105.638,0.97597456,1672444800,1703980800,1688083200,1.688,2040999936,16.9,10.1,1.81,10:1,1147132800,1.949,CPH,EQUITY,SPNO.CO,SPNO.CO,Spar Nord Bank A/S,Spar Nord Bank A/S,1096873200,Europe/Copenhagen,CEST,7200000,103.1,133.0,125.0,129.0,129.0,1.0,strong_buy,2,13528000512,111.1,10830999552,5057999872,42.8,0.01699,0.16952999,4067000000,-5703000064,1.833,0.646,0.0,0.0,0.52313,DKK,
7,Skelagervej 15,Aalborg,9100,Denmark,45 96 34 40 00,https://www.sparnord.com,Banks—Regional,Financial Services,"Spar Nord Bank A/S provides various banking products and services to retail, business, and public sector customers in Denmark. It offers deposits, loans, advances, and guarantee services, as well as custodianship accounts. The company also provides trading services in the field of equities, bonds, interest and forex, asset management, and international transactions, as well as leasing products. In addition, it offers consumer financing services through retail stores; gift voucher solutions through shopping centers and shopping center associations; and direct loans through its website, sparxpres.dk. Spar Nord Bank A/S was founded in 1824 and is based in Aalborg, Denmark.",1655,"{'maxAge': 1, 'name': 'Mr. Rune Brandt Borglum', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,3,1,3,1693526400,1672444800,86400,2,103.6,104.4,103.1,105.3,103.6,104.4,103.1,105.3,4.5,0.0434,1679529600,0.2663,0.776651,6.1005917,10.20792,106641,106641,78433,100891,100891,103.2,103.3,0,0,12191058944,77.7,133.0,2.4102528,106.244,109.018,4.5,0.043436293,DKK,9856941056,0.41280997,97236423,118245000,0.39288,0.15503,105.638,0.97597456,1672444800,1703980800,1688083200,1.688,2040999936,16.9,10.1,1.81,10:1,1147132800,1.949,CPH,EQUITY,SPNO.CO,SPNO.CO,Spar Nord Bank A/S,Spar Nord Bank A/S,1096873200,Europe/Copenhagen,CEST,7200000,103.1,133.0,125.0,129.0,129.0,1.0,strong_buy,2,13528000512,111.1,10830999552,5057999872,42.8,0.01699,0.16952999,4067000000,-5703000064,1.833,0.646,0.0,0.0,0.52313,DKK,
8,Skelagervej 15,Aalborg,9100,Denmark,45 96 34 40 00,https://www.sparnord.com,Banks—Regional,Financial Services,"Spar Nord Bank A/S provides various banking products and services to retail, business, and public sector customers in Denmark. It offers deposits, loans, advances, and guarantee services, as well as custodianship accounts. The company also provides trading services in the field of equities, bonds, interest and forex, asset management, and international transactions, as well as leasing products. In addition, it offers consumer financing services through retail stores; gift voucher solutions through shopping centers and shopping center associations; and direct loans through its website, sparxpres.dk. Spar Nord Bank A/S was founded in 1824 and is based in Aalborg, Denmark.",1655,"{'maxAge': 1, 'name': 'Ms. Karin  Duerlund', 'title': 'Head of Legal Department', 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,3,1,3,1693526400,1672444800,86400,2,103.6,104.4,103.1,105.3,103.6,104.4,103.1,105.3,4.5,0.0434,1679529600,0.2663,0.776651,6.1005917,10.20792,106641,106641,78433,100891,100891,103.2,103.3,0,0,12191058944,77.7,133.0,2.4102528,106.244,109.018,4.5,0.043436293,DKK,9856941056,0.41280997,97236423,118245000,0.39288,0.15503,105.638,0.97597456,1672444800,1703980800,1688083200,1.688,2040999936,16.9,10.1,1.81,10:1,1147132800,1.949,CPH,EQUITY,SPNO.CO,SPNO.CO,Spar Nord Bank A/S,Spar Nord Bank A/S,1096873200,Europe/Copenhagen,CEST,7200000,103.1,133.0,125.0,129.0,129.0,1.0,strong_buy,2,13528000512,111.1,10830999552,5057999872,42.8,0.01699,0.16952999,4067000000,-5703000064,1.833,0.646,0.0,0.0,0.52313,DKK,
9,Skelagervej 15,Aalborg,9100,Denmark,45 96 34 40 00,https://www.sparnord.com,Banks—Regional,Financial Services,"Spar Nord Bank A/S provides various banking products and services to retail, business, and public sector customers in Denmark. It offers deposits, loans, advances, and guarantee services, as well as custodianship accounts. The company also provides trading services in the field of equities, bonds, interest and forex, asset management, and international transactions, as well as leasing products. In addition, it offers consumer financing services through retail stores; gift voucher solutions through shopping centers and shopping center associations; and direct loans through its website, sparxpres.dk. Spar Nord Bank A/S was founded in 1824 and is based in Aalborg, Denmark.",1655,"{'maxAge': 1, 'name': 'Martin  Bach', 'title': 'Head of Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,3,1,3,1693526400,1672444800,86400,2,103.6,104.4,103.1,105.3,103.6,104.4,103.1,105.3,4.5,0.0434,1679529600,0.2663,0.776651,6.1005917,10.20792,106641,106641,78433,100891,100891,103.2,103.3,0,0,12191058944,77.7,133.0,2.4102528,106.244,109.018,4.5,0.043436293,DKK,9856941056,0.41280997,97236423,118245000,0.39288,0.15503,105.638,0.97597456,1672444800,1703980800,1688083200,1.688,2040999936,16.9,10.1,1.81,10:1,1147132800,1.949,CPH,EQUITY,SPNO.CO,SPNO.CO,Spar Nord Bank A/S,Spar Nord Bank A/S,1096873200,Europe/Copenhagen,CEST,7200000,103.1,133.0,125.0,129.0,129.0,1.0,strong_buy,2,13528000512,111.1,10830999552,5057999872,42.8,0.01699,0.16952999,4067000000,-5703000064,1.833,0.646,0.0,0.0,0.52313,DKK,
