,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,2401 Utah Avenue South,Seattle,WA,98134,United States,206 447 1575,https://www.starbucks.com,Restaurants,Consumer Cyclical,"Starbucks Corporation, together with its subsidiaries, operates as a roaster, marketer, and retailer of specialty coffee worldwide. The company operates through three segments: North America, International, and Channel Development. Its stores offer coffee and tea beverages, roasted whole beans and ground coffees, single serve products, and ready-to-drink beverages; and various food products, such as pastries, breakfast sandwiches, and lunch items. The company also licenses its trademarks through licensed stores, and grocery and foodservice accounts. The company offers its products under the Starbucks, Teavana, Seattle's Best Coffee, Evolution Fresh, Ethos, Starbucks Reserve, and Princi brands. Starbucks Corporation has company-operated and licensed stores in North America and internationally. The company was founded in 1971 and is based in Seattle, Washington.",402000,"{'maxAge': 1, 'name': 'Mr. Laxman  Narasimhan', 'age': 54, 'title': 'CEO & Director', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 1606955, 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,3,2,1,1693526400,1672444800,86400,2,91.2,91.4,90.5,91.4,91.2,91.4,90.5,91.4,1.96,0.0216,1691625600,0.6341,1.9,0.933264,29.448051,311,311,522,229,229,90.7,91.0,20000,40000,103887781888,83.58,104.6,2.966849,90.744,94.47895,2.12,0.023245614,EUR,124695977984,0.10805,1121587134,1145400064,0.02083,0.73457,-7.289,1664668800,1696204800,1688256000,0.251,3783500032,3.08,2:1,1428537600,3.561,19.17,GER,EQUITY,SRB.DE,SRB.DE,STARBUCKS CORP.,Starbucks Corporation,944467200,Europe/Berlin,CEST,7200000,90.7,none,3620000000,3.16,6504600064,24421199872,0.517,0.778,35016200192,30.515,0.11141,8385400000,2723974912,5163400192,0.253,0.125,0.26558,0.18576,0.14479999,USD,1.331
1,2401 Utah Avenue South,Seattle,WA,98134,United States,206 447 1575,https://www.starbucks.com,Restaurants,Consumer Cyclical,"Starbucks Corporation, together with its subsidiaries, operates as a roaster, marketer, and retailer of specialty coffee worldwide. The company operates through three segments: North America, International, and Channel Development. Its stores offer coffee and tea beverages, roasted whole beans and ground coffees, single serve products, and ready-to-drink beverages; and various food products, such as pastries, breakfast sandwiches, and lunch items. The company also licenses its trademarks through licensed stores, and grocery and foodservice accounts. The company offers its products under the Starbucks, Teavana, Seattle's Best Coffee, Evolution Fresh, Ethos, Starbucks Reserve, and Princi brands. Starbucks Corporation has company-operated and licensed stores in North America and internationally. The company was founded in 1971 and is based in Seattle, Washington.",402000,"{'maxAge': 1, 'name': 'Ms. Rachel  Ruggeri', 'age': 52, 'title': 'Exec. VP, CFO & Principal Accounting Officer', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 844790, 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,3,2,1,1693526400,1672444800,86400,2,91.2,91.4,90.5,91.4,91.2,91.4,90.5,91.4,1.96,0.0216,1691625600,0.6341,1.9,0.933264,29.448051,311,311,522,229,229,90.7,91.0,20000,40000,103887781888,83.58,104.6,2.966849,90.744,94.47895,2.12,0.023245614,EUR,124695977984,0.10805,1121587134,1145400064,0.02083,0.73457,-7.289,1664668800,1696204800,1688256000,0.251,3783500032,3.08,2:1,1428537600,3.561,19.17,GER,EQUITY,SRB.DE,SRB.DE,STARBUCKS CORP.,Starbucks Corporation,944467200,Europe/Berlin,CEST,7200000,90.7,none,3620000000,3.16,6504600064,24421199872,0.517,0.778,35016200192,30.515,0.11141,8385400000,2723974912,5163400192,0.253,0.125,0.26558,0.18576,0.14479999,USD,1.331
2,2401 Utah Avenue South,Seattle,WA,98134,United States,206 447 1575,https://www.starbucks.com,Restaurants,Consumer Cyclical,"Starbucks Corporation, together with its subsidiaries, operates as a roaster, marketer, and retailer of specialty coffee worldwide. The company operates through three segments: North America, International, and Channel Development. Its stores offer coffee and tea beverages, roasted whole beans and ground coffees, single serve products, and ready-to-drink beverages; and various food products, such as pastries, breakfast sandwiches, and lunch items. The company also licenses its trademarks through licensed stores, and grocery and foodservice accounts. The company offers its products under the Starbucks, Teavana, Seattle's Best Coffee, Evolution Fresh, Ethos, Starbucks Reserve, and Princi brands. Starbucks Corporation has company-operated and licensed stores in North America and internationally. The company was founded in 1971 and is based in Seattle, Washington.",402000,"{'maxAge': 1, 'name': 'Mr. Michael A. Conway', 'age': 55, 'title': 'Group Pres of International & Channel Devel.', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 1591462, 'exercisedValue': 1653072, 'unexercisedValue': 0}",3,4,3,2,1,1693526400,1672444800,86400,2,91.2,91.4,90.5,91.4,91.2,91.4,90.5,91.4,1.96,0.0216,1691625600,0.6341,1.9,0.933264,29.448051,311,311,522,229,229,90.7,91.0,20000,40000,103887781888,83.58,104.6,2.966849,90.744,94.47895,2.12,0.023245614,EUR,124695977984,0.10805,1121587134,1145400064,0.02083,0.73457,-7.289,1664668800,1696204800,1688256000,0.251,3783500032,3.08,2:1,1428537600,3.561,19.17,GER,EQUITY,SRB.DE,SRB.DE,STARBUCKS CORP.,Starbucks Corporation,944467200,Europe/Berlin,CEST,7200000,90.7,none,3620000000,3.16,6504600064,24421199872,0.517,0.778,35016200192,30.515,0.11141,8385400000,2723974912,5163400192,0.253,0.125,0.26558,0.18576,0.14479999,USD,1.331
3,2401 Utah Avenue South,Seattle,WA,98134,United States,206 447 1575,https://www.starbucks.com,Restaurants,Consumer Cyclical,"Starbucks Corporation, together with its subsidiaries, operates as a roaster, marketer, and retailer of specialty coffee worldwide. The company operates through three segments: North America, International, and Channel Development. Its stores offer coffee and tea beverages, roasted whole beans and ground coffees, single serve products, and ready-to-drink beverages; and various food products, such as pastries, breakfast sandwiches, and lunch items. The company also licenses its trademarks through licensed stores, and grocery and foodservice accounts. The company offers its products under the Starbucks, Teavana, Seattle's Best Coffee, Evolution Fresh, Ethos, Starbucks Reserve, and Princi brands. Starbucks Corporation has company-operated and licensed stores in North America and internationally. The company was founded in 1971 and is based in Seattle, Washington.",402000,"{'maxAge': 1, 'name': 'Ms. Deborah L. Hall Lefevre', 'age': 54, 'title': 'Exec. VP & CTO', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,3,2,1,1693526400,1672444800,86400,2,91.2,91.4,90.5,91.4,91.2,91.4,90.5,91.4,1.96,0.0216,1691625600,0.6341,1.9,0.933264,29.448051,311,311,522,229,229,90.7,91.0,20000,40000,103887781888,83.58,104.6,2.966849,90.744,94.47895,2.12,0.023245614,EUR,124695977984,0.10805,1121587134,1145400064,0.02083,0.73457,-7.289,1664668800,1696204800,1688256000,0.251,3783500032,3.08,2:1,1428537600,3.561,19.17,GER,EQUITY,SRB.DE,SRB.DE,STARBUCKS CORP.,Starbucks Corporation,944467200,Europe/Berlin,CEST,7200000,90.7,none,3620000000,3.16,6504600064,24421199872,0.517,0.778,35016200192,30.515,0.11141,8385400000,2723974912,5163400192,0.253,0.125,0.26558,0.18576,0.14479999,USD,1.331
4,2401 Utah Avenue South,Seattle,WA,98134,United States,206 447 1575,https://www.starbucks.com,Restaurants,Consumer Cyclical,"Starbucks Corporation, together with its subsidiaries, operates as a roaster, marketer, and retailer of specialty coffee worldwide. The company operates through three segments: North America, International, and Channel Development. Its stores offer coffee and tea beverages, roasted whole beans and ground coffees, single serve products, and ready-to-drink beverages; and various food products, such as pastries, breakfast sandwiches, and lunch items. The company also licenses its trademarks through licensed stores, and grocery and foodservice accounts. The company offers its products under the Starbucks, Teavana, Seattle's Best Coffee, Evolution Fresh, Ethos, Starbucks Reserve, and Princi brands. Starbucks Corporation has company-operated and licensed stores in North America and internationally. The company was founded in 1971 and is based in Seattle, Washington.",402000,"{'maxAge': 1, 'name': 'Ms. Tiffany  Willis', 'title': 'VP of Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,3,2,1,1693526400,1672444800,86400,2,91.2,91.4,90.5,91.4,91.2,91.4,90.5,91.4,1.96,0.0216,1691625600,0.6341,1.9,0.933264,29.448051,311,311,522,229,229,90.7,91.0,20000,40000,103887781888,83.58,104.6,2.966849,90.744,94.47895,2.12,0.023245614,EUR,124695977984,0.10805,1121587134,1145400064,0.02083,0.73457,-7.289,1664668800,1696204800,1688256000,0.251,3783500032,3.08,2:1,1428537600,3.561,19.17,GER,EQUITY,SRB.DE,SRB.DE,STARBUCKS CORP.,Starbucks Corporation,944467200,Europe/Berlin,CEST,7200000,90.7,none,3620000000,3.16,6504600064,24421199872,0.517,0.778,35016200192,30.515,0.11141,8385400000,2723974912,5163400192,0.253,0.125,0.26558,0.18576,0.14479999,USD,1.331
5,2401 Utah Avenue South,Seattle,WA,98134,United States,206 447 1575,https://www.starbucks.com,Restaurants,Consumer Cyclical,"Starbucks Corporation, together with its subsidiaries, operates as a roaster, marketer, and retailer of specialty coffee worldwide. The company operates through three segments: North America, International, and Channel Development. Its stores offer coffee and tea beverages, roasted whole beans and ground coffees, single serve products, and ready-to-drink beverages; and various food products, such as pastries, breakfast sandwiches, and lunch items. The company also licenses its trademarks through licensed stores, and grocery and foodservice accounts. The company offers its products under the Starbucks, Teavana, Seattle's Best Coffee, Evolution Fresh, Ethos, Starbucks Reserve, and Princi brands. Starbucks Corporation has company-operated and licensed stores in North America and internationally. The company was founded in 1971 and is based in Seattle, Washington.",402000,"{'maxAge': 1, 'name': 'Mr. Ashish  Mishra', 'title': 'Sr. VP, Deputy Gen. Counsel and Chief Ethics & Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,3,2,1,1693526400,1672444800,86400,2,91.2,91.4,90.5,91.4,91.2,91.4,90.5,91.4,1.96,0.0216,1691625600,0.6341,1.9,0.933264,29.448051,311,311,522,229,229,90.7,91.0,20000,40000,103887781888,83.58,104.6,2.966849,90.744,94.47895,2.12,0.023245614,EUR,124695977984,0.10805,1121587134,1145400064,0.02083,0.73457,-7.289,1664668800,1696204800,1688256000,0.251,3783500032,3.08,2:1,1428537600,3.561,19.17,GER,EQUITY,SRB.DE,SRB.DE,STARBUCKS CORP.,Starbucks Corporation,944467200,Europe/Berlin,CEST,7200000,90.7,none,3620000000,3.16,6504600064,24421199872,0.517,0.778,35016200192,30.515,0.11141,8385400000,2723974912,5163400192,0.253,0.125,0.26558,0.18576,0.14479999,USD,1.331
6,2401 Utah Avenue South,Seattle,WA,98134,United States,206 447 1575,https://www.starbucks.com,Restaurants,Consumer Cyclical,"Starbucks Corporation, together with its subsidiaries, operates as a roaster, marketer, and retailer of specialty coffee worldwide. The company operates through three segments: North America, International, and Channel Development. Its stores offer coffee and tea beverages, roasted whole beans and ground coffees, single serve products, and ready-to-drink beverages; and various food products, such as pastries, breakfast sandwiches, and lunch items. The company also licenses its trademarks through licensed stores, and grocery and foodservice accounts. The company offers its products under the Starbucks, Teavana, Seattle's Best Coffee, Evolution Fresh, Ethos, Starbucks Reserve, and Princi brands. Starbucks Corporation has company-operated and licensed stores in North America and internationally. The company was founded in 1971 and is based in Seattle, Washington.",402000,"{'maxAge': 1, 'name': 'Mr. Bradley E. Lerman', 'age': 65, 'title': 'Exec. VP & Gen. Counsel', 'yearBorn': 1957, 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,3,2,1,1693526400,1672444800,86400,2,91.2,91.4,90.5,91.4,91.2,91.4,90.5,91.4,1.96,0.0216,1691625600,0.6341,1.9,0.933264,29.448051,311,311,522,229,229,90.7,91.0,20000,40000,103887781888,83.58,104.6,2.966849,90.744,94.47895,2.12,0.023245614,EUR,124695977984,0.10805,1121587134,1145400064,0.02083,0.73457,-7.289,1664668800,1696204800,1688256000,0.251,3783500032,3.08,2:1,1428537600,3.561,19.17,GER,EQUITY,SRB.DE,SRB.DE,STARBUCKS CORP.,Starbucks Corporation,944467200,Europe/Berlin,CEST,7200000,90.7,none,3620000000,3.16,6504600064,24421199872,0.517,0.778,35016200192,30.515,0.11141,8385400000,2723974912,5163400192,0.253,0.125,0.26558,0.18576,0.14479999,USD,1.331
7,2401 Utah Avenue South,Seattle,WA,98134,United States,206 447 1575,https://www.starbucks.com,Restaurants,Consumer Cyclical,"Starbucks Corporation, together with its subsidiaries, operates as a roaster, marketer, and retailer of specialty coffee worldwide. The company operates through three segments: North America, International, and Channel Development. Its stores offer coffee and tea beverages, roasted whole beans and ground coffees, single serve products, and ready-to-drink beverages; and various food products, such as pastries, breakfast sandwiches, and lunch items. The company also licenses its trademarks through licensed stores, and grocery and foodservice accounts. The company offers its products under the Starbucks, Teavana, Seattle's Best Coffee, Evolution Fresh, Ethos, Starbucks Reserve, and Princi brands. Starbucks Corporation has company-operated and licensed stores in North America and internationally. The company was founded in 1971 and is based in Seattle, Washington.",402000,"{'maxAge': 1, 'name': 'Mr. Aranthan  Jones II', 'age': 45, 'title': 'Exec. VP & Chief Communications Officer of Public Affairs', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,3,2,1,1693526400,1672444800,86400,2,91.2,91.4,90.5,91.4,91.2,91.4,90.5,91.4,1.96,0.0216,1691625600,0.6341,1.9,0.933264,29.448051,311,311,522,229,229,90.7,91.0,20000,40000,103887781888,83.58,104.6,2.966849,90.744,94.47895,2.12,0.023245614,EUR,124695977984,0.10805,1121587134,1145400064,0.02083,0.73457,-7.289,1664668800,1696204800,1688256000,0.251,3783500032,3.08,2:1,1428537600,3.561,19.17,GER,EQUITY,SRB.DE,SRB.DE,STARBUCKS CORP.,Starbucks Corporation,944467200,Europe/Berlin,CEST,7200000,90.7,none,3620000000,3.16,6504600064,24421199872,0.517,0.778,35016200192,30.515,0.11141,8385400000,2723974912,5163400192,0.253,0.125,0.26558,0.18576,0.14479999,USD,1.331
8,2401 Utah Avenue South,Seattle,WA,98134,United States,206 447 1575,https://www.starbucks.com,Restaurants,Consumer Cyclical,"Starbucks Corporation, together with its subsidiaries, operates as a roaster, marketer, and retailer of specialty coffee worldwide. The company operates through three segments: North America, International, and Channel Development. Its stores offer coffee and tea beverages, roasted whole beans and ground coffees, single serve products, and ready-to-drink beverages; and various food products, such as pastries, breakfast sandwiches, and lunch items. The company also licenses its trademarks through licensed stores, and grocery and foodservice accounts. The company offers its products under the Starbucks, Teavana, Seattle's Best Coffee, Evolution Fresh, Ethos, Starbucks Reserve, and Princi brands. Starbucks Corporation has company-operated and licensed stores in North America and internationally. The company was founded in 1971 and is based in Seattle, Washington.",402000,"{'maxAge': 1, 'name': 'Mr. Brady  Brewer', 'age': 49, 'title': 'Exec. VP & Chief Marketing Officer', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,3,2,1,1693526400,1672444800,86400,2,91.2,91.4,90.5,91.4,91.2,91.4,90.5,91.4,1.96,0.0216,1691625600,0.6341,1.9,0.933264,29.448051,311,311,522,229,229,90.7,91.0,20000,40000,103887781888,83.58,104.6,2.966849,90.744,94.47895,2.12,0.023245614,EUR,124695977984,0.10805,1121587134,1145400064,0.02083,0.73457,-7.289,1664668800,1696204800,1688256000,0.251,3783500032,3.08,2:1,1428537600,3.561,19.17,GER,EQUITY,SRB.DE,SRB.DE,STARBUCKS CORP.,Starbucks Corporation,944467200,Europe/Berlin,CEST,7200000,90.7,none,3620000000,3.16,6504600064,24421199872,0.517,0.778,35016200192,30.515,0.11141,8385400000,2723974912,5163400192,0.253,0.125,0.26558,0.18576,0.14479999,USD,1.331
9,2401 Utah Avenue South,Seattle,WA,98134,United States,206 447 1575,https://www.starbucks.com,Restaurants,Consumer Cyclical,"Starbucks Corporation, together with its subsidiaries, operates as a roaster, marketer, and retailer of specialty coffee worldwide. The company operates through three segments: North America, International, and Channel Development. Its stores offer coffee and tea beverages, roasted whole beans and ground coffees, single serve products, and ready-to-drink beverages; and various food products, such as pastries, breakfast sandwiches, and lunch items. The company also licenses its trademarks through licensed stores, and grocery and foodservice accounts. The company offers its products under the Starbucks, Teavana, Seattle's Best Coffee, Evolution Fresh, Ethos, Starbucks Reserve, and Princi brands. Starbucks Corporation has company-operated and licensed stores in North America and internationally. The company was founded in 1971 and is based in Seattle, Washington.",402000,"{'maxAge': 1, 'name': 'Mr. Andy  Adams', 'title': 'Sr. VP of Store Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,3,2,1,1693526400,1672444800,86400,2,91.2,91.4,90.5,91.4,91.2,91.4,90.5,91.4,1.96,0.0216,1691625600,0.6341,1.9,0.933264,29.448051,311,311,522,229,229,90.7,91.0,20000,40000,103887781888,83.58,104.6,2.966849,90.744,94.47895,2.12,0.023245614,EUR,124695977984,0.10805,1121587134,1145400064,0.02083,0.73457,-7.289,1664668800,1696204800,1688256000,0.251,3783500032,3.08,2:1,1428537600,3.561,19.17,GER,EQUITY,SRB.DE,SRB.DE,STARBUCKS CORP.,Starbucks Corporation,944467200,Europe/Berlin,CEST,7200000,90.7,none,3620000000,3.16,6504600064,24421199872,0.517,0.778,35016200192,30.515,0.11141,8385400000,2723974912,5163400192,0.253,0.125,0.26558,0.18576,0.14479999,USD,1.331
