,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,63 Constitution Drive,Chico,CA,95973,United States,530 898 0300,https://www.tcbk.com,Banks—Regional,Financial Services,"TriCo Bancshares operates as a bank holding company for Tri Counties Bank that provides commercial banking services to individual and corporate customers. The company accepts demand, savings, and time deposits. It also provides small business loans; real estate mortgage loans, such as residential and commercial loans; consumer loans; commercial loans, including agricultural loans; and real estate construction loans. In addition, the company offers treasury management services; and other customary banking services, including safe deposit boxes; and independent financial and broker-dealer services. The company was founded in 1975 and is headquartered in Chico, California.",1210,"{'maxAge': 1, 'name': 'Mr. Richard P. Smith', 'age': 64, 'title': 'Chairman, Pres & CEO', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 2361428, 'exercisedValue': 1236840, 'unexercisedValue': 0}",2,5,3,3,3,1693526400,1672444800,86400,2,33.21,33.27,32.79,33.85,33.21,33.27,32.79,33.85,1.2,0.036,1694044800,0.2978,2.37,0.593015,8.267989,9.828908,169437,169437,75948,89540,89540,13.32,35.5,800,800,1108333184,28.66,58.62,2.6795669,35.806,41.29475,1.2,0.036133695,USD,1540005632,0.32494998,31576228,33263300,539753,542355,1690761600,1693440000,0.0162,0.05074,0.63453,9.31,0.016900001,32.856,1.0141222,1672444800,1703980800,1688083200,-0.206,134406000,4.03,3.39,1.34,2:1,1083542400,3.723,NMS,EQUITY,TCBK,TCBK,TriCo Bancshares,TriCo Bancshares,735312600,America/New_York,EDT,-14400000,33.32,45.0,40.0,42.5,42.5,1.8,buy,6,93485000,2.81,525156000,413624000,12.419,0.013459999,0.12591,391313000,146951008,-0.194,-0.047,0.0,0.0,0.44647998,USD,
1,63 Constitution Drive,Chico,CA,95973,United States,530 898 0300,https://www.tcbk.com,Banks—Regional,Financial Services,"TriCo Bancshares operates as a bank holding company for Tri Counties Bank that provides commercial banking services to individual and corporate customers. The company accepts demand, savings, and time deposits. It also provides small business loans; real estate mortgage loans, such as residential and commercial loans; consumer loans; commercial loans, including agricultural loans; and real estate construction loans. In addition, the company offers treasury management services; and other customary banking services, including safe deposit boxes; and independent financial and broker-dealer services. The company was founded in 1975 and is headquartered in Chico, California.",1210,"{'maxAge': 1, 'name': 'Mr. Michael W. Koehnen', 'age': 61, 'title': 'Independent Vice Chairman & Corp. Sec.', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 50608, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,3,3,3,1693526400,1672444800,86400,2,33.21,33.27,32.79,33.85,33.21,33.27,32.79,33.85,1.2,0.036,1694044800,0.2978,2.37,0.593015,8.267989,9.828908,169437,169437,75948,89540,89540,13.32,35.5,800,800,1108333184,28.66,58.62,2.6795669,35.806,41.29475,1.2,0.036133695,USD,1540005632,0.32494998,31576228,33263300,539753,542355,1690761600,1693440000,0.0162,0.05074,0.63453,9.31,0.016900001,32.856,1.0141222,1672444800,1703980800,1688083200,-0.206,134406000,4.03,3.39,1.34,2:1,1083542400,3.723,NMS,EQUITY,TCBK,TCBK,TriCo Bancshares,TriCo Bancshares,735312600,America/New_York,EDT,-14400000,33.32,45.0,40.0,42.5,42.5,1.8,buy,6,93485000,2.81,525156000,413624000,12.419,0.013459999,0.12591,391313000,146951008,-0.194,-0.047,0.0,0.0,0.44647998,USD,
2,63 Constitution Drive,Chico,CA,95973,United States,530 898 0300,https://www.tcbk.com,Banks—Regional,Financial Services,"TriCo Bancshares operates as a bank holding company for Tri Counties Bank that provides commercial banking services to individual and corporate customers. The company accepts demand, savings, and time deposits. It also provides small business loans; real estate mortgage loans, such as residential and commercial loans; consumer loans; commercial loans, including agricultural loans; and real estate construction loans. In addition, the company offers treasury management services; and other customary banking services, including safe deposit boxes; and independent financial and broker-dealer services. The company was founded in 1975 and is headquartered in Chico, California.",1210,"{'maxAge': 1, 'name': 'Mr. Peter G. Wiese', 'age': 47, 'title': 'Exec. VP & CFO', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 1063725, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,3,3,3,1693526400,1672444800,86400,2,33.21,33.27,32.79,33.85,33.21,33.27,32.79,33.85,1.2,0.036,1694044800,0.2978,2.37,0.593015,8.267989,9.828908,169437,169437,75948,89540,89540,13.32,35.5,800,800,1108333184,28.66,58.62,2.6795669,35.806,41.29475,1.2,0.036133695,USD,1540005632,0.32494998,31576228,33263300,539753,542355,1690761600,1693440000,0.0162,0.05074,0.63453,9.31,0.016900001,32.856,1.0141222,1672444800,1703980800,1688083200,-0.206,134406000,4.03,3.39,1.34,2:1,1083542400,3.723,NMS,EQUITY,TCBK,TCBK,TriCo Bancshares,TriCo Bancshares,735312600,America/New_York,EDT,-14400000,33.32,45.0,40.0,42.5,42.5,1.8,buy,6,93485000,2.81,525156000,413624000,12.419,0.013459999,0.12591,391313000,146951008,-0.194,-0.047,0.0,0.0,0.44647998,USD,
3,63 Constitution Drive,Chico,CA,95973,United States,530 898 0300,https://www.tcbk.com,Banks—Regional,Financial Services,"TriCo Bancshares operates as a bank holding company for Tri Counties Bank that provides commercial banking services to individual and corporate customers. The company accepts demand, savings, and time deposits. It also provides small business loans; real estate mortgage loans, such as residential and commercial loans; consumer loans; commercial loans, including agricultural loans; and real estate construction loans. In addition, the company offers treasury management services; and other customary banking services, including safe deposit boxes; and independent financial and broker-dealer services. The company was founded in 1975 and is headquartered in Chico, California.",1210,"{'maxAge': 1, 'name': 'Mr. John S. Fleshood', 'age': 59, 'title': 'Exec. VP & COO', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 1015381, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,3,3,3,1693526400,1672444800,86400,2,33.21,33.27,32.79,33.85,33.21,33.27,32.79,33.85,1.2,0.036,1694044800,0.2978,2.37,0.593015,8.267989,9.828908,169437,169437,75948,89540,89540,13.32,35.5,800,800,1108333184,28.66,58.62,2.6795669,35.806,41.29475,1.2,0.036133695,USD,1540005632,0.32494998,31576228,33263300,539753,542355,1690761600,1693440000,0.0162,0.05074,0.63453,9.31,0.016900001,32.856,1.0141222,1672444800,1703980800,1688083200,-0.206,134406000,4.03,3.39,1.34,2:1,1083542400,3.723,NMS,EQUITY,TCBK,TCBK,TriCo Bancshares,TriCo Bancshares,735312600,America/New_York,EDT,-14400000,33.32,45.0,40.0,42.5,42.5,1.8,buy,6,93485000,2.81,525156000,413624000,12.419,0.013459999,0.12591,391313000,146951008,-0.194,-0.047,0.0,0.0,0.44647998,USD,
4,63 Constitution Drive,Chico,CA,95973,United States,530 898 0300,https://www.tcbk.com,Banks—Regional,Financial Services,"TriCo Bancshares operates as a bank holding company for Tri Counties Bank that provides commercial banking services to individual and corporate customers. The company accepts demand, savings, and time deposits. It also provides small business loans; real estate mortgage loans, such as residential and commercial loans; consumer loans; commercial loans, including agricultural loans; and real estate construction loans. In addition, the company offers treasury management services; and other customary banking services, including safe deposit boxes; and independent financial and broker-dealer services. The company was founded in 1975 and is headquartered in Chico, California.",1210,"{'maxAge': 1, 'name': 'Mr. Craig B. Carney', 'age': 63, 'title': 'Exec. VP & Chief Credit Officer of Tri Counties Bank', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 910060, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,3,3,3,1693526400,1672444800,86400,2,33.21,33.27,32.79,33.85,33.21,33.27,32.79,33.85,1.2,0.036,1694044800,0.2978,2.37,0.593015,8.267989,9.828908,169437,169437,75948,89540,89540,13.32,35.5,800,800,1108333184,28.66,58.62,2.6795669,35.806,41.29475,1.2,0.036133695,USD,1540005632,0.32494998,31576228,33263300,539753,542355,1690761600,1693440000,0.0162,0.05074,0.63453,9.31,0.016900001,32.856,1.0141222,1672444800,1703980800,1688083200,-0.206,134406000,4.03,3.39,1.34,2:1,1083542400,3.723,NMS,EQUITY,TCBK,TCBK,TriCo Bancshares,TriCo Bancshares,735312600,America/New_York,EDT,-14400000,33.32,45.0,40.0,42.5,42.5,1.8,buy,6,93485000,2.81,525156000,413624000,12.419,0.013459999,0.12591,391313000,146951008,-0.194,-0.047,0.0,0.0,0.44647998,USD,
5,63 Constitution Drive,Chico,CA,95973,United States,530 898 0300,https://www.tcbk.com,Banks—Regional,Financial Services,"TriCo Bancshares operates as a bank holding company for Tri Counties Bank that provides commercial banking services to individual and corporate customers. The company accepts demand, savings, and time deposits. It also provides small business loans; real estate mortgage loans, such as residential and commercial loans; consumer loans; commercial loans, including agricultural loans; and real estate construction loans. In addition, the company offers treasury management services; and other customary banking services, including safe deposit boxes; and independent financial and broker-dealer services. The company was founded in 1975 and is headquartered in Chico, California.",1210,"{'maxAge': 1, 'name': 'Mr. Daniel K. Bailey', 'age': 53, 'title': 'Exec. VP & Chief Banking Officer', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 956288, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,3,3,3,1693526400,1672444800,86400,2,33.21,33.27,32.79,33.85,33.21,33.27,32.79,33.85,1.2,0.036,1694044800,0.2978,2.37,0.593015,8.267989,9.828908,169437,169437,75948,89540,89540,13.32,35.5,800,800,1108333184,28.66,58.62,2.6795669,35.806,41.29475,1.2,0.036133695,USD,1540005632,0.32494998,31576228,33263300,539753,542355,1690761600,1693440000,0.0162,0.05074,0.63453,9.31,0.016900001,32.856,1.0141222,1672444800,1703980800,1688083200,-0.206,134406000,4.03,3.39,1.34,2:1,1083542400,3.723,NMS,EQUITY,TCBK,TCBK,TriCo Bancshares,TriCo Bancshares,735312600,America/New_York,EDT,-14400000,33.32,45.0,40.0,42.5,42.5,1.8,buy,6,93485000,2.81,525156000,413624000,12.419,0.013459999,0.12591,391313000,146951008,-0.194,-0.047,0.0,0.0,0.44647998,USD,
6,63 Constitution Drive,Chico,CA,95973,United States,530 898 0300,https://www.tcbk.com,Banks—Regional,Financial Services,"TriCo Bancshares operates as a bank holding company for Tri Counties Bank that provides commercial banking services to individual and corporate customers. The company accepts demand, savings, and time deposits. It also provides small business loans; real estate mortgage loans, such as residential and commercial loans; consumer loans; commercial loans, including agricultural loans; and real estate construction loans. In addition, the company offers treasury management services; and other customary banking services, including safe deposit boxes; and independent financial and broker-dealer services. The company was founded in 1975 and is headquartered in Chico, California.",1210,"{'maxAge': 1, 'name': 'Mr. Jason  Cove', 'title': 'Shareholder Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,3,3,3,1693526400,1672444800,86400,2,33.21,33.27,32.79,33.85,33.21,33.27,32.79,33.85,1.2,0.036,1694044800,0.2978,2.37,0.593015,8.267989,9.828908,169437,169437,75948,89540,89540,13.32,35.5,800,800,1108333184,28.66,58.62,2.6795669,35.806,41.29475,1.2,0.036133695,USD,1540005632,0.32494998,31576228,33263300,539753,542355,1690761600,1693440000,0.0162,0.05074,0.63453,9.31,0.016900001,32.856,1.0141222,1672444800,1703980800,1688083200,-0.206,134406000,4.03,3.39,1.34,2:1,1083542400,3.723,NMS,EQUITY,TCBK,TCBK,TriCo Bancshares,TriCo Bancshares,735312600,America/New_York,EDT,-14400000,33.32,45.0,40.0,42.5,42.5,1.8,buy,6,93485000,2.81,525156000,413624000,12.419,0.013459999,0.12591,391313000,146951008,-0.194,-0.047,0.0,0.0,0.44647998,USD,
7,63 Constitution Drive,Chico,CA,95973,United States,530 898 0300,https://www.tcbk.com,Banks—Regional,Financial Services,"TriCo Bancshares operates as a bank holding company for Tri Counties Bank that provides commercial banking services to individual and corporate customers. The company accepts demand, savings, and time deposits. It also provides small business loans; real estate mortgage loans, such as residential and commercial loans; consumer loans; commercial loans, including agricultural loans; and real estate construction loans. In addition, the company offers treasury management services; and other customary banking services, including safe deposit boxes; and independent financial and broker-dealer services. The company was founded in 1975 and is headquartered in Chico, California.",1210,"{'maxAge': 1, 'name': 'Dr. Gregory A. Gehlmann', 'age': 61, 'title': 'Sr. VP & Gen. Counsel', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,3,3,3,1693526400,1672444800,86400,2,33.21,33.27,32.79,33.85,33.21,33.27,32.79,33.85,1.2,0.036,1694044800,0.2978,2.37,0.593015,8.267989,9.828908,169437,169437,75948,89540,89540,13.32,35.5,800,800,1108333184,28.66,58.62,2.6795669,35.806,41.29475,1.2,0.036133695,USD,1540005632,0.32494998,31576228,33263300,539753,542355,1690761600,1693440000,0.0162,0.05074,0.63453,9.31,0.016900001,32.856,1.0141222,1672444800,1703980800,1688083200,-0.206,134406000,4.03,3.39,1.34,2:1,1083542400,3.723,NMS,EQUITY,TCBK,TCBK,TriCo Bancshares,TriCo Bancshares,735312600,America/New_York,EDT,-14400000,33.32,45.0,40.0,42.5,42.5,1.8,buy,6,93485000,2.81,525156000,413624000,12.419,0.013459999,0.12591,391313000,146951008,-0.194,-0.047,0.0,0.0,0.44647998,USD,
8,63 Constitution Drive,Chico,CA,95973,United States,530 898 0300,https://www.tcbk.com,Banks—Regional,Financial Services,"TriCo Bancshares operates as a bank holding company for Tri Counties Bank that provides commercial banking services to individual and corporate customers. The company accepts demand, savings, and time deposits. It also provides small business loans; real estate mortgage loans, such as residential and commercial loans; consumer loans; commercial loans, including agricultural loans; and real estate construction loans. In addition, the company offers treasury management services; and other customary banking services, including safe deposit boxes; and independent financial and broker-dealer services. The company was founded in 1975 and is headquartered in Chico, California.",1210,"{'maxAge': 1, 'name': 'Ms. Judi A. Giem', 'age': 57, 'title': 'Sr. VP & Chief HR Officer', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,3,3,3,1693526400,1672444800,86400,2,33.21,33.27,32.79,33.85,33.21,33.27,32.79,33.85,1.2,0.036,1694044800,0.2978,2.37,0.593015,8.267989,9.828908,169437,169437,75948,89540,89540,13.32,35.5,800,800,1108333184,28.66,58.62,2.6795669,35.806,41.29475,1.2,0.036133695,USD,1540005632,0.32494998,31576228,33263300,539753,542355,1690761600,1693440000,0.0162,0.05074,0.63453,9.31,0.016900001,32.856,1.0141222,1672444800,1703980800,1688083200,-0.206,134406000,4.03,3.39,1.34,2:1,1083542400,3.723,NMS,EQUITY,TCBK,TCBK,TriCo Bancshares,TriCo Bancshares,735312600,America/New_York,EDT,-14400000,33.32,45.0,40.0,42.5,42.5,1.8,buy,6,93485000,2.81,525156000,413624000,12.419,0.013459999,0.12591,391313000,146951008,-0.194,-0.047,0.0,0.0,0.44647998,USD,
9,63 Constitution Drive,Chico,CA,95973,United States,530 898 0300,https://www.tcbk.com,Banks—Regional,Financial Services,"TriCo Bancshares operates as a bank holding company for Tri Counties Bank that provides commercial banking services to individual and corporate customers. The company accepts demand, savings, and time deposits. It also provides small business loans; real estate mortgage loans, such as residential and commercial loans; consumer loans; commercial loans, including agricultural loans; and real estate construction loans. In addition, the company offers treasury management services; and other customary banking services, including safe deposit boxes; and independent financial and broker-dealer services. The company was founded in 1975 and is headquartered in Chico, California.",1210,"{'maxAge': 1, 'name': 'Angela  Rudd', 'title': 'Sr. VP & Chief Auditor', 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,3,3,3,1693526400,1672444800,86400,2,33.21,33.27,32.79,33.85,33.21,33.27,32.79,33.85,1.2,0.036,1694044800,0.2978,2.37,0.593015,8.267989,9.828908,169437,169437,75948,89540,89540,13.32,35.5,800,800,1108333184,28.66,58.62,2.6795669,35.806,41.29475,1.2,0.036133695,USD,1540005632,0.32494998,31576228,33263300,539753,542355,1690761600,1693440000,0.0162,0.05074,0.63453,9.31,0.016900001,32.856,1.0141222,1672444800,1703980800,1688083200,-0.206,134406000,4.03,3.39,1.34,2:1,1083542400,3.723,NMS,EQUITY,TCBK,TCBK,TriCo Bancshares,TriCo Bancshares,735312600,America/New_York,EDT,-14400000,33.32,45.0,40.0,42.5,42.5,1.8,buy,6,93485000,2.81,525156000,413624000,12.419,0.013459999,0.12591,391313000,146951008,-0.194,-0.047,0.0,0.0,0.44647998,USD,
