,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,555 E Lancaster Avenue,Suite 400,Radnor,PA,19087,United States,610 251 1000,https://www.triumphgroup.com,Aerospace & Defense,Industrials,"Triumph Group, Inc. designs, engineers, manufactures, repairs, overhauls, and distributes aerostructures, aircraft components, accessories, subassemblies, and systems worldwide. It operates in two segments, Triumph Systems & Support, and Triumph Interiors. The company offers aircraft and engine-mounted accessory drives, thermal control systems and components, cargo hooks, high lift actuations, cockpit control levers, hydraulic systems and components, control system valve bodies, landing gear actuation systems, electronic engine controls, landing gear components and assemblies, exhaust nozzles and ducting, main engine gearbox assemblies, geared transmissions and drive train components, main fuel pumps, fuel-metering units, primary and secondary flight control systems, and vibration absorbers. It also provides thermo-acoustic insulation systems, environmental control system ducting, and other aircraft interior components. In addition, the company offers air cycle machines, blades and vanes, auxiliary power units, constant speed drives, combustors, engine and airframe accessories, stators, flight control surfaces, transition ducts, integrated drive generators, sidewalls, nacelles, light assemblies, remote sensors, overhead bins, thrust reversers, and fuel bladder cells, as well as cabin panes, shades, light lenses, and other components. It serves original equipment manufacturers of commercial, regional, and military aircraft. The company was incorporated in 1993 and is headquartered in Radnor, Pennsylvania.",4937,"{'maxAge': 1, 'name': 'Mr. Daniel J. Crowley', 'age': 59, 'title': 'Chairman, Pres & CEO', 'yearBorn': 1963, 'fiscalYear': 2023, 'totalPay': 2404546, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,8,1,4,1693526400,1703980800,86400,2,8.73,8.71,8.585,8.975,8.73,8.71,8.585,8.975,1582848000,0.0,2.633471,7.990909,11.565789,4642648,4642648,1311740,1759820,1759820,8.81,8.88,1800,1800,674309888,7.84,13.33,0.4969529,10.0554,11.02375,0.0,0.0,USD,2205693696,0.06026,71463024,76713296,4655822,3459189,1690761600,1693440000,0.060700003,0.02073,0.93063,2.92,0.084,-10.746,1680220800,1711843200,1688083200,81772000,1.1,0.76,1.91,2:1,1310688000,1.626,11.339,NYQ,EQUITY,TGI,TGI,"Triumph Group, Inc.","Triumph Group, Inc.",846250200,America/New_York,EDT,-14400000,8.79,17.0,8.0,12.13,12.0,3.0,hold,8,146318000,1.907,194516992,1677702016,1.199,2.488,1356888960,20.747,0.06052,-139000880,-22945000,-0.064,0.29255,0.14335,0.11838,USD,
1,555 E Lancaster Avenue,Suite 400,Radnor,PA,19087,United States,610 251 1000,https://www.triumphgroup.com,Aerospace & Defense,Industrials,"Triumph Group, Inc. designs, engineers, manufactures, repairs, overhauls, and distributes aerostructures, aircraft components, accessories, subassemblies, and systems worldwide. It operates in two segments, Triumph Systems & Support, and Triumph Interiors. The company offers aircraft and engine-mounted accessory drives, thermal control systems and components, cargo hooks, high lift actuations, cockpit control levers, hydraulic systems and components, control system valve bodies, landing gear actuation systems, electronic engine controls, landing gear components and assemblies, exhaust nozzles and ducting, main engine gearbox assemblies, geared transmissions and drive train components, main fuel pumps, fuel-metering units, primary and secondary flight control systems, and vibration absorbers. It also provides thermo-acoustic insulation systems, environmental control system ducting, and other aircraft interior components. In addition, the company offers air cycle machines, blades and vanes, auxiliary power units, constant speed drives, combustors, engine and airframe accessories, stators, flight control surfaces, transition ducts, integrated drive generators, sidewalls, nacelles, light assemblies, remote sensors, overhead bins, thrust reversers, and fuel bladder cells, as well as cabin panes, shades, light lenses, and other components. It serves original equipment manufacturers of commercial, regional, and military aircraft. The company was incorporated in 1993 and is headquartered in Radnor, Pennsylvania.",4937,"{'maxAge': 1, 'name': 'Mr. James F. McCabe Jr.', 'age': 59, 'title': 'Sr. VP & CFO', 'yearBorn': 1963, 'fiscalYear': 2023, 'totalPay': 1293666, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,8,1,4,1693526400,1703980800,86400,2,8.73,8.71,8.585,8.975,8.73,8.71,8.585,8.975,1582848000,0.0,2.633471,7.990909,11.565789,4642648,4642648,1311740,1759820,1759820,8.81,8.88,1800,1800,674309888,7.84,13.33,0.4969529,10.0554,11.02375,0.0,0.0,USD,2205693696,0.06026,71463024,76713296,4655822,3459189,1690761600,1693440000,0.060700003,0.02073,0.93063,2.92,0.084,-10.746,1680220800,1711843200,1688083200,81772000,1.1,0.76,1.91,2:1,1310688000,1.626,11.339,NYQ,EQUITY,TGI,TGI,"Triumph Group, Inc.","Triumph Group, Inc.",846250200,America/New_York,EDT,-14400000,8.79,17.0,8.0,12.13,12.0,3.0,hold,8,146318000,1.907,194516992,1677702016,1.199,2.488,1356888960,20.747,0.06052,-139000880,-22945000,-0.064,0.29255,0.14335,0.11838,USD,
2,555 E Lancaster Avenue,Suite 400,Radnor,PA,19087,United States,610 251 1000,https://www.triumphgroup.com,Aerospace & Defense,Industrials,"Triumph Group, Inc. designs, engineers, manufactures, repairs, overhauls, and distributes aerostructures, aircraft components, accessories, subassemblies, and systems worldwide. It operates in two segments, Triumph Systems & Support, and Triumph Interiors. The company offers aircraft and engine-mounted accessory drives, thermal control systems and components, cargo hooks, high lift actuations, cockpit control levers, hydraulic systems and components, control system valve bodies, landing gear actuation systems, electronic engine controls, landing gear components and assemblies, exhaust nozzles and ducting, main engine gearbox assemblies, geared transmissions and drive train components, main fuel pumps, fuel-metering units, primary and secondary flight control systems, and vibration absorbers. It also provides thermo-acoustic insulation systems, environmental control system ducting, and other aircraft interior components. In addition, the company offers air cycle machines, blades and vanes, auxiliary power units, constant speed drives, combustors, engine and airframe accessories, stators, flight control surfaces, transition ducts, integrated drive generators, sidewalls, nacelles, light assemblies, remote sensors, overhead bins, thrust reversers, and fuel bladder cells, as well as cabin panes, shades, light lenses, and other components. It serves original equipment manufacturers of commercial, regional, and military aircraft. The company was incorporated in 1993 and is headquartered in Radnor, Pennsylvania.",4937,"{'maxAge': 1, 'name': 'Mr. Kai W. Kasiguran', 'age': 36, 'title': 'VP, Controller & Principal Accounting Officer', 'yearBorn': 1986, 'fiscalYear': 2023, 'totalPay': 331368, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,8,1,4,1693526400,1703980800,86400,2,8.73,8.71,8.585,8.975,8.73,8.71,8.585,8.975,1582848000,0.0,2.633471,7.990909,11.565789,4642648,4642648,1311740,1759820,1759820,8.81,8.88,1800,1800,674309888,7.84,13.33,0.4969529,10.0554,11.02375,0.0,0.0,USD,2205693696,0.06026,71463024,76713296,4655822,3459189,1690761600,1693440000,0.060700003,0.02073,0.93063,2.92,0.084,-10.746,1680220800,1711843200,1688083200,81772000,1.1,0.76,1.91,2:1,1310688000,1.626,11.339,NYQ,EQUITY,TGI,TGI,"Triumph Group, Inc.","Triumph Group, Inc.",846250200,America/New_York,EDT,-14400000,8.79,17.0,8.0,12.13,12.0,3.0,hold,8,146318000,1.907,194516992,1677702016,1.199,2.488,1356888960,20.747,0.06052,-139000880,-22945000,-0.064,0.29255,0.14335,0.11838,USD,
3,555 E Lancaster Avenue,Suite 400,Radnor,PA,19087,United States,610 251 1000,https://www.triumphgroup.com,Aerospace & Defense,Industrials,"Triumph Group, Inc. designs, engineers, manufactures, repairs, overhauls, and distributes aerostructures, aircraft components, accessories, subassemblies, and systems worldwide. It operates in two segments, Triumph Systems & Support, and Triumph Interiors. The company offers aircraft and engine-mounted accessory drives, thermal control systems and components, cargo hooks, high lift actuations, cockpit control levers, hydraulic systems and components, control system valve bodies, landing gear actuation systems, electronic engine controls, landing gear components and assemblies, exhaust nozzles and ducting, main engine gearbox assemblies, geared transmissions and drive train components, main fuel pumps, fuel-metering units, primary and secondary flight control systems, and vibration absorbers. It also provides thermo-acoustic insulation systems, environmental control system ducting, and other aircraft interior components. In addition, the company offers air cycle machines, blades and vanes, auxiliary power units, constant speed drives, combustors, engine and airframe accessories, stators, flight control surfaces, transition ducts, integrated drive generators, sidewalls, nacelles, light assemblies, remote sensors, overhead bins, thrust reversers, and fuel bladder cells, as well as cabin panes, shades, light lenses, and other components. It serves original equipment manufacturers of commercial, regional, and military aircraft. The company was incorporated in 1993 and is headquartered in Radnor, Pennsylvania.",4937,"{'maxAge': 1, 'name': 'Ms. Jennifer H. Allen', 'age': 50, 'title': 'Sr. VP, Gen. Counsel, Sec. & Chief Admin. Officer', 'yearBorn': 1972, 'fiscalYear': 2023, 'totalPay': 961340, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,8,1,4,1693526400,1703980800,86400,2,8.73,8.71,8.585,8.975,8.73,8.71,8.585,8.975,1582848000,0.0,2.633471,7.990909,11.565789,4642648,4642648,1311740,1759820,1759820,8.81,8.88,1800,1800,674309888,7.84,13.33,0.4969529,10.0554,11.02375,0.0,0.0,USD,2205693696,0.06026,71463024,76713296,4655822,3459189,1690761600,1693440000,0.060700003,0.02073,0.93063,2.92,0.084,-10.746,1680220800,1711843200,1688083200,81772000,1.1,0.76,1.91,2:1,1310688000,1.626,11.339,NYQ,EQUITY,TGI,TGI,"Triumph Group, Inc.","Triumph Group, Inc.",846250200,America/New_York,EDT,-14400000,8.79,17.0,8.0,12.13,12.0,3.0,hold,8,146318000,1.907,194516992,1677702016,1.199,2.488,1356888960,20.747,0.06052,-139000880,-22945000,-0.064,0.29255,0.14335,0.11838,USD,
4,555 E Lancaster Avenue,Suite 400,Radnor,PA,19087,United States,610 251 1000,https://www.triumphgroup.com,Aerospace & Defense,Industrials,"Triumph Group, Inc. designs, engineers, manufactures, repairs, overhauls, and distributes aerostructures, aircraft components, accessories, subassemblies, and systems worldwide. It operates in two segments, Triumph Systems & Support, and Triumph Interiors. The company offers aircraft and engine-mounted accessory drives, thermal control systems and components, cargo hooks, high lift actuations, cockpit control levers, hydraulic systems and components, control system valve bodies, landing gear actuation systems, electronic engine controls, landing gear components and assemblies, exhaust nozzles and ducting, main engine gearbox assemblies, geared transmissions and drive train components, main fuel pumps, fuel-metering units, primary and secondary flight control systems, and vibration absorbers. It also provides thermo-acoustic insulation systems, environmental control system ducting, and other aircraft interior components. In addition, the company offers air cycle machines, blades and vanes, auxiliary power units, constant speed drives, combustors, engine and airframe accessories, stators, flight control surfaces, transition ducts, integrated drive generators, sidewalls, nacelles, light assemblies, remote sensors, overhead bins, thrust reversers, and fuel bladder cells, as well as cabin panes, shades, light lenses, and other components. It serves original equipment manufacturers of commercial, regional, and military aircraft. The company was incorporated in 1993 and is headquartered in Radnor, Pennsylvania.",4937,"{'maxAge': 1, 'name': 'Mr. Thomas A. Quigley III', 'age': 45, 'title': 'VP of Investor Relations, Mergers & Acquisitions and Treasurer', 'yearBorn': 1977, 'fiscalYear': 2023, 'totalPay': 577900, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,8,1,4,1693526400,1703980800,86400,2,8.73,8.71,8.585,8.975,8.73,8.71,8.585,8.975,1582848000,0.0,2.633471,7.990909,11.565789,4642648,4642648,1311740,1759820,1759820,8.81,8.88,1800,1800,674309888,7.84,13.33,0.4969529,10.0554,11.02375,0.0,0.0,USD,2205693696,0.06026,71463024,76713296,4655822,3459189,1690761600,1693440000,0.060700003,0.02073,0.93063,2.92,0.084,-10.746,1680220800,1711843200,1688083200,81772000,1.1,0.76,1.91,2:1,1310688000,1.626,11.339,NYQ,EQUITY,TGI,TGI,"Triumph Group, Inc.","Triumph Group, Inc.",846250200,America/New_York,EDT,-14400000,8.79,17.0,8.0,12.13,12.0,3.0,hold,8,146318000,1.907,194516992,1677702016,1.199,2.488,1356888960,20.747,0.06052,-139000880,-22945000,-0.064,0.29255,0.14335,0.11838,USD,
5,555 E Lancaster Avenue,Suite 400,Radnor,PA,19087,United States,610 251 1000,https://www.triumphgroup.com,Aerospace & Defense,Industrials,"Triumph Group, Inc. designs, engineers, manufactures, repairs, overhauls, and distributes aerostructures, aircraft components, accessories, subassemblies, and systems worldwide. It operates in two segments, Triumph Systems & Support, and Triumph Interiors. The company offers aircraft and engine-mounted accessory drives, thermal control systems and components, cargo hooks, high lift actuations, cockpit control levers, hydraulic systems and components, control system valve bodies, landing gear actuation systems, electronic engine controls, landing gear components and assemblies, exhaust nozzles and ducting, main engine gearbox assemblies, geared transmissions and drive train components, main fuel pumps, fuel-metering units, primary and secondary flight control systems, and vibration absorbers. It also provides thermo-acoustic insulation systems, environmental control system ducting, and other aircraft interior components. In addition, the company offers air cycle machines, blades and vanes, auxiliary power units, constant speed drives, combustors, engine and airframe accessories, stators, flight control surfaces, transition ducts, integrated drive generators, sidewalls, nacelles, light assemblies, remote sensors, overhead bins, thrust reversers, and fuel bladder cells, as well as cabin panes, shades, light lenses, and other components. It serves original equipment manufacturers of commercial, regional, and military aircraft. The company was incorporated in 1993 and is headquartered in Radnor, Pennsylvania.",4937,"{'maxAge': 1, 'name': 'Ms. Heather  Moore', 'title': 'CEO of Staff Exec. & Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,8,1,4,1693526400,1703980800,86400,2,8.73,8.71,8.585,8.975,8.73,8.71,8.585,8.975,1582848000,0.0,2.633471,7.990909,11.565789,4642648,4642648,1311740,1759820,1759820,8.81,8.88,1800,1800,674309888,7.84,13.33,0.4969529,10.0554,11.02375,0.0,0.0,USD,2205693696,0.06026,71463024,76713296,4655822,3459189,1690761600,1693440000,0.060700003,0.02073,0.93063,2.92,0.084,-10.746,1680220800,1711843200,1688083200,81772000,1.1,0.76,1.91,2:1,1310688000,1.626,11.339,NYQ,EQUITY,TGI,TGI,"Triumph Group, Inc.","Triumph Group, Inc.",846250200,America/New_York,EDT,-14400000,8.79,17.0,8.0,12.13,12.0,3.0,hold,8,146318000,1.907,194516992,1677702016,1.199,2.488,1356888960,20.747,0.06052,-139000880,-22945000,-0.064,0.29255,0.14335,0.11838,USD,
6,555 E Lancaster Avenue,Suite 400,Radnor,PA,19087,United States,610 251 1000,https://www.triumphgroup.com,Aerospace & Defense,Industrials,"Triumph Group, Inc. designs, engineers, manufactures, repairs, overhauls, and distributes aerostructures, aircraft components, accessories, subassemblies, and systems worldwide. It operates in two segments, Triumph Systems & Support, and Triumph Interiors. The company offers aircraft and engine-mounted accessory drives, thermal control systems and components, cargo hooks, high lift actuations, cockpit control levers, hydraulic systems and components, control system valve bodies, landing gear actuation systems, electronic engine controls, landing gear components and assemblies, exhaust nozzles and ducting, main engine gearbox assemblies, geared transmissions and drive train components, main fuel pumps, fuel-metering units, primary and secondary flight control systems, and vibration absorbers. It also provides thermo-acoustic insulation systems, environmental control system ducting, and other aircraft interior components. In addition, the company offers air cycle machines, blades and vanes, auxiliary power units, constant speed drives, combustors, engine and airframe accessories, stators, flight control surfaces, transition ducts, integrated drive generators, sidewalls, nacelles, light assemblies, remote sensors, overhead bins, thrust reversers, and fuel bladder cells, as well as cabin panes, shades, light lenses, and other components. It serves original equipment manufacturers of commercial, regional, and military aircraft. The company was incorporated in 1993 and is headquartered in Radnor, Pennsylvania.",4937,"{'maxAge': 1, 'name': 'Ms. April  Harper', 'title': 'Director of Marketing & Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,8,1,4,1693526400,1703980800,86400,2,8.73,8.71,8.585,8.975,8.73,8.71,8.585,8.975,1582848000,0.0,2.633471,7.990909,11.565789,4642648,4642648,1311740,1759820,1759820,8.81,8.88,1800,1800,674309888,7.84,13.33,0.4969529,10.0554,11.02375,0.0,0.0,USD,2205693696,0.06026,71463024,76713296,4655822,3459189,1690761600,1693440000,0.060700003,0.02073,0.93063,2.92,0.084,-10.746,1680220800,1711843200,1688083200,81772000,1.1,0.76,1.91,2:1,1310688000,1.626,11.339,NYQ,EQUITY,TGI,TGI,"Triumph Group, Inc.","Triumph Group, Inc.",846250200,America/New_York,EDT,-14400000,8.79,17.0,8.0,12.13,12.0,3.0,hold,8,146318000,1.907,194516992,1677702016,1.199,2.488,1356888960,20.747,0.06052,-139000880,-22945000,-0.064,0.29255,0.14335,0.11838,USD,
7,555 E Lancaster Avenue,Suite 400,Radnor,PA,19087,United States,610 251 1000,https://www.triumphgroup.com,Aerospace & Defense,Industrials,"Triumph Group, Inc. designs, engineers, manufactures, repairs, overhauls, and distributes aerostructures, aircraft components, accessories, subassemblies, and systems worldwide. It operates in two segments, Triumph Systems & Support, and Triumph Interiors. The company offers aircraft and engine-mounted accessory drives, thermal control systems and components, cargo hooks, high lift actuations, cockpit control levers, hydraulic systems and components, control system valve bodies, landing gear actuation systems, electronic engine controls, landing gear components and assemblies, exhaust nozzles and ducting, main engine gearbox assemblies, geared transmissions and drive train components, main fuel pumps, fuel-metering units, primary and secondary flight control systems, and vibration absorbers. It also provides thermo-acoustic insulation systems, environmental control system ducting, and other aircraft interior components. In addition, the company offers air cycle machines, blades and vanes, auxiliary power units, constant speed drives, combustors, engine and airframe accessories, stators, flight control surfaces, transition ducts, integrated drive generators, sidewalls, nacelles, light assemblies, remote sensors, overhead bins, thrust reversers, and fuel bladder cells, as well as cabin panes, shades, light lenses, and other components. It serves original equipment manufacturers of commercial, regional, and military aircraft. The company was incorporated in 1993 and is headquartered in Radnor, Pennsylvania.",4937,"{'maxAge': 1, 'name': 'Ms. Katie  Rykal', 'title': 'VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,8,1,4,1693526400,1703980800,86400,2,8.73,8.71,8.585,8.975,8.73,8.71,8.585,8.975,1582848000,0.0,2.633471,7.990909,11.565789,4642648,4642648,1311740,1759820,1759820,8.81,8.88,1800,1800,674309888,7.84,13.33,0.4969529,10.0554,11.02375,0.0,0.0,USD,2205693696,0.06026,71463024,76713296,4655822,3459189,1690761600,1693440000,0.060700003,0.02073,0.93063,2.92,0.084,-10.746,1680220800,1711843200,1688083200,81772000,1.1,0.76,1.91,2:1,1310688000,1.626,11.339,NYQ,EQUITY,TGI,TGI,"Triumph Group, Inc.","Triumph Group, Inc.",846250200,America/New_York,EDT,-14400000,8.79,17.0,8.0,12.13,12.0,3.0,hold,8,146318000,1.907,194516992,1677702016,1.199,2.488,1356888960,20.747,0.06052,-139000880,-22945000,-0.064,0.29255,0.14335,0.11838,USD,
8,555 E Lancaster Avenue,Suite 400,Radnor,PA,19087,United States,610 251 1000,https://www.triumphgroup.com,Aerospace & Defense,Industrials,"Triumph Group, Inc. designs, engineers, manufactures, repairs, overhauls, and distributes aerostructures, aircraft components, accessories, subassemblies, and systems worldwide. It operates in two segments, Triumph Systems & Support, and Triumph Interiors. The company offers aircraft and engine-mounted accessory drives, thermal control systems and components, cargo hooks, high lift actuations, cockpit control levers, hydraulic systems and components, control system valve bodies, landing gear actuation systems, electronic engine controls, landing gear components and assemblies, exhaust nozzles and ducting, main engine gearbox assemblies, geared transmissions and drive train components, main fuel pumps, fuel-metering units, primary and secondary flight control systems, and vibration absorbers. It also provides thermo-acoustic insulation systems, environmental control system ducting, and other aircraft interior components. In addition, the company offers air cycle machines, blades and vanes, auxiliary power units, constant speed drives, combustors, engine and airframe accessories, stators, flight control surfaces, transition ducts, integrated drive generators, sidewalls, nacelles, light assemblies, remote sensors, overhead bins, thrust reversers, and fuel bladder cells, as well as cabin panes, shades, light lenses, and other components. It serves original equipment manufacturers of commercial, regional, and military aircraft. The company was incorporated in 1993 and is headquartered in Radnor, Pennsylvania.",4937,"{'maxAge': 1, 'name': 'Mr. Stacey W. Clapp', 'title': 'Chief Commercial Officer & VP', 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,8,1,4,1693526400,1703980800,86400,2,8.73,8.71,8.585,8.975,8.73,8.71,8.585,8.975,1582848000,0.0,2.633471,7.990909,11.565789,4642648,4642648,1311740,1759820,1759820,8.81,8.88,1800,1800,674309888,7.84,13.33,0.4969529,10.0554,11.02375,0.0,0.0,USD,2205693696,0.06026,71463024,76713296,4655822,3459189,1690761600,1693440000,0.060700003,0.02073,0.93063,2.92,0.084,-10.746,1680220800,1711843200,1688083200,81772000,1.1,0.76,1.91,2:1,1310688000,1.626,11.339,NYQ,EQUITY,TGI,TGI,"Triumph Group, Inc.","Triumph Group, Inc.",846250200,America/New_York,EDT,-14400000,8.79,17.0,8.0,12.13,12.0,3.0,hold,8,146318000,1.907,194516992,1677702016,1.199,2.488,1356888960,20.747,0.06052,-139000880,-22945000,-0.064,0.29255,0.14335,0.11838,USD,
9,555 E Lancaster Avenue,Suite 400,Radnor,PA,19087,United States,610 251 1000,https://www.triumphgroup.com,Aerospace & Defense,Industrials,"Triumph Group, Inc. designs, engineers, manufactures, repairs, overhauls, and distributes aerostructures, aircraft components, accessories, subassemblies, and systems worldwide. It operates in two segments, Triumph Systems & Support, and Triumph Interiors. The company offers aircraft and engine-mounted accessory drives, thermal control systems and components, cargo hooks, high lift actuations, cockpit control levers, hydraulic systems and components, control system valve bodies, landing gear actuation systems, electronic engine controls, landing gear components and assemblies, exhaust nozzles and ducting, main engine gearbox assemblies, geared transmissions and drive train components, main fuel pumps, fuel-metering units, primary and secondary flight control systems, and vibration absorbers. It also provides thermo-acoustic insulation systems, environmental control system ducting, and other aircraft interior components. In addition, the company offers air cycle machines, blades and vanes, auxiliary power units, constant speed drives, combustors, engine and airframe accessories, stators, flight control surfaces, transition ducts, integrated drive generators, sidewalls, nacelles, light assemblies, remote sensors, overhead bins, thrust reversers, and fuel bladder cells, as well as cabin panes, shades, light lenses, and other components. It serves original equipment manufacturers of commercial, regional, and military aircraft. The company was incorporated in 1993 and is headquartered in Radnor, Pennsylvania.",4937,"{'maxAge': 1, 'name': 'Mr. Jim  Berberet', 'title': 'Pres of Triumph Product Support Operating Company', 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,8,1,4,1693526400,1703980800,86400,2,8.73,8.71,8.585,8.975,8.73,8.71,8.585,8.975,1582848000,0.0,2.633471,7.990909,11.565789,4642648,4642648,1311740,1759820,1759820,8.81,8.88,1800,1800,674309888,7.84,13.33,0.4969529,10.0554,11.02375,0.0,0.0,USD,2205693696,0.06026,71463024,76713296,4655822,3459189,1690761600,1693440000,0.060700003,0.02073,0.93063,2.92,0.084,-10.746,1680220800,1711843200,1688083200,81772000,1.1,0.76,1.91,2:1,1310688000,1.626,11.339,NYQ,EQUITY,TGI,TGI,"Triumph Group, Inc.","Triumph Group, Inc.",846250200,America/New_York,EDT,-14400000,8.79,17.0,8.0,12.13,12.0,3.0,hold,8,146318000,1.907,194516992,1677702016,1.199,2.488,1356888960,20.747,0.06052,-139000880,-22945000,-0.064,0.29255,0.14335,0.11838,USD,
