,address1,address2,city,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,trailingEps,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,returnOnAssets,returnOnEquity,grossProfits,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Levent Nispetiye Mah.Aytar Cad.,No:2 Besiktas,Istanbul,34340,Turkey,90 212 318 18 18,90 212 216 64 22,https://www.garantibbva.com.tr,Banks—Regional,Banks—Regional,Financial Services,Financial Services,"Turkiye Garanti Bankasi A.S. provides various banking products and services. It offers current, savings, time and term deposit, ELMA, structured deposit, and gold accounts; and general purpose, auto, revolving, house, discount, SME project, installment, working capital, foreign currency, mortgage, and other loans, as well as spot TL and foreign currency, letters of guarantee and reference, and overdraft accounts. The company also provides various cards; and auto, liability, health, unemployment, life, house, individual accident, automobile, business premises, fire, freight, engineering, accident, loan, and agriculture insurance products, as well as pension products. In addition, it offers mutual funds, T-bills/government bonds, Eurobonds, repos, equities, dual currency deposit transactions, Turkish derivatives exchange, e-trader, forward transactions, and taxation services; cash management services; and SME specific products, such as support packages, foreign trade financing and legislation, and related services. Further, the company provides leasing, fleet management, factoring, investment and private banking, payment, safety box, and Internet and mobile/SMS banking services. As of May 18, 2022, Turkiye Garanti Bankasi A.S. operates as a subsidiary of Banco Bilbao Vizcaya Argentaria, S.A.",18733,"{'maxAge': 1, 'name': 'Mr. Recep  Bastug', 'age': 55, 'title': 'GM, Pres, CEO & Director', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.85,1.875,1.85,1.88,1.85,1.875,1.85,1.88,0.11,0.0581,1681689600,0.1503,0.77992,3.6153848,11105,11105,21804,16570,16570,0.0,0.0,0,0,8029837312,0.94,2.2,1.7378,1.44545,0.0,0.0,USD,7769437696,0.53707004,589049353,4200000000,0.0,0.00023,4271190016,1672444800,1703980800,1688083200,0.416,0.52,0.88,0.14113986,0.105,1524528000,PNK,EQUITY,TKGBY,TKGBY,TURKIYE GARANTI BANKASI AS ADS ,Turkiye Garanti Bankasi A.S.,1212499800,America/New_York,EDT,ca473773-3ce0-380f-bbf7-412a9d646d60,finmb_879428,-14400000,1.88,none,0.04763,0.47327998,107080602000,0.416,0.548,0.0,0.0,0.0,TRY,
1,Levent Nispetiye Mah.Aytar Cad.,No:2 Besiktas,Istanbul,34340,Turkey,90 212 318 18 18,90 212 216 64 22,https://www.garantibbva.com.tr,Banks—Regional,Banks—Regional,Financial Services,Financial Services,"Turkiye Garanti Bankasi A.S. provides various banking products and services. It offers current, savings, time and term deposit, ELMA, structured deposit, and gold accounts; and general purpose, auto, revolving, house, discount, SME project, installment, working capital, foreign currency, mortgage, and other loans, as well as spot TL and foreign currency, letters of guarantee and reference, and overdraft accounts. The company also provides various cards; and auto, liability, health, unemployment, life, house, individual accident, automobile, business premises, fire, freight, engineering, accident, loan, and agriculture insurance products, as well as pension products. In addition, it offers mutual funds, T-bills/government bonds, Eurobonds, repos, equities, dual currency deposit transactions, Turkish derivatives exchange, e-trader, forward transactions, and taxation services; cash management services; and SME specific products, such as support packages, foreign trade financing and legislation, and related services. Further, the company provides leasing, fleet management, factoring, investment and private banking, payment, safety box, and Internet and mobile/SMS banking services. As of May 18, 2022, Turkiye Garanti Bankasi A.S. operates as a subsidiary of Banco Bilbao Vizcaya Argentaria, S.A.",18733,"{'maxAge': 1, 'name': 'Mr. Aydin  Guler', 'title': 'Exec. VP of Fin. & Treasury', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.85,1.875,1.85,1.88,1.85,1.875,1.85,1.88,0.11,0.0581,1681689600,0.1503,0.77992,3.6153848,11105,11105,21804,16570,16570,0.0,0.0,0,0,8029837312,0.94,2.2,1.7378,1.44545,0.0,0.0,USD,7769437696,0.53707004,589049353,4200000000,0.0,0.00023,4271190016,1672444800,1703980800,1688083200,0.416,0.52,0.88,0.14113986,0.105,1524528000,PNK,EQUITY,TKGBY,TKGBY,TURKIYE GARANTI BANKASI AS ADS ,Turkiye Garanti Bankasi A.S.,1212499800,America/New_York,EDT,ca473773-3ce0-380f-bbf7-412a9d646d60,finmb_879428,-14400000,1.88,none,0.04763,0.47327998,107080602000,0.416,0.548,0.0,0.0,0.0,TRY,
2,Levent Nispetiye Mah.Aytar Cad.,No:2 Besiktas,Istanbul,34340,Turkey,90 212 318 18 18,90 212 216 64 22,https://www.garantibbva.com.tr,Banks—Regional,Banks—Regional,Financial Services,Financial Services,"Turkiye Garanti Bankasi A.S. provides various banking products and services. It offers current, savings, time and term deposit, ELMA, structured deposit, and gold accounts; and general purpose, auto, revolving, house, discount, SME project, installment, working capital, foreign currency, mortgage, and other loans, as well as spot TL and foreign currency, letters of guarantee and reference, and overdraft accounts. The company also provides various cards; and auto, liability, health, unemployment, life, house, individual accident, automobile, business premises, fire, freight, engineering, accident, loan, and agriculture insurance products, as well as pension products. In addition, it offers mutual funds, T-bills/government bonds, Eurobonds, repos, equities, dual currency deposit transactions, Turkish derivatives exchange, e-trader, forward transactions, and taxation services; cash management services; and SME specific products, such as support packages, foreign trade financing and legislation, and related services. Further, the company provides leasing, fleet management, factoring, investment and private banking, payment, safety box, and Internet and mobile/SMS banking services. As of May 18, 2022, Turkiye Garanti Bankasi A.S. operates as a subsidiary of Banco Bilbao Vizcaya Argentaria, S.A.",18733,"{'maxAge': 1, 'name': 'Hakan  Özdemir', 'title': 'Financial Reporting & Accounting Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.85,1.875,1.85,1.88,1.85,1.875,1.85,1.88,0.11,0.0581,1681689600,0.1503,0.77992,3.6153848,11105,11105,21804,16570,16570,0.0,0.0,0,0,8029837312,0.94,2.2,1.7378,1.44545,0.0,0.0,USD,7769437696,0.53707004,589049353,4200000000,0.0,0.00023,4271190016,1672444800,1703980800,1688083200,0.416,0.52,0.88,0.14113986,0.105,1524528000,PNK,EQUITY,TKGBY,TKGBY,TURKIYE GARANTI BANKASI AS ADS ,Turkiye Garanti Bankasi A.S.,1212499800,America/New_York,EDT,ca473773-3ce0-380f-bbf7-412a9d646d60,finmb_879428,-14400000,1.88,none,0.04763,0.47327998,107080602000,0.416,0.548,0.0,0.0,0.0,TRY,
3,Levent Nispetiye Mah.Aytar Cad.,No:2 Besiktas,Istanbul,34340,Turkey,90 212 318 18 18,90 212 216 64 22,https://www.garantibbva.com.tr,Banks—Regional,Banks—Regional,Financial Services,Financial Services,"Turkiye Garanti Bankasi A.S. provides various banking products and services. It offers current, savings, time and term deposit, ELMA, structured deposit, and gold accounts; and general purpose, auto, revolving, house, discount, SME project, installment, working capital, foreign currency, mortgage, and other loans, as well as spot TL and foreign currency, letters of guarantee and reference, and overdraft accounts. The company also provides various cards; and auto, liability, health, unemployment, life, house, individual accident, automobile, business premises, fire, freight, engineering, accident, loan, and agriculture insurance products, as well as pension products. In addition, it offers mutual funds, T-bills/government bonds, Eurobonds, repos, equities, dual currency deposit transactions, Turkish derivatives exchange, e-trader, forward transactions, and taxation services; cash management services; and SME specific products, such as support packages, foreign trade financing and legislation, and related services. Further, the company provides leasing, fleet management, factoring, investment and private banking, payment, safety box, and Internet and mobile/SMS banking services. As of May 18, 2022, Turkiye Garanti Bankasi A.S. operates as a subsidiary of Banco Bilbao Vizcaya Argentaria, S.A.",18733,"{'maxAge': 1, 'name': 'Mr. Mahmut  Akten', 'title': 'Exec. VP of Corp., Investment Banking & Global Markets', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.85,1.875,1.85,1.88,1.85,1.875,1.85,1.88,0.11,0.0581,1681689600,0.1503,0.77992,3.6153848,11105,11105,21804,16570,16570,0.0,0.0,0,0,8029837312,0.94,2.2,1.7378,1.44545,0.0,0.0,USD,7769437696,0.53707004,589049353,4200000000,0.0,0.00023,4271190016,1672444800,1703980800,1688083200,0.416,0.52,0.88,0.14113986,0.105,1524528000,PNK,EQUITY,TKGBY,TKGBY,TURKIYE GARANTI BANKASI AS ADS ,Turkiye Garanti Bankasi A.S.,1212499800,America/New_York,EDT,ca473773-3ce0-380f-bbf7-412a9d646d60,finmb_879428,-14400000,1.88,none,0.04763,0.47327998,107080602000,0.416,0.548,0.0,0.0,0.0,TRY,
4,Levent Nispetiye Mah.Aytar Cad.,No:2 Besiktas,Istanbul,34340,Turkey,90 212 318 18 18,90 212 216 64 22,https://www.garantibbva.com.tr,Banks—Regional,Banks—Regional,Financial Services,Financial Services,"Turkiye Garanti Bankasi A.S. provides various banking products and services. It offers current, savings, time and term deposit, ELMA, structured deposit, and gold accounts; and general purpose, auto, revolving, house, discount, SME project, installment, working capital, foreign currency, mortgage, and other loans, as well as spot TL and foreign currency, letters of guarantee and reference, and overdraft accounts. The company also provides various cards; and auto, liability, health, unemployment, life, house, individual accident, automobile, business premises, fire, freight, engineering, accident, loan, and agriculture insurance products, as well as pension products. In addition, it offers mutual funds, T-bills/government bonds, Eurobonds, repos, equities, dual currency deposit transactions, Turkish derivatives exchange, e-trader, forward transactions, and taxation services; cash management services; and SME specific products, such as support packages, foreign trade financing and legislation, and related services. Further, the company provides leasing, fleet management, factoring, investment and private banking, payment, safety box, and Internet and mobile/SMS banking services. As of May 18, 2022, Turkiye Garanti Bankasi A.S. operates as a subsidiary of Banco Bilbao Vizcaya Argentaria, S.A.",18733,"{'maxAge': 1, 'name': 'Ms. Handan  Saygin', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.85,1.875,1.85,1.88,1.85,1.875,1.85,1.88,0.11,0.0581,1681689600,0.1503,0.77992,3.6153848,11105,11105,21804,16570,16570,0.0,0.0,0,0,8029837312,0.94,2.2,1.7378,1.44545,0.0,0.0,USD,7769437696,0.53707004,589049353,4200000000,0.0,0.00023,4271190016,1672444800,1703980800,1688083200,0.416,0.52,0.88,0.14113986,0.105,1524528000,PNK,EQUITY,TKGBY,TKGBY,TURKIYE GARANTI BANKASI AS ADS ,Turkiye Garanti Bankasi A.S.,1212499800,America/New_York,EDT,ca473773-3ce0-380f-bbf7-412a9d646d60,finmb_879428,-14400000,1.88,none,0.04763,0.47327998,107080602000,0.416,0.548,0.0,0.0,0.0,TRY,
5,Levent Nispetiye Mah.Aytar Cad.,No:2 Besiktas,Istanbul,34340,Turkey,90 212 318 18 18,90 212 216 64 22,https://www.garantibbva.com.tr,Banks—Regional,Banks—Regional,Financial Services,Financial Services,"Turkiye Garanti Bankasi A.S. provides various banking products and services. It offers current, savings, time and term deposit, ELMA, structured deposit, and gold accounts; and general purpose, auto, revolving, house, discount, SME project, installment, working capital, foreign currency, mortgage, and other loans, as well as spot TL and foreign currency, letters of guarantee and reference, and overdraft accounts. The company also provides various cards; and auto, liability, health, unemployment, life, house, individual accident, automobile, business premises, fire, freight, engineering, accident, loan, and agriculture insurance products, as well as pension products. In addition, it offers mutual funds, T-bills/government bonds, Eurobonds, repos, equities, dual currency deposit transactions, Turkish derivatives exchange, e-trader, forward transactions, and taxation services; cash management services; and SME specific products, such as support packages, foreign trade financing and legislation, and related services. Further, the company provides leasing, fleet management, factoring, investment and private banking, payment, safety box, and Internet and mobile/SMS banking services. As of May 18, 2022, Turkiye Garanti Bankasi A.S. operates as a subsidiary of Banco Bilbao Vizcaya Argentaria, S.A.",18733,"{'maxAge': 1, 'name': 'Mr. Emre  Ozbek', 'title': 'Head of Compliance', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.85,1.875,1.85,1.88,1.85,1.875,1.85,1.88,0.11,0.0581,1681689600,0.1503,0.77992,3.6153848,11105,11105,21804,16570,16570,0.0,0.0,0,0,8029837312,0.94,2.2,1.7378,1.44545,0.0,0.0,USD,7769437696,0.53707004,589049353,4200000000,0.0,0.00023,4271190016,1672444800,1703980800,1688083200,0.416,0.52,0.88,0.14113986,0.105,1524528000,PNK,EQUITY,TKGBY,TKGBY,TURKIYE GARANTI BANKASI AS ADS ,Turkiye Garanti Bankasi A.S.,1212499800,America/New_York,EDT,ca473773-3ce0-380f-bbf7-412a9d646d60,finmb_879428,-14400000,1.88,none,0.04763,0.47327998,107080602000,0.416,0.548,0.0,0.0,0.0,TRY,
6,Levent Nispetiye Mah.Aytar Cad.,No:2 Besiktas,Istanbul,34340,Turkey,90 212 318 18 18,90 212 216 64 22,https://www.garantibbva.com.tr,Banks—Regional,Banks—Regional,Financial Services,Financial Services,"Turkiye Garanti Bankasi A.S. provides various banking products and services. It offers current, savings, time and term deposit, ELMA, structured deposit, and gold accounts; and general purpose, auto, revolving, house, discount, SME project, installment, working capital, foreign currency, mortgage, and other loans, as well as spot TL and foreign currency, letters of guarantee and reference, and overdraft accounts. The company also provides various cards; and auto, liability, health, unemployment, life, house, individual accident, automobile, business premises, fire, freight, engineering, accident, loan, and agriculture insurance products, as well as pension products. In addition, it offers mutual funds, T-bills/government bonds, Eurobonds, repos, equities, dual currency deposit transactions, Turkish derivatives exchange, e-trader, forward transactions, and taxation services; cash management services; and SME specific products, such as support packages, foreign trade financing and legislation, and related services. Further, the company provides leasing, fleet management, factoring, investment and private banking, payment, safety box, and Internet and mobile/SMS banking services. As of May 18, 2022, Turkiye Garanti Bankasi A.S. operates as a subsidiary of Banco Bilbao Vizcaya Argentaria, S.A.",18733,"{'maxAge': 1, 'name': 'Mr. Metin  Kilic', 'title': 'Sr. VP of Assets & Liabilities Management', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.85,1.875,1.85,1.88,1.85,1.875,1.85,1.88,0.11,0.0581,1681689600,0.1503,0.77992,3.6153848,11105,11105,21804,16570,16570,0.0,0.0,0,0,8029837312,0.94,2.2,1.7378,1.44545,0.0,0.0,USD,7769437696,0.53707004,589049353,4200000000,0.0,0.00023,4271190016,1672444800,1703980800,1688083200,0.416,0.52,0.88,0.14113986,0.105,1524528000,PNK,EQUITY,TKGBY,TKGBY,TURKIYE GARANTI BANKASI AS ADS ,Turkiye Garanti Bankasi A.S.,1212499800,America/New_York,EDT,ca473773-3ce0-380f-bbf7-412a9d646d60,finmb_879428,-14400000,1.88,none,0.04763,0.47327998,107080602000,0.416,0.548,0.0,0.0,0.0,TRY,
7,Levent Nispetiye Mah.Aytar Cad.,No:2 Besiktas,Istanbul,34340,Turkey,90 212 318 18 18,90 212 216 64 22,https://www.garantibbva.com.tr,Banks—Regional,Banks—Regional,Financial Services,Financial Services,"Turkiye Garanti Bankasi A.S. provides various banking products and services. It offers current, savings, time and term deposit, ELMA, structured deposit, and gold accounts; and general purpose, auto, revolving, house, discount, SME project, installment, working capital, foreign currency, mortgage, and other loans, as well as spot TL and foreign currency, letters of guarantee and reference, and overdraft accounts. The company also provides various cards; and auto, liability, health, unemployment, life, house, individual accident, automobile, business premises, fire, freight, engineering, accident, loan, and agriculture insurance products, as well as pension products. In addition, it offers mutual funds, T-bills/government bonds, Eurobonds, repos, equities, dual currency deposit transactions, Turkish derivatives exchange, e-trader, forward transactions, and taxation services; cash management services; and SME specific products, such as support packages, foreign trade financing and legislation, and related services. Further, the company provides leasing, fleet management, factoring, investment and private banking, payment, safety box, and Internet and mobile/SMS banking services. As of May 18, 2022, Turkiye Garanti Bankasi A.S. operates as a subsidiary of Banco Bilbao Vizcaya Argentaria, S.A.",18733,"{'maxAge': 1, 'name': 'Mr. Osman Bahri Turgut', 'age': 53, 'title': 'Head of Internal Audit & Chief Audit Exec.', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.85,1.875,1.85,1.88,1.85,1.875,1.85,1.88,0.11,0.0581,1681689600,0.1503,0.77992,3.6153848,11105,11105,21804,16570,16570,0.0,0.0,0,0,8029837312,0.94,2.2,1.7378,1.44545,0.0,0.0,USD,7769437696,0.53707004,589049353,4200000000,0.0,0.00023,4271190016,1672444800,1703980800,1688083200,0.416,0.52,0.88,0.14113986,0.105,1524528000,PNK,EQUITY,TKGBY,TKGBY,TURKIYE GARANTI BANKASI AS ADS ,Turkiye Garanti Bankasi A.S.,1212499800,America/New_York,EDT,ca473773-3ce0-380f-bbf7-412a9d646d60,finmb_879428,-14400000,1.88,none,0.04763,0.47327998,107080602000,0.416,0.548,0.0,0.0,0.0,TRY,
8,Levent Nispetiye Mah.Aytar Cad.,No:2 Besiktas,Istanbul,34340,Turkey,90 212 318 18 18,90 212 216 64 22,https://www.garantibbva.com.tr,Banks—Regional,Banks—Regional,Financial Services,Financial Services,"Turkiye Garanti Bankasi A.S. provides various banking products and services. It offers current, savings, time and term deposit, ELMA, structured deposit, and gold accounts; and general purpose, auto, revolving, house, discount, SME project, installment, working capital, foreign currency, mortgage, and other loans, as well as spot TL and foreign currency, letters of guarantee and reference, and overdraft accounts. The company also provides various cards; and auto, liability, health, unemployment, life, house, individual accident, automobile, business premises, fire, freight, engineering, accident, loan, and agriculture insurance products, as well as pension products. In addition, it offers mutual funds, T-bills/government bonds, Eurobonds, repos, equities, dual currency deposit transactions, Turkish derivatives exchange, e-trader, forward transactions, and taxation services; cash management services; and SME specific products, such as support packages, foreign trade financing and legislation, and related services. Further, the company provides leasing, fleet management, factoring, investment and private banking, payment, safety box, and Internet and mobile/SMS banking services. As of May 18, 2022, Turkiye Garanti Bankasi A.S. operates as a subsidiary of Banco Bilbao Vizcaya Argentaria, S.A.",18733,"{'maxAge': 1, 'name': 'Mr. M. Feridun Aktas', 'title': 'Chief Security Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.85,1.875,1.85,1.88,1.85,1.875,1.85,1.88,0.11,0.0581,1681689600,0.1503,0.77992,3.6153848,11105,11105,21804,16570,16570,0.0,0.0,0,0,8029837312,0.94,2.2,1.7378,1.44545,0.0,0.0,USD,7769437696,0.53707004,589049353,4200000000,0.0,0.00023,4271190016,1672444800,1703980800,1688083200,0.416,0.52,0.88,0.14113986,0.105,1524528000,PNK,EQUITY,TKGBY,TKGBY,TURKIYE GARANTI BANKASI AS ADS ,Turkiye Garanti Bankasi A.S.,1212499800,America/New_York,EDT,ca473773-3ce0-380f-bbf7-412a9d646d60,finmb_879428,-14400000,1.88,none,0.04763,0.47327998,107080602000,0.416,0.548,0.0,0.0,0.0,TRY,
9,Levent Nispetiye Mah.Aytar Cad.,No:2 Besiktas,Istanbul,34340,Turkey,90 212 318 18 18,90 212 216 64 22,https://www.garantibbva.com.tr,Banks—Regional,Banks—Regional,Financial Services,Financial Services,"Turkiye Garanti Bankasi A.S. provides various banking products and services. It offers current, savings, time and term deposit, ELMA, structured deposit, and gold accounts; and general purpose, auto, revolving, house, discount, SME project, installment, working capital, foreign currency, mortgage, and other loans, as well as spot TL and foreign currency, letters of guarantee and reference, and overdraft accounts. The company also provides various cards; and auto, liability, health, unemployment, life, house, individual accident, automobile, business premises, fire, freight, engineering, accident, loan, and agriculture insurance products, as well as pension products. In addition, it offers mutual funds, T-bills/government bonds, Eurobonds, repos, equities, dual currency deposit transactions, Turkish derivatives exchange, e-trader, forward transactions, and taxation services; cash management services; and SME specific products, such as support packages, foreign trade financing and legislation, and related services. Further, the company provides leasing, fleet management, factoring, investment and private banking, payment, safety box, and Internet and mobile/SMS banking services. As of May 18, 2022, Turkiye Garanti Bankasi A.S. operates as a subsidiary of Banco Bilbao Vizcaya Argentaria, S.A.",18733,"{'maxAge': 1, 'name': 'Ms. Elif  Güvenen', 'title': 'Sr. VP of Corp. Brand Management & Marketing Communication', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.85,1.875,1.85,1.88,1.85,1.875,1.85,1.88,0.11,0.0581,1681689600,0.1503,0.77992,3.6153848,11105,11105,21804,16570,16570,0.0,0.0,0,0,8029837312,0.94,2.2,1.7378,1.44545,0.0,0.0,USD,7769437696,0.53707004,589049353,4200000000,0.0,0.00023,4271190016,1672444800,1703980800,1688083200,0.416,0.52,0.88,0.14113986,0.105,1524528000,PNK,EQUITY,TKGBY,TKGBY,TURKIYE GARANTI BANKASI AS ADS ,Turkiye Garanti Bankasi A.S.,1212499800,America/New_York,EDT,ca473773-3ce0-380f-bbf7-412a9d646d60,finmb_879428,-14400000,1.88,none,0.04763,0.47327998,107080602000,0.416,0.548,0.0,0.0,0.0,TRY,
