,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,UOB Plaza,80 Raffles Place,Singapore,048624,Singapore,65 6533 9893,65 6532 6087,https://www.uobgroup.com,Banks—Regional,Financial Services,"United Overseas Bank Limited, together with its subsidiaries, provides banking products and services. It operates through three segments: Group Retail, Group Wholesale Banking, and Global Markets. The company offers loan products, including overdraft, cash credit, short term, and long-term loans. It also provides buyers credit, structured trade finance, ECBs, SGD bonds, loan syndication, and M&A services. In addition, the company offers forex, documentary collection, credit, bank guarantee, export and import finance services. Further, the company provides inward and outward remittances, FX spot and forward, current account, and time deposit services. Additionally, the company offers letter of credit advising and negotiation/discounting services; and import and export services comprising of inward and outward bill collection services, and documents against acceptance and payment. Further, the company provides private, commercial and corporate, and investment banking services. It also offers corporate finance, treasury, future broking, asset management, venture capital management, insurance, and stockbroking services; and engages in capital market, credit card, and private residential home loan businesses. The company was incorporated in 1935 and is headquartered in Singapore.",30306,"{'maxAge': 1, 'name': 'Mr. Ee Cheong  Wee B.Sc., M.A.', 'age': 70, 'title': 'Deputy Chairman & CEO', 'yearBorn': 1952, 'fiscalYear': 2022, 'totalPay': 14237577, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,4,1,1693526400,1672444800,86400,2,28.99,29.1,29.1,29.38,28.99,29.1,29.1,29.38,1.7,0.0582,1691107200,0.36189997,4.13,0.865615,7.8284183,8.342857,4071000,4071000,2641430,1847188,1847188,29.19,29.27,0,0,48851599360,25.91,31.4,3.8293955,28.4768,29.18745,1.6,0.055191446,SGD,8093220352,0.42957002,1006623030,1672999936,0.20091,0.291,25.115,1.1626519,1672444800,1703980800,1688083200,0.272,5480000000,3.73,3.5,2.83,0.634,SES,EQUITY,U11.SI,U11.SI,UOB,United Overseas Bank Limited,946861200,Asia/Singapore,SGT,28800000,29.2,39.7,28.0,32.35,32.35,2.5,buy,14,93084000256,55.579,48405000192,12757000192,7.617,0.011,0.1243,10972000000,3164000000,0.271,0.238,0.0,0.0,0.51971,SGD,0.8486
1,UOB Plaza,80 Raffles Place,Singapore,048624,Singapore,65 6533 9893,65 6532 6087,https://www.uobgroup.com,Banks—Regional,Financial Services,"United Overseas Bank Limited, together with its subsidiaries, provides banking products and services. It operates through three segments: Group Retail, Group Wholesale Banking, and Global Markets. The company offers loan products, including overdraft, cash credit, short term, and long-term loans. It also provides buyers credit, structured trade finance, ECBs, SGD bonds, loan syndication, and M&A services. In addition, the company offers forex, documentary collection, credit, bank guarantee, export and import finance services. Further, the company provides inward and outward remittances, FX spot and forward, current account, and time deposit services. Additionally, the company offers letter of credit advising and negotiation/discounting services; and import and export services comprising of inward and outward bill collection services, and documents against acceptance and payment. Further, the company provides private, commercial and corporate, and investment banking services. It also offers corporate finance, treasury, future broking, asset management, venture capital management, insurance, and stockbroking services; and engages in capital market, credit card, and private residential home loan businesses. The company was incorporated in 1935 and is headquartered in Singapore.",30306,"{'maxAge': 1, 'name': 'Mr. Wai Fai  Lee', 'age': 61, 'title': 'Group Chief Financial Officer', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,4,1,1693526400,1672444800,86400,2,28.99,29.1,29.1,29.38,28.99,29.1,29.1,29.38,1.7,0.0582,1691107200,0.36189997,4.13,0.865615,7.8284183,8.342857,4071000,4071000,2641430,1847188,1847188,29.19,29.27,0,0,48851599360,25.91,31.4,3.8293955,28.4768,29.18745,1.6,0.055191446,SGD,8093220352,0.42957002,1006623030,1672999936,0.20091,0.291,25.115,1.1626519,1672444800,1703980800,1688083200,0.272,5480000000,3.73,3.5,2.83,0.634,SES,EQUITY,U11.SI,U11.SI,UOB,United Overseas Bank Limited,946861200,Asia/Singapore,SGT,28800000,29.2,39.7,28.0,32.35,32.35,2.5,buy,14,93084000256,55.579,48405000192,12757000192,7.617,0.011,0.1243,10972000000,3164000000,0.271,0.238,0.0,0.0,0.51971,SGD,0.8486
2,UOB Plaza,80 Raffles Place,Singapore,048624,Singapore,65 6533 9893,65 6532 6087,https://www.uobgroup.com,Banks—Regional,Financial Services,"United Overseas Bank Limited, together with its subsidiaries, provides banking products and services. It operates through three segments: Group Retail, Group Wholesale Banking, and Global Markets. The company offers loan products, including overdraft, cash credit, short term, and long-term loans. It also provides buyers credit, structured trade finance, ECBs, SGD bonds, loan syndication, and M&A services. In addition, the company offers forex, documentary collection, credit, bank guarantee, export and import finance services. Further, the company provides inward and outward remittances, FX spot and forward, current account, and time deposit services. Additionally, the company offers letter of credit advising and negotiation/discounting services; and import and export services comprising of inward and outward bill collection services, and documents against acceptance and payment. Further, the company provides private, commercial and corporate, and investment banking services. It also offers corporate finance, treasury, future broking, asset management, venture capital management, insurance, and stockbroking services; and engages in capital market, credit card, and private residential home loan businesses. The company was incorporated in 1935 and is headquartered in Singapore.",30306,"{'maxAge': 1, 'name': 'Ms. Wai Cheng  Hwee', 'title': 'Head of Group Technology & Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,4,1,1693526400,1672444800,86400,2,28.99,29.1,29.1,29.38,28.99,29.1,29.1,29.38,1.7,0.0582,1691107200,0.36189997,4.13,0.865615,7.8284183,8.342857,4071000,4071000,2641430,1847188,1847188,29.19,29.27,0,0,48851599360,25.91,31.4,3.8293955,28.4768,29.18745,1.6,0.055191446,SGD,8093220352,0.42957002,1006623030,1672999936,0.20091,0.291,25.115,1.1626519,1672444800,1703980800,1688083200,0.272,5480000000,3.73,3.5,2.83,0.634,SES,EQUITY,U11.SI,U11.SI,UOB,United Overseas Bank Limited,946861200,Asia/Singapore,SGT,28800000,29.2,39.7,28.0,32.35,32.35,2.5,buy,14,93084000256,55.579,48405000192,12757000192,7.617,0.011,0.1243,10972000000,3164000000,0.271,0.238,0.0,0.0,0.51971,SGD,0.8486
3,UOB Plaza,80 Raffles Place,Singapore,048624,Singapore,65 6533 9893,65 6532 6087,https://www.uobgroup.com,Banks—Regional,Financial Services,"United Overseas Bank Limited, together with its subsidiaries, provides banking products and services. It operates through three segments: Group Retail, Group Wholesale Banking, and Global Markets. The company offers loan products, including overdraft, cash credit, short term, and long-term loans. It also provides buyers credit, structured trade finance, ECBs, SGD bonds, loan syndication, and M&A services. In addition, the company offers forex, documentary collection, credit, bank guarantee, export and import finance services. Further, the company provides inward and outward remittances, FX spot and forward, current account, and time deposit services. Additionally, the company offers letter of credit advising and negotiation/discounting services; and import and export services comprising of inward and outward bill collection services, and documents against acceptance and payment. Further, the company provides private, commercial and corporate, and investment banking services. It also offers corporate finance, treasury, future broking, asset management, venture capital management, insurance, and stockbroking services; and engages in capital market, credit card, and private residential home loan businesses. The company was incorporated in 1935 and is headquartered in Singapore.",30306,"{'maxAge': 1, 'name': 'Mr. Shih Tung  Lin', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,4,1,1693526400,1672444800,86400,2,28.99,29.1,29.1,29.38,28.99,29.1,29.1,29.38,1.7,0.0582,1691107200,0.36189997,4.13,0.865615,7.8284183,8.342857,4071000,4071000,2641430,1847188,1847188,29.19,29.27,0,0,48851599360,25.91,31.4,3.8293955,28.4768,29.18745,1.6,0.055191446,SGD,8093220352,0.42957002,1006623030,1672999936,0.20091,0.291,25.115,1.1626519,1672444800,1703980800,1688083200,0.272,5480000000,3.73,3.5,2.83,0.634,SES,EQUITY,U11.SI,U11.SI,UOB,United Overseas Bank Limited,946861200,Asia/Singapore,SGT,28800000,29.2,39.7,28.0,32.35,32.35,2.5,buy,14,93084000256,55.579,48405000192,12757000192,7.617,0.011,0.1243,10972000000,3164000000,0.271,0.238,0.0,0.0,0.51971,SGD,0.8486
4,UOB Plaza,80 Raffles Place,Singapore,048624,Singapore,65 6533 9893,65 6532 6087,https://www.uobgroup.com,Banks—Regional,Financial Services,"United Overseas Bank Limited, together with its subsidiaries, provides banking products and services. It operates through three segments: Group Retail, Group Wholesale Banking, and Global Markets. The company offers loan products, including overdraft, cash credit, short term, and long-term loans. It also provides buyers credit, structured trade finance, ECBs, SGD bonds, loan syndication, and M&A services. In addition, the company offers forex, documentary collection, credit, bank guarantee, export and import finance services. Further, the company provides inward and outward remittances, FX spot and forward, current account, and time deposit services. Additionally, the company offers letter of credit advising and negotiation/discounting services; and import and export services comprising of inward and outward bill collection services, and documents against acceptance and payment. Further, the company provides private, commercial and corporate, and investment banking services. It also offers corporate finance, treasury, future broking, asset management, venture capital management, insurance, and stockbroking services; and engages in capital market, credit card, and private residential home loan businesses. The company was incorporated in 1935 and is headquartered in Singapore.",30306,"{'maxAge': 1, 'name': 'Mr. Kok Seong Chan', 'age': 60, 'title': 'Group Chief Risk Officer and Head of Group Governance, Risk & Compliance', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,4,1,1693526400,1672444800,86400,2,28.99,29.1,29.1,29.38,28.99,29.1,29.1,29.38,1.7,0.0582,1691107200,0.36189997,4.13,0.865615,7.8284183,8.342857,4071000,4071000,2641430,1847188,1847188,29.19,29.27,0,0,48851599360,25.91,31.4,3.8293955,28.4768,29.18745,1.6,0.055191446,SGD,8093220352,0.42957002,1006623030,1672999936,0.20091,0.291,25.115,1.1626519,1672444800,1703980800,1688083200,0.272,5480000000,3.73,3.5,2.83,0.634,SES,EQUITY,U11.SI,U11.SI,UOB,United Overseas Bank Limited,946861200,Asia/Singapore,SGT,28800000,29.2,39.7,28.0,32.35,32.35,2.5,buy,14,93084000256,55.579,48405000192,12757000192,7.617,0.011,0.1243,10972000000,3164000000,0.271,0.238,0.0,0.0,0.51971,SGD,0.8486
5,UOB Plaza,80 Raffles Place,Singapore,048624,Singapore,65 6533 9893,65 6532 6087,https://www.uobgroup.com,Banks—Regional,Financial Services,"United Overseas Bank Limited, together with its subsidiaries, provides banking products and services. It operates through three segments: Group Retail, Group Wholesale Banking, and Global Markets. The company offers loan products, including overdraft, cash credit, short term, and long-term loans. It also provides buyers credit, structured trade finance, ECBs, SGD bonds, loan syndication, and M&A services. In addition, the company offers forex, documentary collection, credit, bank guarantee, export and import finance services. Further, the company provides inward and outward remittances, FX spot and forward, current account, and time deposit services. Additionally, the company offers letter of credit advising and negotiation/discounting services; and import and export services comprising of inward and outward bill collection services, and documents against acceptance and payment. Further, the company provides private, commercial and corporate, and investment banking services. It also offers corporate finance, treasury, future broking, asset management, venture capital management, insurance, and stockbroking services; and engages in capital market, credit card, and private residential home loan businesses. The company was incorporated in 1935 and is headquartered in Singapore.",30306,"{'maxAge': 1, 'name': 'Mr. Chee Kion  Tong', 'title': 'Head of Group HR', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,4,1,1693526400,1672444800,86400,2,28.99,29.1,29.1,29.38,28.99,29.1,29.1,29.38,1.7,0.0582,1691107200,0.36189997,4.13,0.865615,7.8284183,8.342857,4071000,4071000,2641430,1847188,1847188,29.19,29.27,0,0,48851599360,25.91,31.4,3.8293955,28.4768,29.18745,1.6,0.055191446,SGD,8093220352,0.42957002,1006623030,1672999936,0.20091,0.291,25.115,1.1626519,1672444800,1703980800,1688083200,0.272,5480000000,3.73,3.5,2.83,0.634,SES,EQUITY,U11.SI,U11.SI,UOB,United Overseas Bank Limited,946861200,Asia/Singapore,SGT,28800000,29.2,39.7,28.0,32.35,32.35,2.5,buy,14,93084000256,55.579,48405000192,12757000192,7.617,0.011,0.1243,10972000000,3164000000,0.271,0.238,0.0,0.0,0.51971,SGD,0.8486
6,UOB Plaza,80 Raffles Place,Singapore,048624,Singapore,65 6533 9893,65 6532 6087,https://www.uobgroup.com,Banks—Regional,Financial Services,"United Overseas Bank Limited, together with its subsidiaries, provides banking products and services. It operates through three segments: Group Retail, Group Wholesale Banking, and Global Markets. The company offers loan products, including overdraft, cash credit, short term, and long-term loans. It also provides buyers credit, structured trade finance, ECBs, SGD bonds, loan syndication, and M&A services. In addition, the company offers forex, documentary collection, credit, bank guarantee, export and import finance services. Further, the company provides inward and outward remittances, FX spot and forward, current account, and time deposit services. Additionally, the company offers letter of credit advising and negotiation/discounting services; and import and export services comprising of inward and outward bill collection services, and documents against acceptance and payment. Further, the company provides private, commercial and corporate, and investment banking services. It also offers corporate finance, treasury, future broking, asset management, venture capital management, insurance, and stockbroking services; and engages in capital market, credit card, and private residential home loan businesses. The company was incorporated in 1935 and is headquartered in Singapore.",30306,"{'maxAge': 1, 'name': 'Mr. Boo Jin  Khoo', 'title': 'Head of Group Retail', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,4,1,1693526400,1672444800,86400,2,28.99,29.1,29.1,29.38,28.99,29.1,29.1,29.38,1.7,0.0582,1691107200,0.36189997,4.13,0.865615,7.8284183,8.342857,4071000,4071000,2641430,1847188,1847188,29.19,29.27,0,0,48851599360,25.91,31.4,3.8293955,28.4768,29.18745,1.6,0.055191446,SGD,8093220352,0.42957002,1006623030,1672999936,0.20091,0.291,25.115,1.1626519,1672444800,1703980800,1688083200,0.272,5480000000,3.73,3.5,2.83,0.634,SES,EQUITY,U11.SI,U11.SI,UOB,United Overseas Bank Limited,946861200,Asia/Singapore,SGT,28800000,29.2,39.7,28.0,32.35,32.35,2.5,buy,14,93084000256,55.579,48405000192,12757000192,7.617,0.011,0.1243,10972000000,3164000000,0.271,0.238,0.0,0.0,0.51971,SGD,0.8486
7,UOB Plaza,80 Raffles Place,Singapore,048624,Singapore,65 6533 9893,65 6532 6087,https://www.uobgroup.com,Banks—Regional,Financial Services,"United Overseas Bank Limited, together with its subsidiaries, provides banking products and services. It operates through three segments: Group Retail, Group Wholesale Banking, and Global Markets. The company offers loan products, including overdraft, cash credit, short term, and long-term loans. It also provides buyers credit, structured trade finance, ECBs, SGD bonds, loan syndication, and M&A services. In addition, the company offers forex, documentary collection, credit, bank guarantee, export and import finance services. Further, the company provides inward and outward remittances, FX spot and forward, current account, and time deposit services. Additionally, the company offers letter of credit advising and negotiation/discounting services; and import and export services comprising of inward and outward bill collection services, and documents against acceptance and payment. Further, the company provides private, commercial and corporate, and investment banking services. It also offers corporate finance, treasury, future broking, asset management, venture capital management, insurance, and stockbroking services; and engages in capital market, credit card, and private residential home loan businesses. The company was incorporated in 1935 and is headquartered in Singapore.",30306,"{'maxAge': 1, 'name': 'Mr. Chwee Yan  Wong Wah', 'title': 'Head of Group International Management', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,4,1,1693526400,1672444800,86400,2,28.99,29.1,29.1,29.38,28.99,29.1,29.1,29.38,1.7,0.0582,1691107200,0.36189997,4.13,0.865615,7.8284183,8.342857,4071000,4071000,2641430,1847188,1847188,29.19,29.27,0,0,48851599360,25.91,31.4,3.8293955,28.4768,29.18745,1.6,0.055191446,SGD,8093220352,0.42957002,1006623030,1672999936,0.20091,0.291,25.115,1.1626519,1672444800,1703980800,1688083200,0.272,5480000000,3.73,3.5,2.83,0.634,SES,EQUITY,U11.SI,U11.SI,UOB,United Overseas Bank Limited,946861200,Asia/Singapore,SGT,28800000,29.2,39.7,28.0,32.35,32.35,2.5,buy,14,93084000256,55.579,48405000192,12757000192,7.617,0.011,0.1243,10972000000,3164000000,0.271,0.238,0.0,0.0,0.51971,SGD,0.8486
8,UOB Plaza,80 Raffles Place,Singapore,048624,Singapore,65 6533 9893,65 6532 6087,https://www.uobgroup.com,Banks—Regional,Financial Services,"United Overseas Bank Limited, together with its subsidiaries, provides banking products and services. It operates through three segments: Group Retail, Group Wholesale Banking, and Global Markets. The company offers loan products, including overdraft, cash credit, short term, and long-term loans. It also provides buyers credit, structured trade finance, ECBs, SGD bonds, loan syndication, and M&A services. In addition, the company offers forex, documentary collection, credit, bank guarantee, export and import finance services. Further, the company provides inward and outward remittances, FX spot and forward, current account, and time deposit services. Additionally, the company offers letter of credit advising and negotiation/discounting services; and import and export services comprising of inward and outward bill collection services, and documents against acceptance and payment. Further, the company provides private, commercial and corporate, and investment banking services. It also offers corporate finance, treasury, future broking, asset management, venture capital management, insurance, and stockbroking services; and engages in capital market, credit card, and private residential home loan businesses. The company was incorporated in 1935 and is headquartered in Singapore.",30306,"{'maxAge': 1, 'name': 'Mr. Voon Fat  Chin', 'title': 'Head of Group Wholesale Banking & Markets', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,4,1,1693526400,1672444800,86400,2,28.99,29.1,29.1,29.38,28.99,29.1,29.1,29.38,1.7,0.0582,1691107200,0.36189997,4.13,0.865615,7.8284183,8.342857,4071000,4071000,2641430,1847188,1847188,29.19,29.27,0,0,48851599360,25.91,31.4,3.8293955,28.4768,29.18745,1.6,0.055191446,SGD,8093220352,0.42957002,1006623030,1672999936,0.20091,0.291,25.115,1.1626519,1672444800,1703980800,1688083200,0.272,5480000000,3.73,3.5,2.83,0.634,SES,EQUITY,U11.SI,U11.SI,UOB,United Overseas Bank Limited,946861200,Asia/Singapore,SGT,28800000,29.2,39.7,28.0,32.35,32.35,2.5,buy,14,93084000256,55.579,48405000192,12757000192,7.617,0.011,0.1243,10972000000,3164000000,0.271,0.238,0.0,0.0,0.51971,SGD,0.8486
9,UOB Plaza,80 Raffles Place,Singapore,048624,Singapore,65 6533 9893,65 6532 6087,https://www.uobgroup.com,Banks—Regional,Financial Services,"United Overseas Bank Limited, together with its subsidiaries, provides banking products and services. It operates through three segments: Group Retail, Group Wholesale Banking, and Global Markets. The company offers loan products, including overdraft, cash credit, short term, and long-term loans. It also provides buyers credit, structured trade finance, ECBs, SGD bonds, loan syndication, and M&A services. In addition, the company offers forex, documentary collection, credit, bank guarantee, export and import finance services. Further, the company provides inward and outward remittances, FX spot and forward, current account, and time deposit services. Additionally, the company offers letter of credit advising and negotiation/discounting services; and import and export services comprising of inward and outward bill collection services, and documents against acceptance and payment. Further, the company provides private, commercial and corporate, and investment banking services. It also offers corporate finance, treasury, future broking, asset management, venture capital management, insurance, and stockbroking services; and engages in capital market, credit card, and private residential home loan businesses. The company was incorporated in 1935 and is headquartered in Singapore.",30306,"{'maxAge': 1, 'name': 'Ms. Yoke Mun  Young', 'title': 'Head of Group Channels & Digitalisation, Strategic Communications and Brand', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,4,1,1693526400,1672444800,86400,2,28.99,29.1,29.1,29.38,28.99,29.1,29.1,29.38,1.7,0.0582,1691107200,0.36189997,4.13,0.865615,7.8284183,8.342857,4071000,4071000,2641430,1847188,1847188,29.19,29.27,0,0,48851599360,25.91,31.4,3.8293955,28.4768,29.18745,1.6,0.055191446,SGD,8093220352,0.42957002,1006623030,1672999936,0.20091,0.291,25.115,1.1626519,1672444800,1703980800,1688083200,0.272,5480000000,3.73,3.5,2.83,0.634,SES,EQUITY,U11.SI,U11.SI,UOB,United Overseas Bank Limited,946861200,Asia/Singapore,SGT,28800000,29.2,39.7,28.0,32.35,32.35,2.5,buy,14,93084000256,55.579,48405000192,12757000192,7.617,0.011,0.1243,10972000000,3164000000,0.271,0.238,0.0,0.0,0.51971,SGD,0.8486
