,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"55 Glenlake Parkway, N.E.",Atlanta,GA,30328,United States,404 828 6000,https://www.ups.com,Integrated Freight & Logistics,Industrials,"United Parcel Service, Inc., a package delivery company, provides transportation and delivery, distribution, contract logistics, ocean freight, airfreight, customs brokerage, and insurance services. It operates through two segments, U.S. Domestic Package and International Package. The U.S. Domestic Package segment offers time-definite delivery of letters, documents, small packages, and palletized freight through air and ground services in the United States. The International Package segment provides guaranteed day and time-definite international shipping services comprising guaranteed time-definite express options in Europe, Asia, the Indian sub-continent, the Middle East, Africa, Canada, and Latin America. The company also provides international air and ocean freight forwarding, post-sales, and mail and consulting services. In addition, it offers truckload brokerage services; supply chain solutions to the healthcare and life sciences industries; financial and information services; and fulfillment and transportation management services. United Parcel Service, Inc. was founded in 1907 and is headquartered in Atlanta, Georgia.",273400,"{'maxAge': 1, 'name': 'Ms. Carol B. Tome', 'age': 65, 'title': 'CEO & Director', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 2689686, 'exercisedValue': 0, 'unexercisedValue': 3097876}",2,7,8,10,10,1693526400,1672444800,86400,2,160.73,160.73,159.65,161.47,160.73,160.73,159.65,161.47,6.48,0.0404,1691712000,0.5447,2.99,1.088174,13.931423,15.169188,4381947,4381947,3550804,3976260,3976260,160.5,160.67,1100,900,137130680320,154.87,197.8,1.4258603,175.56,179.18124,6.28,0.03907174,USD,154386661376,0.10411,722796250,723276032,8875174,9567589,1690761600,1693440000,0.0104,0.0001,0.72651,2.83,0.0123000005,23.42,6.85269,1672444800,1703980800,1688083200,-0.27,10012999680,11.52,10.58,-11.45,1.605,10.138,NYQ,EQUITY,UPS,UPS,"United Parcel Service, Inc.","United Parcel Service, Inc.",942244200,America/New_York,EDT,-14400000,160.49,230.0,100.0,186.85,186.0,2.4,buy,27,7882999808,9.226,15228000256,25120999424,1.207,1.324,96173998080,125.373,111.248,0.105950005,0.55097,25086000000,6567750144,11404999680,-0.255,-0.109,0.24494,0.15833999,0.123780005,USD,2.4271
1,"55 Glenlake Parkway, N.E.",Atlanta,GA,30328,United States,404 828 6000,https://www.ups.com,Integrated Freight & Logistics,Industrials,"United Parcel Service, Inc., a package delivery company, provides transportation and delivery, distribution, contract logistics, ocean freight, airfreight, customs brokerage, and insurance services. It operates through two segments, U.S. Domestic Package and International Package. The U.S. Domestic Package segment offers time-definite delivery of letters, documents, small packages, and palletized freight through air and ground services in the United States. The International Package segment provides guaranteed day and time-definite international shipping services comprising guaranteed time-definite express options in Europe, Asia, the Indian sub-continent, the Middle East, Africa, Canada, and Latin America. The company also provides international air and ocean freight forwarding, post-sales, and mail and consulting services. In addition, it offers truckload brokerage services; supply chain solutions to the healthcare and life sciences industries; financial and information services; and fulfillment and transportation management services. United Parcel Service, Inc. was founded in 1907 and is headquartered in Atlanta, Georgia.",273400,"{'maxAge': 1, 'name': 'Mr. Brian O. Newman', 'age': 53, 'title': 'Exec. VP & CFO', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 1242943, 'exercisedValue': 0, 'unexercisedValue': 855975}",2,7,8,10,10,1693526400,1672444800,86400,2,160.73,160.73,159.65,161.47,160.73,160.73,159.65,161.47,6.48,0.0404,1691712000,0.5447,2.99,1.088174,13.931423,15.169188,4381947,4381947,3550804,3976260,3976260,160.5,160.67,1100,900,137130680320,154.87,197.8,1.4258603,175.56,179.18124,6.28,0.03907174,USD,154386661376,0.10411,722796250,723276032,8875174,9567589,1690761600,1693440000,0.0104,0.0001,0.72651,2.83,0.0123000005,23.42,6.85269,1672444800,1703980800,1688083200,-0.27,10012999680,11.52,10.58,-11.45,1.605,10.138,NYQ,EQUITY,UPS,UPS,"United Parcel Service, Inc.","United Parcel Service, Inc.",942244200,America/New_York,EDT,-14400000,160.49,230.0,100.0,186.85,186.0,2.4,buy,27,7882999808,9.226,15228000256,25120999424,1.207,1.324,96173998080,125.373,111.248,0.105950005,0.55097,25086000000,6567750144,11404999680,-0.255,-0.109,0.24494,0.15833999,0.123780005,USD,2.4271
2,"55 Glenlake Parkway, N.E.",Atlanta,GA,30328,United States,404 828 6000,https://www.ups.com,Integrated Freight & Logistics,Industrials,"United Parcel Service, Inc., a package delivery company, provides transportation and delivery, distribution, contract logistics, ocean freight, airfreight, customs brokerage, and insurance services. It operates through two segments, U.S. Domestic Package and International Package. The U.S. Domestic Package segment offers time-definite delivery of letters, documents, small packages, and palletized freight through air and ground services in the United States. The International Package segment provides guaranteed day and time-definite international shipping services comprising guaranteed time-definite express options in Europe, Asia, the Indian sub-continent, the Middle East, Africa, Canada, and Latin America. The company also provides international air and ocean freight forwarding, post-sales, and mail and consulting services. In addition, it offers truckload brokerage services; supply chain solutions to the healthcare and life sciences industries; financial and information services; and fulfillment and transportation management services. United Parcel Service, Inc. was founded in 1907 and is headquartered in Atlanta, Georgia.",273400,"{'maxAge': 1, 'name': 'Mr. Bala  Subramanian', 'age': 51, 'title': 'EVP and Chief Digital & Technology Officer', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 581785, 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,8,10,10,1693526400,1672444800,86400,2,160.73,160.73,159.65,161.47,160.73,160.73,159.65,161.47,6.48,0.0404,1691712000,0.5447,2.99,1.088174,13.931423,15.169188,4381947,4381947,3550804,3976260,3976260,160.5,160.67,1100,900,137130680320,154.87,197.8,1.4258603,175.56,179.18124,6.28,0.03907174,USD,154386661376,0.10411,722796250,723276032,8875174,9567589,1690761600,1693440000,0.0104,0.0001,0.72651,2.83,0.0123000005,23.42,6.85269,1672444800,1703980800,1688083200,-0.27,10012999680,11.52,10.58,-11.45,1.605,10.138,NYQ,EQUITY,UPS,UPS,"United Parcel Service, Inc.","United Parcel Service, Inc.",942244200,America/New_York,EDT,-14400000,160.49,230.0,100.0,186.85,186.0,2.4,buy,27,7882999808,9.226,15228000256,25120999424,1.207,1.324,96173998080,125.373,111.248,0.105950005,0.55097,25086000000,6567750144,11404999680,-0.255,-0.109,0.24494,0.15833999,0.123780005,USD,2.4271
3,"55 Glenlake Parkway, N.E.",Atlanta,GA,30328,United States,404 828 6000,https://www.ups.com,Integrated Freight & Logistics,Industrials,"United Parcel Service, Inc., a package delivery company, provides transportation and delivery, distribution, contract logistics, ocean freight, airfreight, customs brokerage, and insurance services. It operates through two segments, U.S. Domestic Package and International Package. The U.S. Domestic Package segment offers time-definite delivery of letters, documents, small packages, and palletized freight through air and ground services in the United States. The International Package segment provides guaranteed day and time-definite international shipping services comprising guaranteed time-definite express options in Europe, Asia, the Indian sub-continent, the Middle East, Africa, Canada, and Latin America. The company also provides international air and ocean freight forwarding, post-sales, and mail and consulting services. In addition, it offers truckload brokerage services; supply chain solutions to the healthcare and life sciences industries; financial and information services; and fulfillment and transportation management services. United Parcel Service, Inc. was founded in 1907 and is headquartered in Atlanta, Georgia.",273400,"{'maxAge': 1, 'name': 'Ms. Kathleen M. Gutmann', 'age': 53, 'title': 'Exec. VP and Pres of International, Healthcare & Supply Chain Solutions', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 1166151, 'exercisedValue': 2807919, 'unexercisedValue': 1345457}",2,7,8,10,10,1693526400,1672444800,86400,2,160.73,160.73,159.65,161.47,160.73,160.73,159.65,161.47,6.48,0.0404,1691712000,0.5447,2.99,1.088174,13.931423,15.169188,4381947,4381947,3550804,3976260,3976260,160.5,160.67,1100,900,137130680320,154.87,197.8,1.4258603,175.56,179.18124,6.28,0.03907174,USD,154386661376,0.10411,722796250,723276032,8875174,9567589,1690761600,1693440000,0.0104,0.0001,0.72651,2.83,0.0123000005,23.42,6.85269,1672444800,1703980800,1688083200,-0.27,10012999680,11.52,10.58,-11.45,1.605,10.138,NYQ,EQUITY,UPS,UPS,"United Parcel Service, Inc.","United Parcel Service, Inc.",942244200,America/New_York,EDT,-14400000,160.49,230.0,100.0,186.85,186.0,2.4,buy,27,7882999808,9.226,15228000256,25120999424,1.207,1.324,96173998080,125.373,111.248,0.105950005,0.55097,25086000000,6567750144,11404999680,-0.255,-0.109,0.24494,0.15833999,0.123780005,USD,2.4271
4,"55 Glenlake Parkway, N.E.",Atlanta,GA,30328,United States,404 828 6000,https://www.ups.com,Integrated Freight & Logistics,Industrials,"United Parcel Service, Inc., a package delivery company, provides transportation and delivery, distribution, contract logistics, ocean freight, airfreight, customs brokerage, and insurance services. It operates through two segments, U.S. Domestic Package and International Package. The U.S. Domestic Package segment offers time-definite delivery of letters, documents, small packages, and palletized freight through air and ground services in the United States. The International Package segment provides guaranteed day and time-definite international shipping services comprising guaranteed time-definite express options in Europe, Asia, the Indian sub-continent, the Middle East, Africa, Canada, and Latin America. The company also provides international air and ocean freight forwarding, post-sales, and mail and consulting services. In addition, it offers truckload brokerage services; supply chain solutions to the healthcare and life sciences industries; financial and information services; and fulfillment and transportation management services. United Parcel Service, Inc. was founded in 1907 and is headquartered in Atlanta, Georgia.",273400,"{'maxAge': 1, 'name': 'Mr. Nando  Cesarone', 'age': 50, 'title': 'Exec. VP & Pres of U.S.', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 1240132, 'exercisedValue': 878894, 'unexercisedValue': 458061}",2,7,8,10,10,1693526400,1672444800,86400,2,160.73,160.73,159.65,161.47,160.73,160.73,159.65,161.47,6.48,0.0404,1691712000,0.5447,2.99,1.088174,13.931423,15.169188,4381947,4381947,3550804,3976260,3976260,160.5,160.67,1100,900,137130680320,154.87,197.8,1.4258603,175.56,179.18124,6.28,0.03907174,USD,154386661376,0.10411,722796250,723276032,8875174,9567589,1690761600,1693440000,0.0104,0.0001,0.72651,2.83,0.0123000005,23.42,6.85269,1672444800,1703980800,1688083200,-0.27,10012999680,11.52,10.58,-11.45,1.605,10.138,NYQ,EQUITY,UPS,UPS,"United Parcel Service, Inc.","United Parcel Service, Inc.",942244200,America/New_York,EDT,-14400000,160.49,230.0,100.0,186.85,186.0,2.4,buy,27,7882999808,9.226,15228000256,25120999424,1.207,1.324,96173998080,125.373,111.248,0.105950005,0.55097,25086000000,6567750144,11404999680,-0.255,-0.109,0.24494,0.15833999,0.123780005,USD,2.4271
5,"55 Glenlake Parkway, N.E.",Atlanta,GA,30328,United States,404 828 6000,https://www.ups.com,Integrated Freight & Logistics,Industrials,"United Parcel Service, Inc., a package delivery company, provides transportation and delivery, distribution, contract logistics, ocean freight, airfreight, customs brokerage, and insurance services. It operates through two segments, U.S. Domestic Package and International Package. The U.S. Domestic Package segment offers time-definite delivery of letters, documents, small packages, and palletized freight through air and ground services in the United States. The International Package segment provides guaranteed day and time-definite international shipping services comprising guaranteed time-definite express options in Europe, Asia, the Indian sub-continent, the Middle East, Africa, Canada, and Latin America. The company also provides international air and ocean freight forwarding, post-sales, and mail and consulting services. In addition, it offers truckload brokerage services; supply chain solutions to the healthcare and life sciences industries; financial and information services; and fulfillment and transportation management services. United Parcel Service, Inc. was founded in 1907 and is headquartered in Atlanta, Georgia.",273400,"{'maxAge': 1, 'name': 'Ken  Cook', 'title': 'Investor Relations Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,8,10,10,1693526400,1672444800,86400,2,160.73,160.73,159.65,161.47,160.73,160.73,159.65,161.47,6.48,0.0404,1691712000,0.5447,2.99,1.088174,13.931423,15.169188,4381947,4381947,3550804,3976260,3976260,160.5,160.67,1100,900,137130680320,154.87,197.8,1.4258603,175.56,179.18124,6.28,0.03907174,USD,154386661376,0.10411,722796250,723276032,8875174,9567589,1690761600,1693440000,0.0104,0.0001,0.72651,2.83,0.0123000005,23.42,6.85269,1672444800,1703980800,1688083200,-0.27,10012999680,11.52,10.58,-11.45,1.605,10.138,NYQ,EQUITY,UPS,UPS,"United Parcel Service, Inc.","United Parcel Service, Inc.",942244200,America/New_York,EDT,-14400000,160.49,230.0,100.0,186.85,186.0,2.4,buy,27,7882999808,9.226,15228000256,25120999424,1.207,1.324,96173998080,125.373,111.248,0.105950005,0.55097,25086000000,6567750144,11404999680,-0.255,-0.109,0.24494,0.15833999,0.123780005,USD,2.4271
6,"55 Glenlake Parkway, N.E.",Atlanta,GA,30328,United States,404 828 6000,https://www.ups.com,Integrated Freight & Logistics,Industrials,"United Parcel Service, Inc., a package delivery company, provides transportation and delivery, distribution, contract logistics, ocean freight, airfreight, customs brokerage, and insurance services. It operates through two segments, U.S. Domestic Package and International Package. The U.S. Domestic Package segment offers time-definite delivery of letters, documents, small packages, and palletized freight through air and ground services in the United States. The International Package segment provides guaranteed day and time-definite international shipping services comprising guaranteed time-definite express options in Europe, Asia, the Indian sub-continent, the Middle East, Africa, Canada, and Latin America. The company also provides international air and ocean freight forwarding, post-sales, and mail and consulting services. In addition, it offers truckload brokerage services; supply chain solutions to the healthcare and life sciences industries; financial and information services; and fulfillment and transportation management services. United Parcel Service, Inc. was founded in 1907 and is headquartered in Atlanta, Georgia.",273400,"{'maxAge': 1, 'name': 'Mr. Norman M. Brothers Jr.', 'age': 54, 'title': 'Exec. VP, Chief Legal, Compliance Officer & Corp. Sec.', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,8,10,10,1693526400,1672444800,86400,2,160.73,160.73,159.65,161.47,160.73,160.73,159.65,161.47,6.48,0.0404,1691712000,0.5447,2.99,1.088174,13.931423,15.169188,4381947,4381947,3550804,3976260,3976260,160.5,160.67,1100,900,137130680320,154.87,197.8,1.4258603,175.56,179.18124,6.28,0.03907174,USD,154386661376,0.10411,722796250,723276032,8875174,9567589,1690761600,1693440000,0.0104,0.0001,0.72651,2.83,0.0123000005,23.42,6.85269,1672444800,1703980800,1688083200,-0.27,10012999680,11.52,10.58,-11.45,1.605,10.138,NYQ,EQUITY,UPS,UPS,"United Parcel Service, Inc.","United Parcel Service, Inc.",942244200,America/New_York,EDT,-14400000,160.49,230.0,100.0,186.85,186.0,2.4,buy,27,7882999808,9.226,15228000256,25120999424,1.207,1.324,96173998080,125.373,111.248,0.105950005,0.55097,25086000000,6567750144,11404999680,-0.255,-0.109,0.24494,0.15833999,0.123780005,USD,2.4271
7,"55 Glenlake Parkway, N.E.",Atlanta,GA,30328,United States,404 828 6000,https://www.ups.com,Integrated Freight & Logistics,Industrials,"United Parcel Service, Inc., a package delivery company, provides transportation and delivery, distribution, contract logistics, ocean freight, airfreight, customs brokerage, and insurance services. It operates through two segments, U.S. Domestic Package and International Package. The U.S. Domestic Package segment offers time-definite delivery of letters, documents, small packages, and palletized freight through air and ground services in the United States. The International Package segment provides guaranteed day and time-definite international shipping services comprising guaranteed time-definite express options in Europe, Asia, the Indian sub-continent, the Middle East, Africa, Canada, and Latin America. The company also provides international air and ocean freight forwarding, post-sales, and mail and consulting services. In addition, it offers truckload brokerage services; supply chain solutions to the healthcare and life sciences industries; financial and information services; and fulfillment and transportation management services. United Parcel Service, Inc. was founded in 1907 and is headquartered in Atlanta, Georgia.",273400,"{'maxAge': 1, 'name': 'Mr. Kevin M. Warren', 'age': 59, 'title': 'Exec. VP and Chief Marketing & Customer Experience Officer', 'yearBorn': 1963, 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,8,10,10,1693526400,1672444800,86400,2,160.73,160.73,159.65,161.47,160.73,160.73,159.65,161.47,6.48,0.0404,1691712000,0.5447,2.99,1.088174,13.931423,15.169188,4381947,4381947,3550804,3976260,3976260,160.5,160.67,1100,900,137130680320,154.87,197.8,1.4258603,175.56,179.18124,6.28,0.03907174,USD,154386661376,0.10411,722796250,723276032,8875174,9567589,1690761600,1693440000,0.0104,0.0001,0.72651,2.83,0.0123000005,23.42,6.85269,1672444800,1703980800,1688083200,-0.27,10012999680,11.52,10.58,-11.45,1.605,10.138,NYQ,EQUITY,UPS,UPS,"United Parcel Service, Inc.","United Parcel Service, Inc.",942244200,America/New_York,EDT,-14400000,160.49,230.0,100.0,186.85,186.0,2.4,buy,27,7882999808,9.226,15228000256,25120999424,1.207,1.324,96173998080,125.373,111.248,0.105950005,0.55097,25086000000,6567750144,11404999680,-0.255,-0.109,0.24494,0.15833999,0.123780005,USD,2.4271
8,"55 Glenlake Parkway, N.E.",Atlanta,GA,30328,United States,404 828 6000,https://www.ups.com,Integrated Freight & Logistics,Industrials,"United Parcel Service, Inc., a package delivery company, provides transportation and delivery, distribution, contract logistics, ocean freight, airfreight, customs brokerage, and insurance services. It operates through two segments, U.S. Domestic Package and International Package. The U.S. Domestic Package segment offers time-definite delivery of letters, documents, small packages, and palletized freight through air and ground services in the United States. The International Package segment provides guaranteed day and time-definite international shipping services comprising guaranteed time-definite express options in Europe, Asia, the Indian sub-continent, the Middle East, Africa, Canada, and Latin America. The company also provides international air and ocean freight forwarding, post-sales, and mail and consulting services. In addition, it offers truckload brokerage services; supply chain solutions to the healthcare and life sciences industries; financial and information services; and fulfillment and transportation management services. United Parcel Service, Inc. was founded in 1907 and is headquartered in Atlanta, Georgia.",273400,"{'maxAge': 1, 'name': 'Mr. Darrell L. Ford', 'age': 57, 'title': 'Exec. VP, Chief Diversity, Equity and Inclusion Officer & Chief HR Officer', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,8,10,10,1693526400,1672444800,86400,2,160.73,160.73,159.65,161.47,160.73,160.73,159.65,161.47,6.48,0.0404,1691712000,0.5447,2.99,1.088174,13.931423,15.169188,4381947,4381947,3550804,3976260,3976260,160.5,160.67,1100,900,137130680320,154.87,197.8,1.4258603,175.56,179.18124,6.28,0.03907174,USD,154386661376,0.10411,722796250,723276032,8875174,9567589,1690761600,1693440000,0.0104,0.0001,0.72651,2.83,0.0123000005,23.42,6.85269,1672444800,1703980800,1688083200,-0.27,10012999680,11.52,10.58,-11.45,1.605,10.138,NYQ,EQUITY,UPS,UPS,"United Parcel Service, Inc.","United Parcel Service, Inc.",942244200,America/New_York,EDT,-14400000,160.49,230.0,100.0,186.85,186.0,2.4,buy,27,7882999808,9.226,15228000256,25120999424,1.207,1.324,96173998080,125.373,111.248,0.105950005,0.55097,25086000000,6567750144,11404999680,-0.255,-0.109,0.24494,0.15833999,0.123780005,USD,2.4271
9,"55 Glenlake Parkway, N.E.",Atlanta,GA,30328,United States,404 828 6000,https://www.ups.com,Integrated Freight & Logistics,Industrials,"United Parcel Service, Inc., a package delivery company, provides transportation and delivery, distribution, contract logistics, ocean freight, airfreight, customs brokerage, and insurance services. It operates through two segments, U.S. Domestic Package and International Package. The U.S. Domestic Package segment offers time-definite delivery of letters, documents, small packages, and palletized freight through air and ground services in the United States. The International Package segment provides guaranteed day and time-definite international shipping services comprising guaranteed time-definite express options in Europe, Asia, the Indian sub-continent, the Middle East, Africa, Canada, and Latin America. The company also provides international air and ocean freight forwarding, post-sales, and mail and consulting services. In addition, it offers truckload brokerage services; supply chain solutions to the healthcare and life sciences industries; financial and information services; and fulfillment and transportation management services. United Parcel Service, Inc. was founded in 1907 and is headquartered in Atlanta, Georgia.",273400,"{'maxAge': 1, 'name': 'Mr. Noel  Massie', 'title': 'Mang. of U.S. Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,8,10,10,1693526400,1672444800,86400,2,160.73,160.73,159.65,161.47,160.73,160.73,159.65,161.47,6.48,0.0404,1691712000,0.5447,2.99,1.088174,13.931423,15.169188,4381947,4381947,3550804,3976260,3976260,160.5,160.67,1100,900,137130680320,154.87,197.8,1.4258603,175.56,179.18124,6.28,0.03907174,USD,154386661376,0.10411,722796250,723276032,8875174,9567589,1690761600,1693440000,0.0104,0.0001,0.72651,2.83,0.0123000005,23.42,6.85269,1672444800,1703980800,1688083200,-0.27,10012999680,11.52,10.58,-11.45,1.605,10.138,NYQ,EQUITY,UPS,UPS,"United Parcel Service, Inc.","United Parcel Service, Inc.",942244200,America/New_York,EDT,-14400000,160.49,230.0,100.0,186.85,186.0,2.4,buy,27,7882999808,9.226,15228000256,25120999424,1.207,1.324,96173998080,125.373,111.248,0.105950005,0.55097,25086000000,6567750144,11404999680,-0.255,-0.109,0.24494,0.15833999,0.123780005,USD,2.4271
