,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,10850 Via Frontera,San Diego,CA,92127,United States,858 453 7845,https://corporate.petco.com,Specialty Retail,Consumer Cyclical,"Petco Health and Wellness Company, Inc., operates as a health and wellness company, focuses on enhancing the lives of pets, pet parents, and its Petco partners in the United States, Mexico, and Puerto Rico. The company provides veterinary care, grooming, training, tele-health, and Vital Care and pet health insurance services, as well as veterinary services through Vetco mobile clinics. It also offers pet consumables, supplies, and services through its petco.com, petcoach.co, petinsurancequotes.com, and pupbox.com websites. The company offers its products under the WholeHearted, Reddy, and Well & Good brands. Petco Health and Wellness Company, Inc. was founded in 1965 and is headquartered in San Diego, California.",29000,"{'maxAge': 1, 'name': 'Mr. Ronald  Coughlin Jr.', 'age': 56, 'title': 'Chairman & CEO', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 1190426, 'exercisedValue': 0, 'unexercisedValue': 0}",1,10,10,10,10,1693526400,1672444800,86400,4,4.63,4.6,4.3,4.61,4.63,4.6,4.3,4.61,0.0,1.221061,33.076927,11.944445,10935671,10935671,3888225,5935580,5935580,4.3,4.33,3000,3200,1151389568,4.3,14.505,0.18673743,6.966,9.09025,0.0,0.0,USD,4010279168,0.0058600004,82787628,229974000,16268255,15121486,1690761600,1693440000,0.0608,0.64418,0.63525003,3.47,0.19549999,9.024,0.4765071,1674864000,1706400000,1690588800,36154000,0.13,0.36,0.35,0.65,11.061,NMS,EQUITY,WOOF,WOOF,Petco Health and Wellness Compa,"Petco Health and Wellness Company, Inc.",1610634600,America/New_York,EDT,-14400000,4.3,10.0,4.0,6.77,7.0,2.4,buy,13,177416000,0.663,362545984,3036304896,0.227,0.953,6165820928,125.739,23.152,0.01575,0.0154,135447744,380180000,0.034,0.39179,0.0588,0.02698,USD,
1,10850 Via Frontera,San Diego,CA,92127,United States,858 453 7845,https://corporate.petco.com,Specialty Retail,Consumer Cyclical,"Petco Health and Wellness Company, Inc., operates as a health and wellness company, focuses on enhancing the lives of pets, pet parents, and its Petco partners in the United States, Mexico, and Puerto Rico. The company provides veterinary care, grooming, training, tele-health, and Vital Care and pet health insurance services, as well as veterinary services through Vetco mobile clinics. It also offers pet consumables, supplies, and services through its petco.com, petcoach.co, petinsurancequotes.com, and pupbox.com websites. The company offers its products under the WholeHearted, Reddy, and Well & Good brands. Petco Health and Wellness Company, Inc. was founded in 1965 and is headquartered in San Diego, California.",29000,"{'maxAge': 1, 'name': 'Mr. Brian  LaRose', 'age': 49, 'title': 'Chief Financial Officer', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 643564, 'exercisedValue': 0, 'unexercisedValue': 0}",1,10,10,10,10,1693526400,1672444800,86400,4,4.63,4.6,4.3,4.61,4.63,4.6,4.3,4.61,0.0,1.221061,33.076927,11.944445,10935671,10935671,3888225,5935580,5935580,4.3,4.33,3000,3200,1151389568,4.3,14.505,0.18673743,6.966,9.09025,0.0,0.0,USD,4010279168,0.0058600004,82787628,229974000,16268255,15121486,1690761600,1693440000,0.0608,0.64418,0.63525003,3.47,0.19549999,9.024,0.4765071,1674864000,1706400000,1690588800,36154000,0.13,0.36,0.35,0.65,11.061,NMS,EQUITY,WOOF,WOOF,Petco Health and Wellness Compa,"Petco Health and Wellness Company, Inc.",1610634600,America/New_York,EDT,-14400000,4.3,10.0,4.0,6.77,7.0,2.4,buy,13,177416000,0.663,362545984,3036304896,0.227,0.953,6165820928,125.739,23.152,0.01575,0.0154,135447744,380180000,0.034,0.39179,0.0588,0.02698,USD,
2,10850 Via Frontera,San Diego,CA,92127,United States,858 453 7845,https://corporate.petco.com,Specialty Retail,Consumer Cyclical,"Petco Health and Wellness Company, Inc., operates as a health and wellness company, focuses on enhancing the lives of pets, pet parents, and its Petco partners in the United States, Mexico, and Puerto Rico. The company provides veterinary care, grooming, training, tele-health, and Vital Care and pet health insurance services, as well as veterinary services through Vetco mobile clinics. It also offers pet consumables, supplies, and services through its petco.com, petcoach.co, petinsurancequotes.com, and pupbox.com websites. The company offers its products under the WholeHearted, Reddy, and Well & Good brands. Petco Health and Wellness Company, Inc. was founded in 1965 and is headquartered in San Diego, California.",29000,"{'maxAge': 1, 'name': 'Mr. Justin  Tichy', 'age': 50, 'title': 'Chief Pet Care Center Officer & COO', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 678787, 'exercisedValue': 0, 'unexercisedValue': 0}",1,10,10,10,10,1693526400,1672444800,86400,4,4.63,4.6,4.3,4.61,4.63,4.6,4.3,4.61,0.0,1.221061,33.076927,11.944445,10935671,10935671,3888225,5935580,5935580,4.3,4.33,3000,3200,1151389568,4.3,14.505,0.18673743,6.966,9.09025,0.0,0.0,USD,4010279168,0.0058600004,82787628,229974000,16268255,15121486,1690761600,1693440000,0.0608,0.64418,0.63525003,3.47,0.19549999,9.024,0.4765071,1674864000,1706400000,1690588800,36154000,0.13,0.36,0.35,0.65,11.061,NMS,EQUITY,WOOF,WOOF,Petco Health and Wellness Compa,"Petco Health and Wellness Company, Inc.",1610634600,America/New_York,EDT,-14400000,4.3,10.0,4.0,6.77,7.0,2.4,buy,13,177416000,0.663,362545984,3036304896,0.227,0.953,6165820928,125.739,23.152,0.01575,0.0154,135447744,380180000,0.034,0.39179,0.0588,0.02698,USD,
3,10850 Via Frontera,San Diego,CA,92127,United States,858 453 7845,https://corporate.petco.com,Specialty Retail,Consumer Cyclical,"Petco Health and Wellness Company, Inc., operates as a health and wellness company, focuses on enhancing the lives of pets, pet parents, and its Petco partners in the United States, Mexico, and Puerto Rico. The company provides veterinary care, grooming, training, tele-health, and Vital Care and pet health insurance services, as well as veterinary services through Vetco mobile clinics. It also offers pet consumables, supplies, and services through its petco.com, petcoach.co, petinsurancequotes.com, and pupbox.com websites. The company offers its products under the WholeHearted, Reddy, and Well & Good brands. Petco Health and Wellness Company, Inc. was founded in 1965 and is headquartered in San Diego, California.",29000,"{'maxAge': 1, 'name': 'Mr. Darren  MacDonald', 'age': 44, 'title': 'Chief Customer Officer', 'yearBorn': 1978, 'fiscalYear': 2022, 'totalPay': 694235, 'exercisedValue': 0, 'unexercisedValue': 0}",1,10,10,10,10,1693526400,1672444800,86400,4,4.63,4.6,4.3,4.61,4.63,4.6,4.3,4.61,0.0,1.221061,33.076927,11.944445,10935671,10935671,3888225,5935580,5935580,4.3,4.33,3000,3200,1151389568,4.3,14.505,0.18673743,6.966,9.09025,0.0,0.0,USD,4010279168,0.0058600004,82787628,229974000,16268255,15121486,1690761600,1693440000,0.0608,0.64418,0.63525003,3.47,0.19549999,9.024,0.4765071,1674864000,1706400000,1690588800,36154000,0.13,0.36,0.35,0.65,11.061,NMS,EQUITY,WOOF,WOOF,Petco Health and Wellness Compa,"Petco Health and Wellness Company, Inc.",1610634600,America/New_York,EDT,-14400000,4.3,10.0,4.0,6.77,7.0,2.4,buy,13,177416000,0.663,362545984,3036304896,0.227,0.953,6165820928,125.739,23.152,0.01575,0.0154,135447744,380180000,0.034,0.39179,0.0588,0.02698,USD,
4,10850 Via Frontera,San Diego,CA,92127,United States,858 453 7845,https://corporate.petco.com,Specialty Retail,Consumer Cyclical,"Petco Health and Wellness Company, Inc., operates as a health and wellness company, focuses on enhancing the lives of pets, pet parents, and its Petco partners in the United States, Mexico, and Puerto Rico. The company provides veterinary care, grooming, training, tele-health, and Vital Care and pet health insurance services, as well as veterinary services through Vetco mobile clinics. It also offers pet consumables, supplies, and services through its petco.com, petcoach.co, petinsurancequotes.com, and pupbox.com websites. The company offers its products under the WholeHearted, Reddy, and Well & Good brands. Petco Health and Wellness Company, Inc. was founded in 1965 and is headquartered in San Diego, California.",29000,"{'maxAge': 1, 'name': 'Ms. Amy  College', 'age': 47, 'title': 'Chief Merchandising Officer', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 808412, 'exercisedValue': 0, 'unexercisedValue': 0}",1,10,10,10,10,1693526400,1672444800,86400,4,4.63,4.6,4.3,4.61,4.63,4.6,4.3,4.61,0.0,1.221061,33.076927,11.944445,10935671,10935671,3888225,5935580,5935580,4.3,4.33,3000,3200,1151389568,4.3,14.505,0.18673743,6.966,9.09025,0.0,0.0,USD,4010279168,0.0058600004,82787628,229974000,16268255,15121486,1690761600,1693440000,0.0608,0.64418,0.63525003,3.47,0.19549999,9.024,0.4765071,1674864000,1706400000,1690588800,36154000,0.13,0.36,0.35,0.65,11.061,NMS,EQUITY,WOOF,WOOF,Petco Health and Wellness Compa,"Petco Health and Wellness Company, Inc.",1610634600,America/New_York,EDT,-14400000,4.3,10.0,4.0,6.77,7.0,2.4,buy,13,177416000,0.663,362545984,3036304896,0.227,0.953,6165820928,125.739,23.152,0.01575,0.0154,135447744,380180000,0.034,0.39179,0.0588,0.02698,USD,
5,10850 Via Frontera,San Diego,CA,92127,United States,858 453 7845,https://corporate.petco.com,Specialty Retail,Consumer Cyclical,"Petco Health and Wellness Company, Inc., operates as a health and wellness company, focuses on enhancing the lives of pets, pet parents, and its Petco partners in the United States, Mexico, and Puerto Rico. The company provides veterinary care, grooming, training, tele-health, and Vital Care and pet health insurance services, as well as veterinary services through Vetco mobile clinics. It also offers pet consumables, supplies, and services through its petco.com, petcoach.co, petinsurancequotes.com, and pupbox.com websites. The company offers its products under the WholeHearted, Reddy, and Well & Good brands. Petco Health and Wellness Company, Inc. was founded in 1965 and is headquartered in San Diego, California.",29000,"{'maxAge': 1, 'name': 'Mr. John M. Zavada', 'age': 59, 'title': 'Chief Admin. Officer', 'yearBorn': 1963, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",1,10,10,10,10,1693526400,1672444800,86400,4,4.63,4.6,4.3,4.61,4.63,4.6,4.3,4.61,0.0,1.221061,33.076927,11.944445,10935671,10935671,3888225,5935580,5935580,4.3,4.33,3000,3200,1151389568,4.3,14.505,0.18673743,6.966,9.09025,0.0,0.0,USD,4010279168,0.0058600004,82787628,229974000,16268255,15121486,1690761600,1693440000,0.0608,0.64418,0.63525003,3.47,0.19549999,9.024,0.4765071,1674864000,1706400000,1690588800,36154000,0.13,0.36,0.35,0.65,11.061,NMS,EQUITY,WOOF,WOOF,Petco Health and Wellness Compa,"Petco Health and Wellness Company, Inc.",1610634600,America/New_York,EDT,-14400000,4.3,10.0,4.0,6.77,7.0,2.4,buy,13,177416000,0.663,362545984,3036304896,0.227,0.953,6165820928,125.739,23.152,0.01575,0.0154,135447744,380180000,0.034,0.39179,0.0588,0.02698,USD,
6,10850 Via Frontera,San Diego,CA,92127,United States,858 453 7845,https://corporate.petco.com,Specialty Retail,Consumer Cyclical,"Petco Health and Wellness Company, Inc., operates as a health and wellness company, focuses on enhancing the lives of pets, pet parents, and its Petco partners in the United States, Mexico, and Puerto Rico. The company provides veterinary care, grooming, training, tele-health, and Vital Care and pet health insurance services, as well as veterinary services through Vetco mobile clinics. It also offers pet consumables, supplies, and services through its petco.com, petcoach.co, petinsurancequotes.com, and pupbox.com websites. The company offers its products under the WholeHearted, Reddy, and Well & Good brands. Petco Health and Wellness Company, Inc. was founded in 1965 and is headquartered in San Diego, California.",29000,"{'maxAge': 1, 'name': 'Ms. Ilene  Eskenazi', 'age': 50, 'title': 'Chief Legal & HR Officer and Corp. Sec.', 'yearBorn': 1972, 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",1,10,10,10,10,1693526400,1672444800,86400,4,4.63,4.6,4.3,4.61,4.63,4.6,4.3,4.61,0.0,1.221061,33.076927,11.944445,10935671,10935671,3888225,5935580,5935580,4.3,4.33,3000,3200,1151389568,4.3,14.505,0.18673743,6.966,9.09025,0.0,0.0,USD,4010279168,0.0058600004,82787628,229974000,16268255,15121486,1690761600,1693440000,0.0608,0.64418,0.63525003,3.47,0.19549999,9.024,0.4765071,1674864000,1706400000,1690588800,36154000,0.13,0.36,0.35,0.65,11.061,NMS,EQUITY,WOOF,WOOF,Petco Health and Wellness Compa,"Petco Health and Wellness Company, Inc.",1610634600,America/New_York,EDT,-14400000,4.3,10.0,4.0,6.77,7.0,2.4,buy,13,177416000,0.663,362545984,3036304896,0.227,0.953,6165820928,125.739,23.152,0.01575,0.0154,135447744,380180000,0.034,0.39179,0.0588,0.02698,USD,
7,10850 Via Frontera,San Diego,CA,92127,United States,858 453 7845,https://corporate.petco.com,Specialty Retail,Consumer Cyclical,"Petco Health and Wellness Company, Inc., operates as a health and wellness company, focuses on enhancing the lives of pets, pet parents, and its Petco partners in the United States, Mexico, and Puerto Rico. The company provides veterinary care, grooming, training, tele-health, and Vital Care and pet health insurance services, as well as veterinary services through Vetco mobile clinics. It also offers pet consumables, supplies, and services through its petco.com, petcoach.co, petinsurancequotes.com, and pupbox.com websites. The company offers its products under the WholeHearted, Reddy, and Well & Good brands. Petco Health and Wellness Company, Inc. was founded in 1965 and is headquartered in San Diego, California.",29000,"{'maxAge': 1, 'name': 'Mr. David  Hallisey', 'title': 'Sr. VP & Chief Communications Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,10,10,10,10,1693526400,1672444800,86400,4,4.63,4.6,4.3,4.61,4.63,4.6,4.3,4.61,0.0,1.221061,33.076927,11.944445,10935671,10935671,3888225,5935580,5935580,4.3,4.33,3000,3200,1151389568,4.3,14.505,0.18673743,6.966,9.09025,0.0,0.0,USD,4010279168,0.0058600004,82787628,229974000,16268255,15121486,1690761600,1693440000,0.0608,0.64418,0.63525003,3.47,0.19549999,9.024,0.4765071,1674864000,1706400000,1690588800,36154000,0.13,0.36,0.35,0.65,11.061,NMS,EQUITY,WOOF,WOOF,Petco Health and Wellness Compa,"Petco Health and Wellness Company, Inc.",1610634600,America/New_York,EDT,-14400000,4.3,10.0,4.0,6.77,7.0,2.4,buy,13,177416000,0.663,362545984,3036304896,0.227,0.953,6165820928,125.739,23.152,0.01575,0.0154,135447744,380180000,0.034,0.39179,0.0588,0.02698,USD,
8,10850 Via Frontera,San Diego,CA,92127,United States,858 453 7845,https://corporate.petco.com,Specialty Retail,Consumer Cyclical,"Petco Health and Wellness Company, Inc., operates as a health and wellness company, focuses on enhancing the lives of pets, pet parents, and its Petco partners in the United States, Mexico, and Puerto Rico. The company provides veterinary care, grooming, training, tele-health, and Vital Care and pet health insurance services, as well as veterinary services through Vetco mobile clinics. It also offers pet consumables, supplies, and services through its petco.com, petcoach.co, petinsurancequotes.com, and pupbox.com websites. The company offers its products under the WholeHearted, Reddy, and Well & Good brands. Petco Health and Wellness Company, Inc. was founded in 1965 and is headquartered in San Diego, California.",29000,"{'maxAge': 1, 'name': 'Mr. Jason  Heffelfinger', 'age': 42, 'title': 'Chief Services Officer', 'yearBorn': 1980, 'exercisedValue': 0, 'unexercisedValue': 0}",1,10,10,10,10,1693526400,1672444800,86400,4,4.63,4.6,4.3,4.61,4.63,4.6,4.3,4.61,0.0,1.221061,33.076927,11.944445,10935671,10935671,3888225,5935580,5935580,4.3,4.33,3000,3200,1151389568,4.3,14.505,0.18673743,6.966,9.09025,0.0,0.0,USD,4010279168,0.0058600004,82787628,229974000,16268255,15121486,1690761600,1693440000,0.0608,0.64418,0.63525003,3.47,0.19549999,9.024,0.4765071,1674864000,1706400000,1690588800,36154000,0.13,0.36,0.35,0.65,11.061,NMS,EQUITY,WOOF,WOOF,Petco Health and Wellness Compa,"Petco Health and Wellness Company, Inc.",1610634600,America/New_York,EDT,-14400000,4.3,10.0,4.0,6.77,7.0,2.4,buy,13,177416000,0.663,362545984,3036304896,0.227,0.953,6165820928,125.739,23.152,0.01575,0.0154,135447744,380180000,0.034,0.39179,0.0588,0.02698,USD,
9,10850 Via Frontera,San Diego,CA,92127,United States,858 453 7845,https://corporate.petco.com,Specialty Retail,Consumer Cyclical,"Petco Health and Wellness Company, Inc., operates as a health and wellness company, focuses on enhancing the lives of pets, pet parents, and its Petco partners in the United States, Mexico, and Puerto Rico. The company provides veterinary care, grooming, training, tele-health, and Vital Care and pet health insurance services, as well as veterinary services through Vetco mobile clinics. It also offers pet consumables, supplies, and services through its petco.com, petcoach.co, petinsurancequotes.com, and pupbox.com websites. The company offers its products under the WholeHearted, Reddy, and Well & Good brands. Petco Health and Wellness Company, Inc. was founded in 1965 and is headquartered in San Diego, California.",29000,"{'maxAge': 1, 'name': 'Mr. John  Carcasi', 'age': 52, 'title': 'Sr. VP of Planning, Pricing & Analytics', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",1,10,10,10,10,1693526400,1672444800,86400,4,4.63,4.6,4.3,4.61,4.63,4.6,4.3,4.61,0.0,1.221061,33.076927,11.944445,10935671,10935671,3888225,5935580,5935580,4.3,4.33,3000,3200,1151389568,4.3,14.505,0.18673743,6.966,9.09025,0.0,0.0,USD,4010279168,0.0058600004,82787628,229974000,16268255,15121486,1690761600,1693440000,0.0608,0.64418,0.63525003,3.47,0.19549999,9.024,0.4765071,1674864000,1706400000,1690588800,36154000,0.13,0.36,0.35,0.65,11.061,NMS,EQUITY,WOOF,WOOF,Petco Health and Wellness Compa,"Petco Health and Wellness Company, Inc.",1610634600,America/New_York,EDT,-14400000,4.3,10.0,4.0,6.77,7.0,2.4,buy,13,177416000,0.663,362545984,3036304896,0.227,0.953,6165820928,125.739,23.152,0.01575,0.0154,135447744,380180000,0.034,0.39179,0.0588,0.02698,USD,
