,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,51 Lime Street,London,EC3M 7DQ,United Kingdom,44 20 3124 6000,https://www.willistowerswatson.com,Insurance Brokers,Financial Services,"Willis Towers Watson Public Limited Company operates as an advisory, broking, and solutions company worldwide. It operates through two segments: Health, Wealth and Career; and Risk & Broking. The company offers strategy and design consulting, plan management service and support, broking and administration services for health, wellbeing, and other group benefit programs; actuarial support, plan design, and administrative services for pension and retirement savings plans; and benefits outsourcing services, including a suite of health and welfare, and pension administration outsourcing services. It also provides advice, data, software, and products to address clients' total rewards and talent issues; and risk advice, insurance brokerage, and consulting services in the areas of property and casualty, aerospace, construction, and marine. In addition, the company offers integrated solutions that consists of investment discretionary management, pension administration, core actuarial, and communication and change management assistance services; software and technology, risk and capital management, products and product pricing, financial and regulatory reporting, financial and capital modeling, merger and acquisition, outsourcing, and business management services; and wholesale reinsurance services. Additionally, it provides primary medical and ancillary benefit exchange, and outsourcing services to active employees and retirees in the group and individual markets. The company was formerly known as Willis Group Holdings Public Limited Company and changed its name to Willis Towers Watson Public Limited Company in January 2016. Willis Towers Watson Public Limited Company was founded in 1828 and is based in London, the United Kingdom.",46000,"{'maxAge': 1, 'name': 'Mr. Carl A. Hess CERA, F.S.A.', 'age': 60, 'title': 'CEO & Director', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 3479246, 'exercisedValue': 4282249, 'unexercisedValue': 0}",4,1,5,6,2,1693526400,1672444800,86400,2,205.23,205.94,204.755,207.06,205.23,205.94,204.755,207.06,3.36,0.0166,1695859200,0.3388,1.38,0.762793,20.92551,12.946339,946157,946157,668674,479100,479100,182.0,223.57,800,800,21496053760,195.29,258.93,2.3679285,212.5102,231.0661,3.34,0.016274424,USD,25900974080,0.11842,103932952,104823000,794780,765843,1689292800,1692057600,0.0076,0.00435,0.93988,1.03,0.0098,93.374,2.1962218,1672444800,1703980800,1688083200,-0.138,1080000000,9.8,15.84,1.4,2.853,11.715,NMS,EQUITY,WTW,WTW,Willis Towers Watson Public Lim,Willis Towers Watson Public Limited Company,992352600,America/New_York,EDT,-14400000,205.07,302.0,205.0,242.82,236.0,2.6,hold,17,1602000000,15.283,2211000064,6191000064,0.318,1.071,9077999616,62.681,84.056,0.03504,0.10762,4073000000,972875008,984000000,-0.094,0.063,0.45329,0.24355,0.18924999,USD,0.7813
1,51 Lime Street,London,EC3M 7DQ,United Kingdom,44 20 3124 6000,https://www.willistowerswatson.com,Insurance Brokers,Financial Services,"Willis Towers Watson Public Limited Company operates as an advisory, broking, and solutions company worldwide. It operates through two segments: Health, Wealth and Career; and Risk & Broking. The company offers strategy and design consulting, plan management service and support, broking and administration services for health, wellbeing, and other group benefit programs; actuarial support, plan design, and administrative services for pension and retirement savings plans; and benefits outsourcing services, including a suite of health and welfare, and pension administration outsourcing services. It also provides advice, data, software, and products to address clients' total rewards and talent issues; and risk advice, insurance brokerage, and consulting services in the areas of property and casualty, aerospace, construction, and marine. In addition, the company offers integrated solutions that consists of investment discretionary management, pension administration, core actuarial, and communication and change management assistance services; software and technology, risk and capital management, products and product pricing, financial and regulatory reporting, financial and capital modeling, merger and acquisition, outsourcing, and business management services; and wholesale reinsurance services. Additionally, it provides primary medical and ancillary benefit exchange, and outsourcing services to active employees and retirees in the group and individual markets. The company was formerly known as Willis Group Holdings Public Limited Company and changed its name to Willis Towers Watson Public Limited Company in January 2016. Willis Towers Watson Public Limited Company was founded in 1828 and is based in London, the United Kingdom.",46000,"{'maxAge': 1, 'name': 'Mr. Andrew Jay Krasner', 'age': 45, 'title': 'Chief Financial Officer', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 1965384, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,5,6,2,1693526400,1672444800,86400,2,205.23,205.94,204.755,207.06,205.23,205.94,204.755,207.06,3.36,0.0166,1695859200,0.3388,1.38,0.762793,20.92551,12.946339,946157,946157,668674,479100,479100,182.0,223.57,800,800,21496053760,195.29,258.93,2.3679285,212.5102,231.0661,3.34,0.016274424,USD,25900974080,0.11842,103932952,104823000,794780,765843,1689292800,1692057600,0.0076,0.00435,0.93988,1.03,0.0098,93.374,2.1962218,1672444800,1703980800,1688083200,-0.138,1080000000,9.8,15.84,1.4,2.853,11.715,NMS,EQUITY,WTW,WTW,Willis Towers Watson Public Lim,Willis Towers Watson Public Limited Company,992352600,America/New_York,EDT,-14400000,205.07,302.0,205.0,242.82,236.0,2.6,hold,17,1602000000,15.283,2211000064,6191000064,0.318,1.071,9077999616,62.681,84.056,0.03504,0.10762,4073000000,972875008,984000000,-0.094,0.063,0.45329,0.24355,0.18924999,USD,0.7813
2,51 Lime Street,London,EC3M 7DQ,United Kingdom,44 20 3124 6000,https://www.willistowerswatson.com,Insurance Brokers,Financial Services,"Willis Towers Watson Public Limited Company operates as an advisory, broking, and solutions company worldwide. It operates through two segments: Health, Wealth and Career; and Risk & Broking. The company offers strategy and design consulting, plan management service and support, broking and administration services for health, wellbeing, and other group benefit programs; actuarial support, plan design, and administrative services for pension and retirement savings plans; and benefits outsourcing services, including a suite of health and welfare, and pension administration outsourcing services. It also provides advice, data, software, and products to address clients' total rewards and talent issues; and risk advice, insurance brokerage, and consulting services in the areas of property and casualty, aerospace, construction, and marine. In addition, the company offers integrated solutions that consists of investment discretionary management, pension administration, core actuarial, and communication and change management assistance services; software and technology, risk and capital management, products and product pricing, financial and regulatory reporting, financial and capital modeling, merger and acquisition, outsourcing, and business management services; and wholesale reinsurance services. Additionally, it provides primary medical and ancillary benefit exchange, and outsourcing services to active employees and retirees in the group and individual markets. The company was formerly known as Willis Group Holdings Public Limited Company and changed its name to Willis Towers Watson Public Limited Company in January 2016. Willis Towers Watson Public Limited Company was founded in 1828 and is based in London, the United Kingdom.",46000,"{'maxAge': 1, 'name': 'Mr. Matthew S. Furman', 'age': 52, 'title': 'Gen. Counsel', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 1492035, 'exercisedValue': 0, 'unexercisedValue': 1609088}",4,1,5,6,2,1693526400,1672444800,86400,2,205.23,205.94,204.755,207.06,205.23,205.94,204.755,207.06,3.36,0.0166,1695859200,0.3388,1.38,0.762793,20.92551,12.946339,946157,946157,668674,479100,479100,182.0,223.57,800,800,21496053760,195.29,258.93,2.3679285,212.5102,231.0661,3.34,0.016274424,USD,25900974080,0.11842,103932952,104823000,794780,765843,1689292800,1692057600,0.0076,0.00435,0.93988,1.03,0.0098,93.374,2.1962218,1672444800,1703980800,1688083200,-0.138,1080000000,9.8,15.84,1.4,2.853,11.715,NMS,EQUITY,WTW,WTW,Willis Towers Watson Public Lim,Willis Towers Watson Public Limited Company,992352600,America/New_York,EDT,-14400000,205.07,302.0,205.0,242.82,236.0,2.6,hold,17,1602000000,15.283,2211000064,6191000064,0.318,1.071,9077999616,62.681,84.056,0.03504,0.10762,4073000000,972875008,984000000,-0.094,0.063,0.45329,0.24355,0.18924999,USD,0.7813
3,51 Lime Street,London,EC3M 7DQ,United Kingdom,44 20 3124 6000,https://www.willistowerswatson.com,Insurance Brokers,Financial Services,"Willis Towers Watson Public Limited Company operates as an advisory, broking, and solutions company worldwide. It operates through two segments: Health, Wealth and Career; and Risk & Broking. The company offers strategy and design consulting, plan management service and support, broking and administration services for health, wellbeing, and other group benefit programs; actuarial support, plan design, and administrative services for pension and retirement savings plans; and benefits outsourcing services, including a suite of health and welfare, and pension administration outsourcing services. It also provides advice, data, software, and products to address clients' total rewards and talent issues; and risk advice, insurance brokerage, and consulting services in the areas of property and casualty, aerospace, construction, and marine. In addition, the company offers integrated solutions that consists of investment discretionary management, pension administration, core actuarial, and communication and change management assistance services; software and technology, risk and capital management, products and product pricing, financial and regulatory reporting, financial and capital modeling, merger and acquisition, outsourcing, and business management services; and wholesale reinsurance services. Additionally, it provides primary medical and ancillary benefit exchange, and outsourcing services to active employees and retirees in the group and individual markets. The company was formerly known as Willis Group Holdings Public Limited Company and changed its name to Willis Towers Watson Public Limited Company in January 2016. Willis Towers Watson Public Limited Company was founded in 1828 and is based in London, the United Kingdom.",46000,"{'maxAge': 1, 'name': 'Mr. Adam L. Garrard', 'age': 56, 'title': 'Global Head of Risk & Broking', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 1328143, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,5,6,2,1693526400,1672444800,86400,2,205.23,205.94,204.755,207.06,205.23,205.94,204.755,207.06,3.36,0.0166,1695859200,0.3388,1.38,0.762793,20.92551,12.946339,946157,946157,668674,479100,479100,182.0,223.57,800,800,21496053760,195.29,258.93,2.3679285,212.5102,231.0661,3.34,0.016274424,USD,25900974080,0.11842,103932952,104823000,794780,765843,1689292800,1692057600,0.0076,0.00435,0.93988,1.03,0.0098,93.374,2.1962218,1672444800,1703980800,1688083200,-0.138,1080000000,9.8,15.84,1.4,2.853,11.715,NMS,EQUITY,WTW,WTW,Willis Towers Watson Public Lim,Willis Towers Watson Public Limited Company,992352600,America/New_York,EDT,-14400000,205.07,302.0,205.0,242.82,236.0,2.6,hold,17,1602000000,15.283,2211000064,6191000064,0.318,1.071,9077999616,62.681,84.056,0.03504,0.10762,4073000000,972875008,984000000,-0.094,0.063,0.45329,0.24355,0.18924999,USD,0.7813
4,51 Lime Street,London,EC3M 7DQ,United Kingdom,44 20 3124 6000,https://www.willistowerswatson.com,Insurance Brokers,Financial Services,"Willis Towers Watson Public Limited Company operates as an advisory, broking, and solutions company worldwide. It operates through two segments: Health, Wealth and Career; and Risk & Broking. The company offers strategy and design consulting, plan management service and support, broking and administration services for health, wellbeing, and other group benefit programs; actuarial support, plan design, and administrative services for pension and retirement savings plans; and benefits outsourcing services, including a suite of health and welfare, and pension administration outsourcing services. It also provides advice, data, software, and products to address clients' total rewards and talent issues; and risk advice, insurance brokerage, and consulting services in the areas of property and casualty, aerospace, construction, and marine. In addition, the company offers integrated solutions that consists of investment discretionary management, pension administration, core actuarial, and communication and change management assistance services; software and technology, risk and capital management, products and product pricing, financial and regulatory reporting, financial and capital modeling, merger and acquisition, outsourcing, and business management services; and wholesale reinsurance services. Additionally, it provides primary medical and ancillary benefit exchange, and outsourcing services to active employees and retirees in the group and individual markets. The company was formerly known as Willis Group Holdings Public Limited Company and changed its name to Willis Towers Watson Public Limited Company in January 2016. Willis Towers Watson Public Limited Company was founded in 1828 and is based in London, the United Kingdom.",46000,"{'maxAge': 1, 'name': 'Ms. Julie Jarecke Gebauer', 'age': 61, 'title': 'Global Head of Health, Wealth & Career', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 1541695, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,5,6,2,1693526400,1672444800,86400,2,205.23,205.94,204.755,207.06,205.23,205.94,204.755,207.06,3.36,0.0166,1695859200,0.3388,1.38,0.762793,20.92551,12.946339,946157,946157,668674,479100,479100,182.0,223.57,800,800,21496053760,195.29,258.93,2.3679285,212.5102,231.0661,3.34,0.016274424,USD,25900974080,0.11842,103932952,104823000,794780,765843,1689292800,1692057600,0.0076,0.00435,0.93988,1.03,0.0098,93.374,2.1962218,1672444800,1703980800,1688083200,-0.138,1080000000,9.8,15.84,1.4,2.853,11.715,NMS,EQUITY,WTW,WTW,Willis Towers Watson Public Lim,Willis Towers Watson Public Limited Company,992352600,America/New_York,EDT,-14400000,205.07,302.0,205.0,242.82,236.0,2.6,hold,17,1602000000,15.283,2211000064,6191000064,0.318,1.071,9077999616,62.681,84.056,0.03504,0.10762,4073000000,972875008,984000000,-0.094,0.063,0.45329,0.24355,0.18924999,USD,0.7813
5,51 Lime Street,London,EC3M 7DQ,United Kingdom,44 20 3124 6000,https://www.willistowerswatson.com,Insurance Brokers,Financial Services,"Willis Towers Watson Public Limited Company operates as an advisory, broking, and solutions company worldwide. It operates through two segments: Health, Wealth and Career; and Risk & Broking. The company offers strategy and design consulting, plan management service and support, broking and administration services for health, wellbeing, and other group benefit programs; actuarial support, plan design, and administrative services for pension and retirement savings plans; and benefits outsourcing services, including a suite of health and welfare, and pension administration outsourcing services. It also provides advice, data, software, and products to address clients' total rewards and talent issues; and risk advice, insurance brokerage, and consulting services in the areas of property and casualty, aerospace, construction, and marine. In addition, the company offers integrated solutions that consists of investment discretionary management, pension administration, core actuarial, and communication and change management assistance services; software and technology, risk and capital management, products and product pricing, financial and regulatory reporting, financial and capital modeling, merger and acquisition, outsourcing, and business management services; and wholesale reinsurance services. Additionally, it provides primary medical and ancillary benefit exchange, and outsourcing services to active employees and retirees in the group and individual markets. The company was formerly known as Willis Group Holdings Public Limited Company and changed its name to Willis Towers Watson Public Limited Company in January 2016. Willis Towers Watson Public Limited Company was founded in 1828 and is based in London, the United Kingdom.",46000,"{'maxAge': 1, 'name': 'Ms. Alexis  Faber', 'title': 'Chief Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,5,6,2,1693526400,1672444800,86400,2,205.23,205.94,204.755,207.06,205.23,205.94,204.755,207.06,3.36,0.0166,1695859200,0.3388,1.38,0.762793,20.92551,12.946339,946157,946157,668674,479100,479100,182.0,223.57,800,800,21496053760,195.29,258.93,2.3679285,212.5102,231.0661,3.34,0.016274424,USD,25900974080,0.11842,103932952,104823000,794780,765843,1689292800,1692057600,0.0076,0.00435,0.93988,1.03,0.0098,93.374,2.1962218,1672444800,1703980800,1688083200,-0.138,1080000000,9.8,15.84,1.4,2.853,11.715,NMS,EQUITY,WTW,WTW,Willis Towers Watson Public Lim,Willis Towers Watson Public Limited Company,992352600,America/New_York,EDT,-14400000,205.07,302.0,205.0,242.82,236.0,2.6,hold,17,1602000000,15.283,2211000064,6191000064,0.318,1.071,9077999616,62.681,84.056,0.03504,0.10762,4073000000,972875008,984000000,-0.094,0.063,0.45329,0.24355,0.18924999,USD,0.7813
6,51 Lime Street,London,EC3M 7DQ,United Kingdom,44 20 3124 6000,https://www.willistowerswatson.com,Insurance Brokers,Financial Services,"Willis Towers Watson Public Limited Company operates as an advisory, broking, and solutions company worldwide. It operates through two segments: Health, Wealth and Career; and Risk & Broking. The company offers strategy and design consulting, plan management service and support, broking and administration services for health, wellbeing, and other group benefit programs; actuarial support, plan design, and administrative services for pension and retirement savings plans; and benefits outsourcing services, including a suite of health and welfare, and pension administration outsourcing services. It also provides advice, data, software, and products to address clients' total rewards and talent issues; and risk advice, insurance brokerage, and consulting services in the areas of property and casualty, aerospace, construction, and marine. In addition, the company offers integrated solutions that consists of investment discretionary management, pension administration, core actuarial, and communication and change management assistance services; software and technology, risk and capital management, products and product pricing, financial and regulatory reporting, financial and capital modeling, merger and acquisition, outsourcing, and business management services; and wholesale reinsurance services. Additionally, it provides primary medical and ancillary benefit exchange, and outsourcing services to active employees and retirees in the group and individual markets. The company was formerly known as Willis Group Holdings Public Limited Company and changed its name to Willis Towers Watson Public Limited Company in January 2016. Willis Towers Watson Public Limited Company was founded in 1828 and is based in London, the United Kingdom.",46000,"{'maxAge': 1, 'name': 'Mr. Chris  Ford', 'title': 'Global Head of Investment', 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,5,6,2,1693526400,1672444800,86400,2,205.23,205.94,204.755,207.06,205.23,205.94,204.755,207.06,3.36,0.0166,1695859200,0.3388,1.38,0.762793,20.92551,12.946339,946157,946157,668674,479100,479100,182.0,223.57,800,800,21496053760,195.29,258.93,2.3679285,212.5102,231.0661,3.34,0.016274424,USD,25900974080,0.11842,103932952,104823000,794780,765843,1689292800,1692057600,0.0076,0.00435,0.93988,1.03,0.0098,93.374,2.1962218,1672444800,1703980800,1688083200,-0.138,1080000000,9.8,15.84,1.4,2.853,11.715,NMS,EQUITY,WTW,WTW,Willis Towers Watson Public Lim,Willis Towers Watson Public Limited Company,992352600,America/New_York,EDT,-14400000,205.07,302.0,205.0,242.82,236.0,2.6,hold,17,1602000000,15.283,2211000064,6191000064,0.318,1.071,9077999616,62.681,84.056,0.03504,0.10762,4073000000,972875008,984000000,-0.094,0.063,0.45329,0.24355,0.18924999,USD,0.7813
7,51 Lime Street,London,EC3M 7DQ,United Kingdom,44 20 3124 6000,https://www.willistowerswatson.com,Insurance Brokers,Financial Services,"Willis Towers Watson Public Limited Company operates as an advisory, broking, and solutions company worldwide. It operates through two segments: Health, Wealth and Career; and Risk & Broking. The company offers strategy and design consulting, plan management service and support, broking and administration services for health, wellbeing, and other group benefit programs; actuarial support, plan design, and administrative services for pension and retirement savings plans; and benefits outsourcing services, including a suite of health and welfare, and pension administration outsourcing services. It also provides advice, data, software, and products to address clients' total rewards and talent issues; and risk advice, insurance brokerage, and consulting services in the areas of property and casualty, aerospace, construction, and marine. In addition, the company offers integrated solutions that consists of investment discretionary management, pension administration, core actuarial, and communication and change management assistance services; software and technology, risk and capital management, products and product pricing, financial and regulatory reporting, financial and capital modeling, merger and acquisition, outsourcing, and business management services; and wholesale reinsurance services. Additionally, it provides primary medical and ancillary benefit exchange, and outsourcing services to active employees and retirees in the group and individual markets. The company was formerly known as Willis Group Holdings Public Limited Company and changed its name to Willis Towers Watson Public Limited Company in January 2016. Willis Towers Watson Public Limited Company was founded in 1828 and is based in London, the United Kingdom.",46000,"{'maxAge': 1, 'name': 'Mr. Joseph Stephen Kurpis', 'age': 62, 'title': 'Principal Accounting Officer & Controller', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,5,6,2,1693526400,1672444800,86400,2,205.23,205.94,204.755,207.06,205.23,205.94,204.755,207.06,3.36,0.0166,1695859200,0.3388,1.38,0.762793,20.92551,12.946339,946157,946157,668674,479100,479100,182.0,223.57,800,800,21496053760,195.29,258.93,2.3679285,212.5102,231.0661,3.34,0.016274424,USD,25900974080,0.11842,103932952,104823000,794780,765843,1689292800,1692057600,0.0076,0.00435,0.93988,1.03,0.0098,93.374,2.1962218,1672444800,1703980800,1688083200,-0.138,1080000000,9.8,15.84,1.4,2.853,11.715,NMS,EQUITY,WTW,WTW,Willis Towers Watson Public Lim,Willis Towers Watson Public Limited Company,992352600,America/New_York,EDT,-14400000,205.07,302.0,205.0,242.82,236.0,2.6,hold,17,1602000000,15.283,2211000064,6191000064,0.318,1.071,9077999616,62.681,84.056,0.03504,0.10762,4073000000,972875008,984000000,-0.094,0.063,0.45329,0.24355,0.18924999,USD,0.7813
8,51 Lime Street,London,EC3M 7DQ,United Kingdom,44 20 3124 6000,https://www.willistowerswatson.com,Insurance Brokers,Financial Services,"Willis Towers Watson Public Limited Company operates as an advisory, broking, and solutions company worldwide. It operates through two segments: Health, Wealth and Career; and Risk & Broking. The company offers strategy and design consulting, plan management service and support, broking and administration services for health, wellbeing, and other group benefit programs; actuarial support, plan design, and administrative services for pension and retirement savings plans; and benefits outsourcing services, including a suite of health and welfare, and pension administration outsourcing services. It also provides advice, data, software, and products to address clients' total rewards and talent issues; and risk advice, insurance brokerage, and consulting services in the areas of property and casualty, aerospace, construction, and marine. In addition, the company offers integrated solutions that consists of investment discretionary management, pension administration, core actuarial, and communication and change management assistance services; software and technology, risk and capital management, products and product pricing, financial and regulatory reporting, financial and capital modeling, merger and acquisition, outsourcing, and business management services; and wholesale reinsurance services. Additionally, it provides primary medical and ancillary benefit exchange, and outsourcing services to active employees and retirees in the group and individual markets. The company was formerly known as Willis Group Holdings Public Limited Company and changed its name to Willis Towers Watson Public Limited Company in January 2016. Willis Towers Watson Public Limited Company was founded in 1828 and is based in London, the United Kingdom.",46000,"{'maxAge': 1, 'name': 'Claudia De La Hoz', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,5,6,2,1693526400,1672444800,86400,2,205.23,205.94,204.755,207.06,205.23,205.94,204.755,207.06,3.36,0.0166,1695859200,0.3388,1.38,0.762793,20.92551,12.946339,946157,946157,668674,479100,479100,182.0,223.57,800,800,21496053760,195.29,258.93,2.3679285,212.5102,231.0661,3.34,0.016274424,USD,25900974080,0.11842,103932952,104823000,794780,765843,1689292800,1692057600,0.0076,0.00435,0.93988,1.03,0.0098,93.374,2.1962218,1672444800,1703980800,1688083200,-0.138,1080000000,9.8,15.84,1.4,2.853,11.715,NMS,EQUITY,WTW,WTW,Willis Towers Watson Public Lim,Willis Towers Watson Public Limited Company,992352600,America/New_York,EDT,-14400000,205.07,302.0,205.0,242.82,236.0,2.6,hold,17,1602000000,15.283,2211000064,6191000064,0.318,1.071,9077999616,62.681,84.056,0.03504,0.10762,4073000000,972875008,984000000,-0.094,0.063,0.45329,0.24355,0.18924999,USD,0.7813
9,51 Lime Street,London,EC3M 7DQ,United Kingdom,44 20 3124 6000,https://www.willistowerswatson.com,Insurance Brokers,Financial Services,"Willis Towers Watson Public Limited Company operates as an advisory, broking, and solutions company worldwide. It operates through two segments: Health, Wealth and Career; and Risk & Broking. The company offers strategy and design consulting, plan management service and support, broking and administration services for health, wellbeing, and other group benefit programs; actuarial support, plan design, and administrative services for pension and retirement savings plans; and benefits outsourcing services, including a suite of health and welfare, and pension administration outsourcing services. It also provides advice, data, software, and products to address clients' total rewards and talent issues; and risk advice, insurance brokerage, and consulting services in the areas of property and casualty, aerospace, construction, and marine. In addition, the company offers integrated solutions that consists of investment discretionary management, pension administration, core actuarial, and communication and change management assistance services; software and technology, risk and capital management, products and product pricing, financial and regulatory reporting, financial and capital modeling, merger and acquisition, outsourcing, and business management services; and wholesale reinsurance services. Additionally, it provides primary medical and ancillary benefit exchange, and outsourcing services to active employees and retirees in the group and individual markets. The company was formerly known as Willis Group Holdings Public Limited Company and changed its name to Willis Towers Watson Public Limited Company in January 2016. Willis Towers Watson Public Limited Company was founded in 1828 and is based in London, the United Kingdom.",46000,"{'maxAge': 1, 'name': 'Ms. Kristy D. Banas', 'age': 50, 'title': 'Chief HR Officer', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,5,6,2,1693526400,1672444800,86400,2,205.23,205.94,204.755,207.06,205.23,205.94,204.755,207.06,3.36,0.0166,1695859200,0.3388,1.38,0.762793,20.92551,12.946339,946157,946157,668674,479100,479100,182.0,223.57,800,800,21496053760,195.29,258.93,2.3679285,212.5102,231.0661,3.34,0.016274424,USD,25900974080,0.11842,103932952,104823000,794780,765843,1689292800,1692057600,0.0076,0.00435,0.93988,1.03,0.0098,93.374,2.1962218,1672444800,1703980800,1688083200,-0.138,1080000000,9.8,15.84,1.4,2.853,11.715,NMS,EQUITY,WTW,WTW,Willis Towers Watson Public Lim,Willis Towers Watson Public Limited Company,992352600,America/New_York,EDT,-14400000,205.07,302.0,205.0,242.82,236.0,2.6,hold,17,1602000000,15.283,2211000064,6191000064,0.318,1.071,9077999616,62.681,84.056,0.03504,0.10762,4073000000,972875008,984000000,-0.094,0.063,0.45329,0.24355,0.18924999,USD,0.7813
